date,가지급금
2020-03-20,78.01242
2020-03-21,21.6149
2020-03-22,21.49068
2020-03-23,83.22981
2020-03-24,77.88819
2020-03-25,84.34782
2020-03-26,79.00621
2020-03-27,73.41614
2020-03-28,19.75155
2020-03-29,17.26708
2020-03-30,77.14285
2020-03-31,76.39751
2020-04-01,59.25465
2020-04-02,53.41614
2020-04-03,48.32298
2020-04-04,17.63975
2020-04-05,14.53416
2020-04-06,51.18012
2020-04-07,48.4472
2020-04-08,52.54658
2020-04-09,51.92546
2020-04-10,54.65838
2020-04-11,15.40372
2020-04-12,19.5031
2020-04-13,54.65838
2020-04-14,56.77018
2020-04-15,18.50931
2020-04-16,49.81366
2020-04-17,48.19875
2020-04-18,12.54658
2020-04-19,14.65838
2020-04-20,58.63354
2020-04-21,86.58385
2020-04-22,63.85093
2020-04-23,54.40993
2020-04-24,48.69565
2020-04-25,18.50931
2020-04-26,13.1677
2020-04-27,56.52173
2020-04-28,51.30434
2020-04-29,48.57142
2020-04-30,18.88198
2020-05-01,17.76397
2020-05-02,11.80124
2020-05-03,12.29813
2020-05-04,36.02484
2020-05-05,17.76397
2020-05-06,53.91304
2020-05-07,50.80745
2020-05-08,48.07453
2020-05-09,14.90683
2020-05-10,13.78881
2020-05-11,50.06211
2020-05-12,51.18012
2020-05-13,52.79503
2020-05-14,53.66459
2020-05-15,38.75776
2020-05-16,12.29813
2020-05-17,13.66459
2020-05-18,49.44099
2020-05-19,50.31055
2020-05-20,47.57763
2020-05-21,55.90062
2020-05-22,46.95652
2020-05-23,11.55279
2020-05-24,12.42236
2020-05-25,45.21739
2020-05-26,45.71428
2020-05-27,49.19254
2020-05-28,43.60248
2020-05-29,38.75776
2020-05-30,13.04347
2020-05-31,14.53416
2020-06-01,43.47826
2020-06-02,46.08695
2020-06-03,46.70807
2020-06-04,46.83229
2020-06-05,43.47826
2020-06-06,14.16149
2020-06-07,14.90683
2020-06-08,48.94409
2020-06-09,50.43478
2020-06-10,56.64596
2020-06-11,50.06211
2020-06-12,45.71428
2020-06-13,23.47826
2020-06-14,20.74534
2020-06-15,50.559
2020-06-16,48.81987
2020-06-17,52.29813
2020-06-18,47.45341
2020-06-19,45.71428
2020-06-20,17.51552
2020-06-21,18.50931
2020-06-22,52.6708
2020-06-23,52.04968
2020-06-24,48.81987
2020-06-25,54.28571
2020-06-26,45.71428
2020-06-27,17.63975
2020-06-28,17.01863
2020-06-29,49.68944
2020-06-30,55.77639
2020-07-01,49.06832
2020-07-02,47.45341
2020-07-03,48.07453
2020-07-04,13.54037
2020-07-05,13.66459
2020-07-06,52.04968
2020-07-07,55.15527
2020-07-08,50.31055
2020-07-09,53.04347
2020-07-10,41.73913
2020-07-11,10.80745
2020-07-12,11.67701
2020-07-13,48.94409
2020-07-14,50.68322
2020-07-15,50.80745
2020-07-16,43.85093
2020-07-17,38.63354
2020-07-18,15.03105
2020-07-19,14.90683
2020-07-20,47.08074
2020-07-21,53.54037
2020-07-22,43.7267
2020-07-23,46.70807
2020-07-24,46.83229
2020-07-25,13.78881
2020-07-26,11.67701
2020-07-27,45.71428
2020-07-28,52.04968
2020-07-29,45.34161
2020-07-30,50.559
2020-07-31,43.35403
2020-08-01,11.80124
2020-08-02,9.81366
2020-08-03,42.73291
2020-08-04,46.08695
2020-08-05,50.43478
2020-08-06,44.72049
2020-08-07,40.49689
2020-08-08,14.53416
2020-08-09,15.03105
2020-08-10,56.14906
2020-08-11,54.7826
2020-08-12,53.54037
2020-08-13,58.01242
2020-08-14,44.96894
2020-08-15,17.76397
2020-08-16,20.0
2020-08-17,16.52173
2020-08-18,47.32919
2020-08-19,45.46583
2020-08-20,47.32919
2020-08-21,38.01242
2020-08-22,9.19254
2020-08-23,10.06211
2020-08-24,48.07453
2020-08-25,52.17391
2020-08-26,42.1118
2020-08-27,50.559
2020-08-28,44.72049
2020-08-29,12.6708
2020-08-30,10.43478
2020-08-31,49.31677
2020-09-01,53.66459
2020-09-02,49.93788
2020-09-03,45.96273
2020-09-04,41.24223
2020-09-05,10.80745
2020-09-06,11.30434
2020-09-07,49.31677
2020-09-08,49.06832
2020-09-09,54.90683
2020-09-10,50.18633
2020-09-11,47.95031
2020-09-12,12.91925
2020-09-13,17.3913
2020-09-14,52.54658
2020-09-15,52.54658
2020-09-16,50.18633
2020-09-17,53.78881
2020-09-18,42.73291
2020-09-19,12.54658
2020-09-20,11.0559
2020-09-21,50.93167
2020-09-22,50.559
2020-09-23,51.30434
2020-09-24,44.59627
2020-09-25,48.32298
2020-09-26,11.92546
2020-09-27,13.1677
2020-09-28,45.71428
2020-09-29,36.8944
2020-09-30,10.559
2020-10-01,8.69565
2020-10-02,10.06211
2020-10-03,10.18633
2020-10-04,15.15527
2020-10-05,50.18633
2020-10-06,56.8944
2020-10-07,54.65838
2020-10-08,57.51552
2020-10-09,20.99378
2020-10-10,20.74534
2020-10-11,23.47826
2020-10-12,49.56521
2020-10-13,58.13664
2020-10-14,53.04347
2020-10-15,53.54037
2020-10-16,46.70807
2020-10-17,18.63354
2020-10-18,17.76397
2020-10-19,53.04347
2020-10-20,61.49068
2020-10-21,54.28571
2020-10-22,54.7826
2020-10-23,47.32919
2020-10-24,14.40993
2020-10-25,15.03105
2020-10-26,43.35403
2020-10-27,46.70807
2020-10-28,48.07453
2020-10-29,50.06211
2020-10-30,43.35403
2020-10-31,11.55279
2020-11-01,10.93167
2020-11-02,47.20496
2020-11-03,46.83229
2020-11-04,47.20496
2020-11-05,47.82608
2020-11-06,40.12422
2020-11-07,11.42857
2020-11-08,14.65838
2020-11-09,46.95652
2020-11-10,55.40372
2020-11-11,53.41614
2020-11-12,55.03105
2020-11-13,46.21118
2020-11-14,14.53416
2020-11-15,16.52173
2020-11-16,45.96273
2020-11-17,58.01242
2020-11-18,52.54658
2020-11-19,53.29192
2020-11-20,44.2236
2020-11-21,15.65217
2020-11-22,15.52795
2020-11-23,50.31055
2020-11-24,55.77639
2020-11-25,54.28571
2020-11-26,54.90683
2020-11-27,51.55279
2020-11-28,26.3354
2020-11-29,12.91925
2020-11-30,52.79503
2020-12-01,52.42236
2020-12-02,50.18633
2020-12-03,52.79503
2020-12-04,51.42857
2020-12-05,18.88198
2020-12-06,15.2795
2020-12-07,48.07453
2020-12-08,60.74534
2020-12-09,56.02484
2020-12-10,58.13664
2020-12-11,52.91925
2020-12-12,14.90683
2020-12-13,13.41614
2020-12-14,55.15527
2020-12-15,61.98757
2020-12-16,58.75776
2020-12-17,61.11801
2020-12-18,51.18012
2020-12-19,17.3913
2020-12-20,14.7826
2020-12-21,59.75155
2020-12-22,63.47826
2020-12-23,62.1118
2020-12-24,49.68944
2020-12-25,12.04968
2020-12-26,13.29192
2020-12-27,13.1677
2020-12-28,59.00621
2020-12-29,63.35403
2020-12-30,60.86956
2020-12-31,46.83229
2021-01-01,11.30434
2021-01-02,13.04347
2021-01-03,14.40993
2021-01-04,57.88819
2021-01-05,59.87577
2021-01-06,48.94409
2021-01-07,51.55279
2021-01-08,58.75776
2021-01-09,21.98757
2021-01-10,16.14906
2021-01-11,54.03726
2021-01-12,58.75776
2021-01-13,52.6708
2021-01-14,49.68944
2021-01-15,47.82608
2021-01-16,14.7826
2021-01-17,13.41614
2021-01-18,48.81987
2021-01-19,51.0559
2021-01-20,52.79503
2021-01-21,54.16149
2021-01-22,44.72049
2021-01-23,17.14285
2021-01-24,14.53416
2021-01-25,50.06211
2021-01-26,49.19254
