date,비트코인지갑
2020-03-20,6.46186
2020-03-21,8.8983
2020-03-22,8.15677
2020-03-23,15.67796
2020-03-24,14.8305
2020-03-25,13.34745
2020-03-26,13.02966
2020-03-27,9.53389
2020-03-28,9.63983
2020-03-29,8.26271
2020-03-30,8.05084
2020-03-31,7.94491
2020-04-01,9.42796
2020-04-02,7.30932
2020-04-03,7.83898
2020-04-04,6.46186
2020-04-05,5.19067
2020-04-06,6.77966
2020-04-07,6.35593
2020-04-08,9.32203
2020-04-09,9.2161
2020-04-10,7.30932
2020-04-11,8.36864
2020-04-12,6.14406
2020-04-13,8.47457
2020-04-14,5.50847
2020-04-15,4.34322
2020-04-16,8.15677
2020-04-17,5.29661
2020-04-18,4.13135
2020-04-19,4.13135
2020-04-20,6.46186
2020-04-21,6.14406
2020-04-22,5.82627
2020-04-23,6.25
2020-04-24,6.46186
2020-04-25,4.34322
2020-04-26,5.82627
2020-04-27,7.41525
2020-04-28,7.30932
2020-04-29,4.87288
2020-04-30,9.63983
2020-05-01,6.25
2020-05-02,4.97881
2020-05-03,5.9322
2020-05-04,6.35593
2020-05-05,4.44915
2020-05-06,6.56779
2020-05-07,5.19067
2020-05-08,7.41525
2020-05-09,4.55508
2020-05-10,6.88559
2020-05-11,5.82627
2020-05-12,8.68644
2020-05-13,4.76694
2020-05-14,7.73305
2020-05-15,6.88559
2020-05-16,5.08474
2020-05-17,5.50847
2020-05-18,6.25
2020-05-19,7.83898
2020-05-20,6.88559
2020-05-21,5.08474
2020-05-22,4.66101
2020-05-23,2.86016
2020-05-24,5.08474
2020-05-25,5.50847
2020-05-26,6.56779
2020-05-27,6.77966
2020-05-28,7.20338
2020-05-29,3.60169
2020-05-30,4.34322
2020-05-31,4.44915
2020-06-01,7.30932
2020-06-02,9.42796
2020-06-03,4.76694
2020-06-04,4.76694
2020-06-05,6.46186
2020-06-06,3.07203
2020-06-07,3.07203
2020-06-08,7.73305
2020-06-09,5.40254
2020-06-10,4.34322
2020-06-11,6.77966
2020-06-12,5.08474
2020-06-13,4.23728
2020-06-14,3.81355
2020-06-15,5.19067
2020-06-16,7.52118
2020-06-17,6.46186
2020-06-18,6.25
2020-06-19,4.76694
2020-06-20,3.60169
2020-06-21,3.91949
2020-06-22,4.02542
2020-06-23,3.49576
2020-06-24,4.97881
2020-06-25,3.70762
2020-06-26,7.20338
2020-06-27,5.50847
2020-06-28,3.28389
2020-06-29,8.68644
2020-06-30,7.20338
2020-07-01,7.41525
2020-07-02,3.81355
2020-07-03,4.34322
2020-07-04,5.29661
2020-07-05,4.66101
2020-07-06,7.20338
2020-07-07,5.72033
2020-07-08,5.08474
2020-07-09,7.41525
2020-07-10,5.29661
2020-07-11,2.6483
2020-07-12,3.49576
2020-07-13,5.9322
2020-07-14,3.07203
2020-07-15,5.82627
2020-07-16,5.08474
2020-07-17,3.28389
2020-07-18,4.34322
2020-07-19,3.17796
2020-07-20,4.13135
2020-07-21,4.34322
2020-07-22,3.81355
2020-07-23,5.40254
2020-07-24,4.23728
2020-07-25,4.02542
2020-07-26,4.02542
2020-07-27,8.79237
2020-07-28,6.67372
2020-07-29,8.36864
2020-07-30,6.77966
2020-07-31,4.66101
2020-08-01,7.09745
2020-08-02,5.08474
2020-08-03,6.67372
2020-08-04,7.30932
2020-08-05,4.97881
2020-08-06,7.09745
2020-08-07,4.55508
2020-08-08,5.19067
2020-08-09,4.55508
2020-08-10,5.29661
2020-08-11,5.9322
2020-08-12,3.91949
2020-08-13,5.6144
2020-08-14,4.97881
2020-08-15,3.70762
2020-08-16,2.86016
2020-08-17,4.87288
2020-08-18,7.20338
2020-08-19,5.72033
2020-08-20,5.08474
2020-08-21,5.40254
2020-08-22,2.54237
2020-08-23,4.55508
2020-08-24,5.08474
2020-08-25,4.23728
2020-08-26,4.97881
2020-08-27,4.02542
2020-08-28,4.02542
2020-08-29,2.86016
2020-08-30,3.17796
2020-08-31,4.55508
2020-09-01,7.94491
2020-09-02,6.88559
2020-09-03,6.03813
2020-09-04,6.14406
2020-09-05,4.44915
2020-09-06,3.91949
2020-09-07,5.29661
2020-09-08,5.72033
2020-09-09,5.08474
2020-09-10,5.82627
2020-09-11,4.13135
2020-09-12,4.13135
2020-09-13,2.22457
2020-09-14,3.07203
2020-09-15,6.14406
2020-09-16,5.08474
2020-09-17,3.60169
2020-09-18,4.66101
2020-09-19,2.75423
2020-09-20,4.76694
2020-09-21,3.28389
2020-09-22,2.75423
2020-09-23,3.38983
2020-09-24,2.22457
2020-09-25,4.23728
2020-09-26,1.58898
2020-09-27,2.43644
2020-09-28,5.19067
2020-09-29,4.76694
2020-09-30,3.60169
2020-10-01,3.60169
2020-10-02,2.3305
2020-10-03,4.44915
2020-10-04,3.07203
2020-10-05,5.6144
2020-10-06,5.82627
2020-10-07,3.70762
2020-10-08,4.55508
2020-10-09,1.90677
2020-10-10,5.19067
2020-10-11,4.34322
2020-10-12,4.76694
2020-10-13,3.60169
2020-10-14,3.70762
2020-10-15,3.07203
2020-10-16,4.55508
2020-10-17,2.54237
2020-10-18,3.49576
2020-10-19,5.40254
2020-10-20,4.02542
2020-10-21,4.76694
2020-10-22,7.20338
2020-10-23,5.19067
2020-10-24,3.17796
2020-10-25,3.17796
2020-10-26,4.13135
2020-10-27,5.29661
2020-10-28,3.81355
2020-10-29,4.55508
2020-10-30,5.6144
2020-10-31,5.08474
2020-11-01,3.28389
2020-11-02,4.55508
2020-11-03,4.34322
2020-11-04,3.28389
2020-11-05,4.97881
2020-11-06,12.07627
2020-11-07,3.91949
2020-11-08,4.66101
2020-11-09,4.76694
2020-11-10,6.35593
2020-11-11,6.03813
2020-11-12,6.77966
2020-11-13,5.6144
2020-11-14,5.50847
2020-11-15,3.91949
2020-11-16,6.03813
2020-11-17,6.99152
2020-11-18,16.10169
2020-11-19,9.53389
2020-11-20,10.38135
2020-11-21,10.38135
2020-11-22,10.59322
2020-11-23,10.80508
2020-11-24,18.1144
2020-11-25,17.16101
2020-11-26,13.02966
2020-11-27,9.63983
2020-11-28,10.27542
2020-11-29,6.14406
2020-11-30,10.16949
2020-12-01,15.4661
2020-12-02,14.8305
2020-12-03,11.8644
2020-12-04,10.16949
2020-12-05,8.26271
2020-12-06,7.30932
2020-12-07,9.53389
2020-12-08,8.5805
2020-12-09,8.15677
2020-12-10,7.30932
2020-12-11,8.36864
2020-12-12,6.25
2020-12-13,9.00423
2020-12-14,8.47457
2020-12-15,8.47457
2020-12-16,8.26271
2020-12-17,19.80932
2020-12-18,16.20762
2020-12-19,13.55932
2020-12-20,14.51271
2020-12-21,11.97033
2020-12-22,11.12288
2020-12-23,10.48728
2020-12-24,8.15677
2020-12-25,10.91101
2020-12-26,11.22881
2020-12-27,31.14406
2020-12-28,19.38559
2020-12-29,15.1483
2020-12-30,21.82203
2020-12-31,18.32627
2021-01-01,14.51271
2021-01-02,16.63135
2021-01-03,52.75423
2021-01-04,41.20762
2021-01-05,28.70762
2021-01-06,31.14406
2021-01-07,45.76271
2021-01-08,51.58898
2021-01-09,40.78389
2021-01-10,35.69915
2021-01-11,32.73305
2021-01-12,28.49576
2021-01-13,62.5
2021-01-14,88.98305
2021-01-15,40.57203
2021-01-16,29.66101
2021-01-17,32.20338
2021-01-18,22.88135
2021-01-19,20.02118
2021-01-20,17.05508
2021-01-21,17.69067
2021-01-22,16.31355
2021-01-23,14.61864
2021-01-24,14.30084
2021-01-25,14.40677
2021-01-26,14.61864
2021-01-27,13.77118
2021-01-28,10.69915
2021-01-29,14.51271
2021-01-30,12.60593
2021-01-31,14.51271
2021-02-01,15.67796
2021-02-02,18.00847
2021-02-03,14.40677
2021-02-04,14.72457
2021-02-05,14.51271
2021-02-06,14.8305
2021-02-07,16.94915
2021-02-08,20.65677
2021-02-09,64.19491
2021-02-10,35.80508
2021-02-11,26.05932
2021-02-12,29.02542
2021-02-13,33.79237
2021-02-14,37.39406
2021-02-15,43.32627
2021-02-16,43.00847
2021-02-17,49.15254
2021-02-18,54.76694
2021-02-19,46.29237
2021-02-20,64.93644
2021-02-21,47.45762
2021-02-22,48.30508
2021-02-23,37.39406
2021-02-24,33.68644
2021-02-25,34.74576
2021-02-26,25.42372
2021-02-27,17.47881
2021-02-28,15.36016
2021-03-01,18.53813
2021-03-02,24.47033
2021-03-03,17.37288
2021-03-04,19.59745
2021-03-05,16.73728
2021-03-06,15.04237
2021-03-07,16.52542
2021-03-08,15.67796
2021-03-09,22.98728
2021-03-10,20.76271
2021-03-11,21.61016
2021-03-12,22.77542
2021-03-13,24.89406
2021-03-14,30.6144
2021-03-15,34.74576
2021-03-16,32.62711
2021-03-17,26.80084
2021-03-18,31.14406
2021-03-19,24.57627
2021-03-20,23.72881
2021-03-21,25.63559
2021-03-22,26.80084
2021-03-23,26.90677
2021-03-24,23.41101
2021-03-25,25.0
2021-03-26,21.3983
2021-03-27,16.73728
2021-03-28,12.81779
2021-03-29,20.97457
2021-03-30,22.13983
2021-03-31,31.35593
2021-04-01,32.94491
2021-04-02,36.12288
2021-04-03,31.03813
2021-04-04,28.70762
2021-04-05,46.61016
2021-04-06,45.44491
2021-04-07,39.8305
2021-04-08,35.69915
2021-04-09,35.27542
2021-04-10,24.6822
2021-04-11,34.2161
2021-04-12,40.67796
2021-04-13,41.73728
2021-04-14,39.8305
2021-04-15,36.97033
2021-04-16,33.15677
2021-04-17,27.6483
2021-04-18,29.23728
2021-04-19,36.01694
2021-04-20,40.99576
