date,코스피선물
2020-03-20,100.0
2020-03-21,22.92967
2020-03-22,23.47066
2020-03-23,83.60382
2020-03-24,97.91926
2020-03-25,90.76154
2020-03-26,63.21265
2020-03-27,72.36787
2020-03-28,12.31793
2020-03-29,15.43903
2020-03-30,66.33374
2020-03-31,42.23886
2020-04-01,44.3196
2020-04-02,52.30961
2020-04-03,38.99292
2020-04-04,7.32417
2020-04-05,7.03287
2020-04-06,47.19101
2020-04-07,44.77736
2020-04-08,37.7861
2020-04-09,36.6625
2020-04-10,29.37994
2020-04-11,4.36953
2020-04-12,5.4099
2020-04-13,28.25634
2020-04-14,28.17311
2020-04-15,6.61672
2020-04-16,26.4253
2020-04-17,27.46566
2020-04-18,7.1161
2020-04-19,7.24094
2020-04-20,31.96004
2020-04-21,32.45942
2020-04-22,30.62838
2020-04-23,24.17811
2020-04-24,24.92717
2020-04-25,4.07823
2020-04-26,3.74531
2020-04-27,26.46691
2020-04-28,22.84644
2020-04-29,21.80607
2020-04-30,3.66208
2020-05-01,3.82854
2020-05-02,1.9975
2020-05-03,2.66333
2020-05-04,26.38368
2020-05-05,4.86891
2020-05-06,17.76945
2020-05-07,17.64461
2020-05-08,15.73033
2020-05-09,2.78818
2020-05-10,2.53849
2020-05-11,17.39492
2020-05-12,22.26383
2020-05-13,19.8918
2020-05-14,21.26508
2020-05-15,19.43404
2020-05-16,1.58135
2020-05-17,1.74781
2020-05-18,13.81606
2020-05-19,20.05826
2020-05-20,14.68997
2020-05-21,13.48314
2020-05-22,14.35705
2020-05-23,1.62297
2020-05-24,2.2888
2020-05-25,13.10861
2020-05-26,14.52351
2020-05-27,13.85767
2020-05-28,14.44028
2020-05-29,11.90178
2020-05-30,2.08073
2020-05-31,1.66458
2020-06-01,13.23345
2020-06-02,12.85892
2020-06-03,21.43154
2020-06-04,19.01789
2020-06-05,16.64585
2020-06-06,3.16271
2020-06-07,2.87141
2020-06-08,16.35455
2020-06-09,18.10237
2020-06-10,15.18934
2020-06-11,26.21722
2020-06-12,28.7141
2020-06-13,3.49563
2020-06-14,3.53724
2020-06-15,28.46441
2020-06-16,51.10278
2020-06-17,32.45942
2020-06-18,18.26883
2020-06-19,16.31294
2020-06-20,2.2888
2020-06-21,2.87141
2020-06-22,16.02163
2020-06-23,16.68747
2020-06-24,13.77444
2020-06-25,18.01914
2020-06-26,13.69121
2020-06-27,3.24594
2020-06-28,2.91302
2020-06-29,18.7682
2020-06-30,12.56762
2020-07-01,12.15147
2020-07-02,13.52476
2020-07-03,12.27632
2020-07-04,2.16396
2020-07-05,0.91552
2020-07-06,15.52226
2020-07-07,14.19059
2020-07-08,13.39991
2020-07-09,13.52476
2020-07-10,12.90054
2020-07-11,1.24843
2020-07-12,1.24843
2020-07-13,14.14898
2020-07-14,14.44028
2020-07-15,13.85767
2020-07-16,12.98377
2020-07-17,12.02663
2020-07-18,1.87265
2020-07-19,1.83104
2020-07-20,11.02788
2020-07-21,14.52351
2020-07-22,11.44402
2020-07-23,18.43528
2020-07-24,13.44153
2020-07-25,1.62297
2020-07-26,1.16521
2020-07-27,14.27382
2020-07-28,16.97877
2020-07-29,14.35705
2020-07-30,12.90054
2020-07-31,13.31668
2020-08-01,1.78942
2020-08-02,1.37328
2020-08-03,11.11111
2020-08-04,13.19184
2020-08-05,13.15022
2020-08-06,14.60674
2020-08-07,14.48189
2020-08-08,2.33042
2020-08-09,1.53974
2020-08-10,14.52351
2020-08-11,16.06325
2020-08-12,19.55888
2020-08-13,16.52101
2020-08-14,17.81106
2020-08-15,1.78942
2020-08-16,1.78942
2020-08-17,4.45276
2020-08-18,23.76196
2020-08-19,19.60049
2020-08-20,32.79234
2020-08-21,28.67249
2020-08-22,2.49687
2020-08-23,2.45526
2020-08-24,21.93091
2020-08-25,19.68372
2020-08-26,18.80982
2020-08-27,18.4769
2020-08-28,15.23096
2020-08-29,1.78942
2020-08-30,1.83104
2020-08-31,23.72034
2020-09-01,16.60424
2020-09-02,16.10486
2020-09-03,15.18934
2020-09-04,33.41656
2020-09-05,2.95464
2020-09-06,2.49687
2020-09-07,19.55888
2020-09-08,19.43404
2020-09-09,24.21972
2020-09-10,20.39117
2020-09-11,18.85143
2020-09-12,2.12234
2020-09-13,2.12234
2020-09-14,12.35955
2020-09-15,10.94465
2020-09-16,12.48439
2020-09-17,18.1856
2020-09-18,14.10736
2020-09-19,1.95588
2020-09-20,1.24843
2020-09-21,16.39617
2020-09-22,24.92717
2020-09-23,22.92967
2020-09-24,30.33707
2020-09-25,17.93591
2020-09-26,2.82979
2020-09-27,1.7062
2020-09-28,14.31543
2020-09-29,11.86017
2020-09-30,1.37328
2020-10-01,0.70744
2020-10-02,4.11985
2020-10-03,2.74656
2020-10-04,3.16271
2020-10-05,16.72908
2020-10-06,15.31419
2020-10-07,15.85518
2020-10-08,13.73283
2020-10-09,1.49812
2020-10-10,1.37328
2020-10-11,1.20682
2020-10-12,11.31918
2020-10-13,13.19184
2020-10-14,13.73283
2020-10-15,14.64835
2020-10-16,18.22721
2020-10-17,1.66458
2020-10-18,1.7062
