date,리플시세
2020-03-20,3.38777
2020-03-21,2.09333
2020-03-22,1.83904
2020-03-23,2.3505
2020-03-24,2.51525
2020-03-25,2.44929
2020-03-26,2.00124
2020-03-27,2.36707
2020-03-28,1.95216
2020-03-29,1.79729
2020-03-30,2.13763
2020-03-31,2.03024
2020-04-01,1.84573
2020-04-02,1.97096
2020-04-03,1.88907
2020-04-04,1.5226
2020-04-05,1.39162
2020-04-06,2.20774
2020-04-07,3.10288
2020-04-08,2.3164
2020-04-09,2.21028
2020-04-10,1.86644
2020-04-11,1.39545
2020-04-12,1.37346
2020-04-13,1.74439
2020-04-14,1.4681
2020-04-15,1.21476
2020-04-16,1.53662
2020-04-17,1.5551
2020-04-18,1.30144
2020-04-19,1.27117
2020-04-20,1.5516
2020-04-21,1.57581
2020-04-22,1.42604
2020-04-23,1.60673
2020-04-24,1.95662
2020-04-25,1.50889
2020-04-26,1.44898
2020-04-27,1.90532
2020-04-28,1.98307
2020-04-29,2.90339
2020-04-30,4.11497
2020-05-01,2.26605
2020-05-02,1.76255
2020-05-03,1.92412
2020-05-04,1.82724
2020-05-05,1.58283
2020-05-06,1.91552
2020-05-07,1.92444
2020-05-08,2.0331
2020-05-09,1.61437
2020-05-10,1.7138
2020-05-11,1.85083
2020-05-12,1.6797
2020-05-13,1.35721
2020-05-14,1.50029
2020-05-15,1.26065
2020-05-16,0.96142
2020-05-17,0.97895
2020-05-18,1.49933
2020-05-19,1.3588
2020-05-20,1.2444
2020-05-21,1.17302
2020-05-22,1.28136
2020-05-23,1.02452
2020-05-24,0.9047
2020-05-25,1.18672
2020-05-26,1.09685
2020-05-27,1.08666
2020-05-28,1.21126
2020-05-29,1.14179
2020-05-30,1.02579
2020-05-31,1.23994
2020-06-01,1.48499
2020-06-02,1.8521
2020-06-03,1.521
2020-06-04,1.4356
2020-06-05,1.19724
2020-06-06,0.85275
2020-06-07,0.89163
2020-06-08,1.17525
2020-06-09,1.07423
2020-06-10,1.09654
2020-06-11,1.12267
2020-06-12,1.24631
2020-06-13,0.83937
2020-06-14,0.775
2020-06-15,1.34797
2020-06-16,1.45217
2020-06-17,1.25109
2020-06-18,1.16824
2020-06-19,1.00412
2020-06-20,0.73262
2020-06-21,0.85275
2020-06-22,1.06531
2020-06-23,1.08156
2020-06-24,0.9799
2020-06-25,1.00667
2020-06-26,0.96907
2020-06-27,0.72051
2020-06-28,0.80336
2020-06-29,0.94995
2020-06-30,0.89291
2020-07-01,0.9133
2020-07-02,0.88175
2020-07-03,0.85084
2020-07-04,0.74154
2020-07-05,0.66856
2020-07-06,1.10833
2020-07-07,1.21381
2020-07-08,1.56275
2020-07-09,1.78996
2020-07-10,1.33363
2020-07-11,1.07773
2020-07-12,0.99647
2020-07-13,1.32693
2020-07-14,1.24631
2020-07-15,1.12936
2020-07-16,1.04969
2020-07-17,1.03758
2020-07-18,0.84319
2020-07-19,0.90151
2020-07-20,1.0857
2020-07-21,1.18098
2020-07-22,1.21221
2020-07-23,1.48691
2020-07-24,1.41043
2020-07-25,1.32183
2020-07-26,2.13603
2020-07-27,2.64272
2020-07-28,3.0197
