date,삼성물산주가
2020-03-20,8.19269
2020-03-21,1.24437
2020-03-22,0.82356
2020-03-23,7.19094
2020-03-24,7.87732
2020-03-25,8.52075
2020-03-26,8.19171
2020-03-27,7.63958
2020-03-28,0.98759
2020-03-29,0.71762
2020-03-30,6.71642
2020-03-31,6.38934
2020-04-01,6.27852
2020-04-02,6.18577
2020-04-03,5.6517
2020-04-04,0.72885
2020-04-05,0.53212
2020-04-06,5.94314
2020-04-07,6.54312
2020-04-08,5.63314
2020-04-09,5.68977
2020-04-10,7.66887
2020-04-11,0.94805
2020-04-12,0.74057
2020-04-13,6.65491
2020-04-14,6.55728
2020-04-15,0.95439
2020-04-16,5.84355
2020-04-17,7.13529
2020-04-18,0.85383
2020-04-19,0.62878
2020-04-20,6.21506
2020-04-21,5.86991
2020-04-22,6.25851
2020-04-23,7.90027
2020-04-24,7.54097
2020-04-25,0.81087
2020-04-26,0.56434
2020-04-27,6.84726
2020-04-28,6.89998
2020-04-29,7.73966
2020-04-30,0.92461
2020-05-01,1.06424
2020-05-02,0.44912
2020-05-03,0.43106
2020-05-04,5.78839
2020-05-05,0.78353
2020-05-06,7.80263
2020-05-07,7.55903
2020-05-08,6.89754
2020-05-09,0.89484
2020-05-10,0.65318
2020-05-11,6.11498
2020-05-12,5.89432
2020-05-13,6.45573
2020-05-14,5.89774
2020-05-15,5.58579
2020-05-16,0.69712
2020-05-17,0.51893
2020-05-18,5.41444
2020-05-19,6.70471
2020-05-20,6.02223
2020-05-21,5.64242
2020-05-22,5.15814
2020-05-23,0.62682
2020-05-24,0.54725
2020-05-25,5.45496
2020-05-26,6.58852
2020-05-27,6.09936
2020-05-28,5.76886
2020-05-29,5.16742
2020-05-30,1.63199
2020-05-31,1.27269
2020-06-01,7.20265
2020-06-02,6.54019
2020-06-03,8.52661
2020-06-04,8.58519
2020-06-05,8.48999
2020-06-06,1.31711
2020-06-07,1.39669
2020-06-08,9.94869
2020-06-09,9.71631
2020-06-10,7.82655
2020-06-11,7.92468
2020-06-12,7.90027
2020-06-13,1.30589
2020-06-14,1.06716
2020-06-15,13.62373
2020-06-16,15.1952
2020-06-17,13.06964
2020-06-18,10.45396
2020-06-19,9.48101
2020-06-20,1.10866
2020-06-21,0.89337
2020-06-22,8.30058
2020-06-23,8.32938
2020-06-24,8.65939
2020-06-25,7.31396
2020-06-26,7.45797
2020-06-27,0.98515
2020-06-28,0.66881
2020-06-29,7.25489
2020-06-30,7.17092
2020-07-01,6.47087
2020-07-02,6.72082
2020-07-03,6.50992
2020-07-04,0.74301
2020-07-05,0.56629
2020-07-06,7.07866
2020-07-07,6.69446
2020-07-08,6.38934
2020-07-09,6.45476
2020-07-10,5.49987
2020-07-11,0.63756
2020-07-12,0.53065
2020-07-13,6.32978
2020-07-14,5.79717
2020-07-15,6.45622
2020-07-16,5.59555
2020-07-17,5.62777
2020-07-18,0.61657
2020-07-19,0.56726
2020-07-20,5.37587
2020-07-21,6.51383
2020-07-22,6.69885
2020-07-23,5.67366
2020-07-24,5.23528
2020-07-25,0.70493
2020-07-26,0.51747
2020-07-27,5.94558
2020-07-28,6.70959
2020-07-29,6.97711
2020-07-30,6.36884
2020-07-31,5.31241
2020-08-01,0.59607
2020-08-02,0.47646
2020-08-03,5.28556
2020-08-04,5.95486
2020-08-05,6.18577
2020-08-06,7.43405
2020-08-07,6.00172
2020-08-08,0.71421
2020-08-09,0.57947
2020-08-10,7.04497
2020-08-11,8.02085
2020-08-12,11.11203
2020-08-13,16.58652
2020-08-14,12.76306
2020-08-15,1.30589
2020-08-16,1.07156
2020-08-17,2.03279
2020-08-18,10.38024
2020-08-19,10.04681
2020-08-20,9.73291
2020-08-21,9.02163
2020-08-22,0.97685
2020-08-23,0.67418
2020-08-24,8.44166
2020-08-25,8.55492
2020-08-26,7.80898
2020-08-27,7.56684
2020-08-28,7.91931
2020-08-29,1.04373
2020-08-30,1.09841
2020-08-31,8.47925
2020-09-01,9.84617
2020-09-02,9.0846
2020-09-03,8.9196
2020-09-04,7.64495
2020-09-05,0.9046
2020-09-06,0.82698
2020-09-07,8.09359
2020-09-08,8.59007
2020-09-09,7.74454
2020-09-10,8.04868
2020-09-11,11.02416
2020-09-12,1.17017
2020-09-13,0.92413
2020-09-14,9.08265
2020-09-15,8.25567
2020-09-16,7.51167
2020-09-17,7.34472
2020-09-18,7.00787
2020-09-19,0.79573
2020-09-20,0.63561
2020-09-21,6.80967
2020-09-22,6.49381
2020-09-23,6.42205
2020-09-24,6.29219
2020-09-25,5.86503
2020-09-26,0.65367
2020-09-27,0.50331
2020-09-28,5.88944
2020-09-29,5.13471
2020-09-30,0.59363
2020-10-01,0.39738
2020-10-02,0.44473
2020-10-03,0.37492
2020-10-04,0.41739
2020-10-05,5.76691
2020-10-06,5.60239
2020-10-07,5.58237
