date,로보스타주가
2020-03-20,1.97122
2020-03-21,0.14578
2020-03-22,0.17747
2020-03-23,1.67332
2020-03-24,1.71135
2020-03-25,2.15503
2020-03-26,2.45927
2020-03-27,2.42758
2020-03-28,0.5134
2020-03-29,0.46903
2020-03-30,2.34518
2020-03-31,2.40223
2020-04-01,2.90929
2020-04-02,2.75083
2020-04-03,2.43392
2020-04-04,0.46903
2020-04-05,0.45636
2020-04-06,2.45927
2020-04-07,3.66989
2020-04-08,3.4227
2020-04-09,3.47974
2020-04-10,2.7445
2020-04-11,0.35494
2020-04-12,0.26621
2020-04-13,2.53533
2020-04-14,2.38321
2020-04-15,0.41199
2020-04-16,2.35152
2020-04-17,3.01071
2020-04-18,0.69721
2020-04-19,0.50706
2020-04-20,3.3403
2020-04-21,3.02338
2020-04-22,2.82056
2020-04-23,6.10382
2020-04-24,6.71864
2020-04-25,0.73524
2020-04-26,0.65284
2020-04-27,4.57628
2020-04-28,13.66546
2020-04-29,7.27641
2020-04-30,0.84299
2020-05-01,0.95708
2020-05-02,0.45636
2020-05-03,0.42466
2020-05-04,5.36223
2020-05-05,0.65918
2020-05-06,4.4812
2020-05-07,3.86004
2020-05-08,3.75229
2020-05-09,0.79229
2020-05-10,0.64017
2020-05-11,3.98047
2020-05-12,3.53045
2020-05-13,3.60017
2020-05-14,3.38467
2020-05-15,3.28326
2020-05-16,0.33593
2020-05-17,0.29156
2020-05-18,2.91563
2020-05-19,3.11212
2020-05-20,3.5875
2020-05-21,7.16866
2020-05-22,6.18622
2020-05-23,0.74158
2020-05-24,0.61481
2020-05-25,4.31007
2020-05-26,4.62065
2020-05-27,3.57482
2020-05-28,3.68891
2020-05-29,3.10578
2020-05-30,0.55777
2020-05-31,0.58946
2020-06-01,4.00583
2020-06-02,4.11992
2020-06-03,3.86638
2020-06-04,4.27837
2020-06-05,3.79666
2020-06-06,0.58312
2020-06-07,0.38663
2020-06-08,3.7206
2020-06-09,2.92831
2020-06-10,4.45585
2020-06-11,3.63186
2020-06-12,2.77619
2020-06-13,0.53875
2020-06-14,0.36762
2020-06-15,3.02338
2020-06-16,3.47341
2020-06-17,3.63186
2020-06-18,3.00437
2020-06-19,2.22475
2020-06-20,0.22818
2020-06-21,0.17747
2020-06-22,2.7445
2020-06-23,2.38321
2020-06-24,2.72548
2020-06-25,2.37053
2020-06-26,2.33884
2020-06-27,0.27254
2020-06-28,0.29156
2020-06-29,2.49096
2020-06-30,2.67477
2020-07-01,2.26278
2020-07-02,2.08531
2020-07-03,2.28814
2020-07-04,0.26621
2020-07-05,0.23451
2020-07-06,2.25011
2020-07-07,2.12334
2020-07-08,2.32617
2020-07-09,2.85859
2020-07-10,2.35152
2020-07-11,0.26621
2020-07-12,0.38663
2020-07-13,2.7952
2020-07-14,3.32129
2020-07-15,3.28326
2020-07-16,2.63041
2020-07-17,2.37053
2020-07-18,0.26621
2020-07-19,0.2155
2020-07-20,2.05362
2020-07-21,2.37687
2020-07-22,2.31349
2020-07-23,2.11066
2020-07-24,2.02826
2020-07-25,0.24085
2020-07-26,0.24085
2020-07-27,2.20574
2020-07-28,2.07263
2020-07-29,1.78741
2020-07-30,1.88882
2020-07-31,1.71769
2020-08-01,0.36762
2020-08-02,0.31691
2020-08-03,1.92685
2020-08-04,2.07263
2020-08-05,1.83178
2020-08-06,1.74304
2020-08-07,2.0346
2020-08-08,0.45636
2020-08-09,0.53242
2020-08-10,3.11212
2020-08-11,3.27058
2020-08-12,2.77619
2020-08-13,2.78886
2020-08-14,2.09799
2020-08-15,0.19015
2020-08-16,0.32959
2020-08-17,0.68454
2020-08-18,2.38321
2020-08-19,2.47829
2020-08-20,2.63041
2020-08-21,2.38955
2020-08-22,0.36762
2020-08-23,0.31057
2020-08-24,2.40223
2020-08-25,2.44659
2020-08-26,2.56702
2020-08-27,2.00925
2020-08-28,2.12968
2020-08-29,0.27888
2020-08-30,0.36762
2020-08-31,2.21841
2020-09-01,2.27546
2020-09-02,2.62407
2020-09-03,2.49096
2020-09-04,2.25644
2020-09-05,0.19015
2020-09-06,0.11409
2020-09-07,2.22475
2020-09-08,2.69379
2020-09-09,2.47195
2020-09-10,2.40223
2020-09-11,2.23109
2020-09-12,0.38663
2020-09-13,0.53242
2020-09-14,2.7952
2020-09-15,2.52265
2020-09-16,2.56068
2020-09-17,2.05996
2020-09-18,1.88882
2020-09-19,0.49439
2020-09-20,0.37396
2020-09-21,1.9015
2020-09-22,2.06629
2020-09-23,1.58458
2020-09-24,1.75572
2020-09-25,1.59092
2020-09-26,0.24085
2020-09-27,0.14578
2020-09-28,1.81276
2020-09-29,1.38175
2020-09-30,0.19648
2020-10-01,0.24719
2020-10-02,0.2155
2020-10-03,0.24085
2020-10-04,0.3803
2020-10-05,2.12968
2020-10-06,2.42758
2020-10-07,1.74304
2020-10-08,1.81276
2020-10-09,0.3803
2020-10-10,0.28522
2020-10-11,0.31057
2020-10-12,1.99023
2020-10-13,1.74938
2020-10-14,1.60993
2020-10-15,1.55923
2020-10-16,1.45781
2020-10-17,0.25987
2020-10-18,0.33593
2020-10-19,1.6036
2020-10-20,1.37541
2020-10-21,1.38175
2020-10-22,1.39443
