date,유로환율전망
2020-03-20,77.80346
2020-03-21,23.93063
2020-03-22,17.68786
2020-03-23,47.63005
2020-03-24,37.34104
2020-03-25,42.08092
2020-03-26,29.59537
2020-03-27,27.05202
2020-03-28,11.32947
2020-03-29,8.20809
2020-03-30,27.28323
2020-03-31,21.38728
2020-04-01,21.15606
2020-04-02,21.50289
2020-04-03,22.42774
2020-04-04,9.13294
2020-04-05,6.58959
2020-04-06,18.72832
2020-04-07,22.08092
2020-04-08,17.80346
2020-04-09,14.68208
2020-04-10,15.37572
2020-04-11,8.4393
2020-04-12,5.43352
2020-04-13,11.09826
2020-04-14,13.64161
2020-04-15,8.32369
2020-04-16,11.6763
2020-04-17,13.29479
2020-04-18,5.20231
2020-04-19,5.78034
2020-04-20,15.37572
2020-04-21,14.10404
2020-04-22,18.95953
2020-04-23,12.25433
2020-04-24,10.63583
2020-04-25,4.97109
2020-04-26,4.73988
2020-04-27,10.17341
2020-04-28,10.0578
2020-04-29,7.97687
2020-04-30,5.54913
2020-05-01,5.43352
2020-05-02,5.0867
2020-05-03,5.20231
2020-05-04,12.02312
2020-05-05,8.09248
2020-05-06,15.72254
2020-05-07,12.48554
2020-05-08,9.36416
2020-05-09,5.66473
2020-05-10,4.04624
2020-05-11,9.71098
2020-05-12,10.40462
2020-05-13,12.25433
2020-05-14,12.94797
2020-05-15,8.90173
2020-05-16,4.73988
2020-05-17,3.81502
2020-05-18,6.24277
2020-05-19,10.75144
2020-05-20,16.06936
2020-05-21,16.87861
2020-05-22,18.4971
2020-05-23,4.62427
2020-05-24,4.50867
2020-05-25,16.99421
2020-05-26,15.1445
2020-05-27,16.53179
2020-05-28,27.16763
2020-05-29,33.64161
2020-05-30,13.06358
2020-05-31,11.6763
2020-06-01,23.12138
2020-06-02,23.4682
2020-06-03,16.18497
2020-06-04,15.37572
2020-06-05,30.86705
2020-06-06,9.13294
2020-06-07,5.43352
2020-06-08,23.93063
2020-06-09,19.65317
2020-06-10,19.76878
2020-06-11,14.45086
2020-06-12,16.53179
2020-06-13,5.78034
2020-06-14,3.69942
2020-06-15,16.18497
2020-06-16,20.46242
2020-06-17,14.68208
2020-06-18,12.94797
2020-06-19,14.21965
2020-06-20,6.8208
2020-06-21,5.31791
2020-06-22,14.79768
2020-06-23,15.49132
2020-06-24,13.64161
2020-06-25,12.83236
2020-06-26,16.87861
2020-06-27,6.12716
2020-06-28,4.27745
2020-06-29,10.52023
2020-06-30,11.09826
2020-07-01,10.52023
2020-07-02,7.51445
