date,실비보험비교사이트
2020-03-20,18.41216
2020-03-21,11.78209
2020-03-22,12.16216
2020-03-23,21.62162
2020-03-24,23.56418
2020-03-25,25.80236
2020-03-26,21.95945
2020-03-27,19.00337
2020-03-28,12.66891
2020-03-29,10.00844
2020-03-30,23.14189
2020-03-31,22.76182
2020-04-01,17.52533
2020-04-02,16.17398
2020-04-03,14.90709
2020-04-04,9.50168
2020-04-05,9.41722
2020-04-06,17.9054
2020-04-07,18.15878
2020-04-08,18.24324
2020-04-09,17.27195
2020-04-10,14.56925
2020-04-11,9.33277
2020-04-12,9.33277
2020-04-13,19.0456
2020-04-14,16.46959
2020-04-15,9.16385
2020-04-16,17.44087
2020-04-17,15.96283
2020-04-18,10.38851
2020-04-19,9.29054
2020-04-20,16.84966
2020-04-21,18.28547
2020-04-22,18.83445
2020-04-23,16.63851
2020-04-24,17.77871
2020-04-25,10.13513
2020-04-26,8.27702
2020-04-27,16.51182
2020-04-28,20.86148
2020-04-29,18.83445
2020-04-30,10.17736
2020-05-01,9.88175
2020-05-02,8.1081
2020-05-03,10.30405
2020-05-04,18.11655
2020-05-05,12.03547
2020-05-06,20.35472
2020-05-07,20.14358
2020-05-08,17.01858
2020-05-09,10.43074
2020-05-10,9.12162
2020-05-11,20.77702
2020-05-12,19.93243
2020-05-13,19.38344
2020-05-14,19.84797
2020-05-15,17.9054
2020-05-16,11.57094
2020-05-17,8.27702
2020-05-18,21.28378
2020-05-19,22.33952
2020-05-20,17.56756
2020-05-21,20.81925
2020-05-22,18.15878
2020-05-23,8.99493
2020-05-24,8.69932
2020-05-25,22.33952
2020-05-26,21.28378
2020-05-27,19.93243
2020-05-28,16.55405
2020-05-29,15.32939
2020-05-30,11.19087
2020-05-31,9.12162
2020-06-01,18.70777
2020-06-02,19.25675
2020-06-03,20.43918
2020-06-04,18.03209
2020-06-05,14.65371
2020-06-06,10.85304
2020-06-07,9.92398
2020-06-08,19.63682
2020-06-09,18.20101
2020-06-10,18.58108
2020-06-11,17.94763
2020-06-12,17.31418
2020-06-13,9.29054
2020-06-14,10.68412
2020-06-15,19.72128
2020-06-16,19.00337
2020-06-17,18.49662
2020-06-18,16.59628
2020-06-19,16.7652
2020-06-20,9.33277
2020-06-21,8.65709
2020-06-22,18.87668
2020-06-23,17.39864
2020-06-24,15.66722
2020-06-25,17.01858
2020-06-26,13.26013
2020-06-27,7.60135
2020-06-28,8.78378
2020-06-29,16.55405
2020-06-30,15.75168
2020-07-01,18.83445
2020-07-02,16.00506
2020-07-03,14.23141
2020-07-04,8.82601
2020-07-05,8.1081
2020-07-06,18.70777
2020-07-07,18.66554
2020-07-08,18.3277
2020-07-09,16.46959
2020-07-10,14.23141
2020-07-11,8.9527
2020-07-12,8.02364
2020-07-13,19.17229
2020-07-14,18.41216
2020-07-15,17.65202
2020-07-16,16.46959
2020-07-17,14.18918
