date,순금1돈가격
2020-03-20,51.78272
2020-03-21,32.85515
2020-03-22,26.23955
2020-03-23,30.47353
2020-03-24,34.69359
2020-03-25,32.46518
2020-03-26,30.80779
2020-03-27,25.47353
2020-03-28,22.28412
2020-03-29,18.7883
2020-03-30,24.76323
2020-03-31,25.5571
2020-04-01,26.1142
2020-04-02,25.18105
2020-04-03,22.38161
2020-04-04,22.13091
2020-04-05,20.66852
2020-04-06,24.61002
2020-04-07,26.23955
2020-04-08,27.89693
2020-04-09,25.65459
2020-04-10,27.1727
2020-04-11,23.85793
2020-04-12,34.23398
2020-04-13,36.33704
2020-04-14,36.68523
2020-04-15,27.75766
2020-04-16,31.21169
2020-04-17,32.33983
2020-04-18,26.74094
2020-04-19,24.10863
2020-04-20,28.31476
2020-04-21,29.0947
2020-04-22,32.50696
2020-04-23,28.9415
2020-04-24,34.31754
2020-04-25,27.9805
2020-04-26,25.57103
2020-04-27,36.74094
2020-04-28,32.4791
2020-04-29,28.74651
2020-04-30,26.2674
2020-05-01,23.66295
2020-05-02,23.34261
2020-05-03,24.03899
2020-05-04,27.40947
2020-05-05,25.19498
2020-05-06,30.87743
2020-05-07,27.18662
2020-05-08,26.54596
2020-05-09,24.72144
2020-05-10,22.84122
2020-05-11,26.78272
2020-05-12,25.57103
2020-05-13,22.1727
2020-05-14,24.66573
2020-05-15,24.80501
2020-05-16,21.82451
2020-05-17,19.73537
2020-05-18,31.28133
2020-05-19,29.84679
2020-05-20,27.9805
2020-05-21,36.65738
2020-05-22,37.52089
2020-05-23,32.77158
2020-05-24,32.0752
2020-05-25,40.7103
2020-05-26,43.70473
2020-05-27,41.1142
2020-05-28,41.54596
2020-05-29,37.31197
2020-05-30,34.10863
2020-05-31,32.74373
2020-06-01,38.77437
2020-06-02,38.09192
2020-06-03,37.18662
2020-06-04,34.31754
2020-06-05,32.29805
2020-06-06,27.46518
2020-06-07,26.54596
2020-06-08,32.43732
2020-06-09,34.42896
2020-06-10,33.76044
2020-06-11,32.1727
2020-06-12,33.31476
2020-06-13,31.83844
2020-06-14,30.29247
2020-06-15,38.89972
2020-06-16,37.24233
2020-06-17,29.54038
2020-06-18,30.82172
2020-06-19,30.13927
2020-06-20,28.56545
2020-06-21,28.05013
2020-06-22,42.29805
2020-06-23,37.78551
2020-06-24,34.76323
2020-06-25,35.69637
2020-06-26,32.36768
2020-06-27,33.03621
2020-06-28,27.883
2020-06-29,34.72144
2020-06-30,37.24233
2020-07-01,41.96378
2020-07-02,42.27019
2020-07-03,36.65738
2020-07-04,31.61559
2020-07-05,38.35654
2020-07-06,46.30919
2020-07-07,38.52367
2020-07-08,45.94707
2020-07-09,43.81615
2020-07-10,37.22841
2020-07-11,36.3649
2020-07-12,35.89136
2020-07-13,53.95543
2020-07-14,74.4986
2020-07-15,57.4791
2020-07-16,47.79944
2020-07-17,45.18105
2020-07-18,39.83286
2020-07-19,38.70473
2020-07-20,41.43454
2020-07-21,42.5766
2020-07-22,57.28412
2020-07-23,65.33426
2020-07-24,63.41225
2020-07-25,83.67688
2020-07-26,51.53203
2020-07-27,77.70194
2020-07-28,94.77715
2020-07-29,93.85793
2020-07-30,60.7103
2020-07-31,57.25626
2020-08-01,50.45961
2020-08-02,43.71866
2020-08-03,47.06128
2020-08-04,43.11977
2020-08-05,85.36211
2020-08-06,62.99442
2020-08-07,59.08077
2020-08-08,48.07799
2020-08-09,43.10584
2020-08-10,48.46796
2020-08-11,49.9025
2020-08-12,90.22284
2020-08-13,61.25348
2020-08-14,43.44011
2020-08-15,39.7493
2020-08-16,36.33704
2020-08-17,38.67688
2020-08-18,49.10863
2020-08-19,43.48189
2020-08-20,42.74373
2020-08-21,42.40947
2020-08-22,34.22005
2020-08-23,31.30919
2020-08-24,41.14206
2020-08-25,38.64902
2020-08-26,34.44289
2020-08-27,38.71866
2020-08-28,38.84401
2020-08-29,33.81615
2020-08-30,33.39832
2020-08-31,38.06406
2020-09-01,38.46796
2020-09-02,38.64902
2020-09-03,38.71866
2020-09-04,46.54596
2020-09-05,38.06406
2020-09-06,38.45403
2020-09-07,41.60167
2020-09-08,38.87186
2020-09-09,39.73537
2020-09-10,38.50974
2020-09-11,36.922
2020-09-12,35.72423
2020-09-13,32.11699
2020-09-14,36.922
2020-09-15,37.27019
2020-09-16,34.58217
2020-09-17,34.97214
2020-09-18,32.45125
2020-09-19,28.88579
2020-09-20,27.18662
2020-09-21,33.52367
2020-09-22,31.29526
2020-09-23,32.78551
2020-09-24,38.14763
2020-09-25,35.1532
2020-09-26,27.24233
2020-09-27,24.26183
2020-09-28,32.82729
2020-09-29,27.52089
2020-09-30,26.01671
2020-10-01,33.34261
2020-10-02,27.43732
2020-10-03,29.26183
2020-10-04,28.88579
2020-10-05,34.7493
2020-10-06,34.02506
2020-10-07,32.66016
2020-10-08,29.69359
2020-10-09,27.24233
