date,우주항공관련주
2020-12-14,0.14357
2020-12-15,0.62215
2020-12-16,0.40679
2020-12-17,0.59822
2020-12-18,0.43072
2020-12-19,0.59822
2020-12-20,1.02895
2020-12-21,0.95716
2020-12-22,1.07681
2020-12-23,0.83752
2020-12-24,0.98109
2020-12-25,0.67001
2020-12-26,0.7418
2020-12-27,0.71787
2020-12-28,1.4836
2020-12-29,1.62718
2020-12-30,1.7229
2020-12-31,1.29217
2021-01-01,1.93826
2021-01-02,2.82364
2021-01-03,2.8715
2021-01-04,3.66116
2021-01-05,5.24048
2021-01-06,4.28332
2021-01-07,3.37401
2021-01-08,4.09188
2021-01-09,2.91935
2021-01-10,2.44077
2021-01-11,2.77578
2021-01-12,2.53649
2021-01-13,5.81478
2021-01-14,7.48983
2021-01-15,14.97966
2021-01-16,6.26944
2021-01-17,7.99234
2021-01-18,47.90619
2021-01-19,54.34314
2021-01-20,54.22349
2021-01-21,100.0
2021-01-22,69.08351
2021-01-23,29.79181
2021-01-24,28.06891
2021-01-25,43.83823
2021-01-26,27.27925
2021-01-27,17.18114
2021-01-28,13.61569
2021-01-29,18.18616
2021-01-30,12.15601
2021-01-31,11.79708
2021-02-01,12.25173
2021-02-02,22.25412
2021-02-03,20.8423
2021-02-04,56.61641
2021-02-05,43.12036
2021-02-06,27.1596
2021-02-07,44.91505
2021-02-08,48.2412
2021-02-09,33.8837
2021-02-10,29.98324
2021-02-11,17.03756
2021-02-12,15.86503
2021-02-13,22.972
2021-02-14,20.77051
2021-02-15,45.05862
2021-02-16,31.0122
2021-02-17,21.79947
2021-02-18,32.56759
2021-02-19,31.34721
2021-02-20,17.08542
2021-02-21,13.49605
2021-02-22,24.67097
2021-02-23,21.39267
2021-02-24,14.23785
2021-02-25,16.2479
2021-02-26,17.8033
2021-02-27,13.30461
2021-02-28,12.0603
2021-03-01,24.8624
2021-03-02,24.62311
2021-03-03,12.51495
2021-03-04,15.88896
2021-03-05,12.32352
2021-03-06,15.07537
2021-03-07,14.38143
2021-03-08,12.87389
2021-03-09,8.3752
2021-03-10,8.80593
2021-03-11,12.29959
2021-03-12,10.05025
2021-03-13,8.54271
2021-03-14,8.54271
2021-03-15,12.89782
2021-03-16,10.76812
2021-03-17,13.08925
2021-03-18,13.63962
2021-03-19,12.92175
2021-03-20,8.13591
2021-03-21,7.51375
2021-03-22,15.36252
2021-03-23,10.72026
2021-03-24,6.53266
2021-03-25,15.60181
2021-03-26,18.3776
2021-03-27,6.6523
2021-03-28,23.16343
2021-03-29,45.944
2021-03-30,35.98947
2021-03-31,18.64082
2021-04-01,12.34745
2021-04-02,10.12203
