date,연금보험료
2020-03-20,5.74052
2020-03-21,2.52583
2020-03-22,2.41102
2020-03-23,5.62571
2020-03-24,8.26636
2020-03-25,9.64408
2020-03-26,23.42135
2020-03-27,45.80941
2020-03-28,19.74741
2020-03-29,17.10677
2020-03-30,48.10562
2020-03-31,47.41676
2020-04-01,30.76923
2020-04-02,20.20665
2020-04-03,32.83582
2020-04-04,16.64753
2020-04-05,10.79219
2020-04-06,20.55109
2020-04-07,18.71412
2020-04-08,17.33639
2020-04-09,14.2365
2020-04-10,16.99196
2020-04-11,4.59242
2020-04-12,4.82204
2020-04-13,9.29965
2020-04-14,6.31458
2020-04-15,5.5109
2020-04-16,6.88863
2020-04-17,7.34787
2020-04-18,3.21469
2020-04-19,3.21469
2020-04-20,6.31458
2020-04-21,7.11825
2020-04-22,7.11825
2020-04-23,8.95522
2020-04-24,7.6923
2020-04-25,3.55912
2020-04-26,2.64064
2020-04-27,9.52927
2020-04-28,10.44776
2020-04-29,27.55453
2020-04-30,16.87715
2020-05-01,13.31802
2020-05-02,5.97014
2020-05-03,7.00344
2020-05-04,40.18369
2020-05-05,23.9954
2020-05-06,38.57634
2020-05-07,30.42479
2020-05-08,19.86222
2020-05-09,11.36624
2020-05-10,7.57749
2020-05-11,19.97703
2020-05-12,12.97359
2020-05-13,13.0884
2020-05-14,13.0884
2020-05-15,8.49598
2020-05-16,2.64064
2020-05-17,2.41102
2020-05-18,6.77382
2020-05-19,6.5442
2020-05-20,8.03673
2020-05-21,9.52927
2020-05-22,7.57749
2020-05-23,2.1814
2020-05-24,3.09988
2020-05-25,8.03673
2020-05-26,8.49598
2020-05-27,39.26521
2020-05-28,54.07577
2020-05-29,41.21699
2020-05-30,12.74397
2020-05-31,12.74397
2020-06-01,23.42135
2020-06-02,16.99196
2020-06-03,11.36624
2020-06-04,16.76234
2020-06-05,16.99196
2020-06-06,4.59242
2020-06-07,4.93685
2020-06-08,9.29965
2020-06-09,6.88863
2020-06-10,9.98851
2020-06-11,5.97014
2020-06-12,5.28128
2020-06-13,1.83696
2020-06-14,2.1814
2020-06-15,6.31458
2020-06-16,4.70723
2020-06-17,4.24799
2020-06-18,5.28128
2020-06-19,3.67393
2020-06-20,1.03329
2020-06-21,0.57405
2020-06-22,6.65901
2020-06-23,5.74052
2020-06-24,16.76234
2020-06-25,14.92537
2020-06-26,32.72101
2020-06-27,15.84385
2020-06-28,6.65901
2020-06-29,32.03214
2020-06-30,27.43972
2020-07-01,22.27324
2020-07-02,15.15499
2020-07-03,8.61079
2020-07-04,4.59242
2020-07-05,3.90355
2020-07-06,8.84041
2020-07-07,7.80711
2020-07-08,9.52927
2020-07-09,4.70723
2020-07-10,9.07003
2020-07-11,3.3295
2020-07-12,1.49253
2020-07-13,6.31458
2020-07-14,5.16647
2020-07-15,4.59242
2020-07-16,2.98507
2020-07-17,5.28128
2020-07-18,1.37772
2020-07-19,1.37772
2020-07-20,5.28128
2020-07-21,6.5442
2020-07-22,6.65901
2020-07-23,7.57749
2020-07-24,6.19977
2020-07-25,1.60734
2020-07-26,1.1481
2020-07-27,5.39609
2020-07-28,22.27324
2020-07-29,36.16532
2020-07-30,33.63949
2020-07-31,25.60275
2020-08-01,8.7256
2020-08-02,6.65901
2020-08-03,13.54764
2020-08-04,15.38461
2020-08-05,12.28473
2020-08-06,11.13662
2020-08-07,10.907
2020-08-08,4.82204
2020-08-09,4.47761
2020-08-10,14.92537
2020-08-11,9.18484
2020-08-12,5.39609
2020-08-13,5.85533
2020-08-14,3.21469
2020-08-15,2.29621
2020-08-16,2.06659
2020-08-17,1.26291
2020-08-18,5.28128
2020-08-19,5.62571
2020-08-20,4.70723
2020-08-21,6.5442
2020-08-22,2.29621
2020-08-23,1.49253
2020-08-24,8.03673
2020-08-25,6.42939
2020-08-26,21.46957
2020-08-27,42.59471
2020-08-28,46.49827
2020-08-29,17.91044
2020-08-30,15.61423
2020-08-31,33.29506
2020-09-01,23.42135
2020-09-02,15.95866
2020-09-03,13.20321
