date,카드가맹점
2020-03-20,22.40437
2020-03-21,6.55737
2020-03-22,3.27868
2020-03-23,21.85792
2020-03-24,20.21857
2020-03-25,31.14754
2020-03-26,25.68306
2020-03-27,21.85792
2020-03-28,6.55737
2020-03-29,4.37158
2020-03-30,19.12568
2020-03-31,20.76502
2020-04-01,22.40437
2020-04-02,24.59016
2020-04-03,22.95081
2020-04-04,15.30054
2020-04-05,15.84699
2020-04-06,27.3224
2020-04-07,31.69398
2020-04-08,26.2295
2020-04-09,30.60109
2020-04-10,35.51912
2020-04-11,13.11475
2020-04-12,12.02185
2020-04-13,28.4153
2020-04-14,37.15846
2020-04-15,21.31147
2020-04-16,42.0765
2020-04-17,29.50819
2020-04-18,12.5683
2020-04-19,12.02185
2020-04-20,27.86885
2020-04-21,55.19125
2020-04-22,41.53005
2020-04-23,37.15846
2020-04-24,37.15846
2020-04-25,8.74316
2020-04-26,9.83606
2020-04-27,33.87978
2020-04-28,32.24043
2020-04-29,31.69398
2020-04-30,17.48633
2020-05-01,18.03278
2020-05-02,8.19672
2020-05-03,13.11475
2020-05-04,30.60109
2020-05-05,27.3224
2020-05-06,36.06557
2020-05-07,39.89071
2020-05-08,35.51912
2020-05-09,10.92896
2020-05-10,20.76502
2020-05-11,68.30601
2020-05-12,43.71584
2020-05-13,100.0
2020-05-14,68.85245
2020-05-15,45.90163
2020-05-16,24.04371
2020-05-17,6.01092
2020-05-18,44.80874
2020-05-19,38.25136
2020-05-20,35.51912
2020-05-21,31.14754
2020-05-22,28.96174
2020-05-23,18.03278
2020-05-24,8.19672
2020-05-25,26.2295
2020-05-26,35.51912
2020-05-27,33.33333
2020-05-28,18.03278
2020-05-29,14.20765
2020-05-30,12.02185
2020-05-31,10.92896
2020-06-01,24.59016
2020-06-02,22.95081
2020-06-03,29.50819
2020-06-04,21.31147
2020-06-05,16.39344
2020-06-06,7.10382
2020-06-07,7.65027
2020-06-08,18.03278
2020-06-09,24.59016
2020-06-10,20.76502
2020-06-11,23.49726
2020-06-12,29.50819
2020-06-13,3.27868
2020-06-14,5.46448
2020-06-15,21.31147
2020-06-16,15.84699
2020-06-17,21.85792
2020-06-18,21.31147
2020-06-19,9.83606
2020-06-20,7.65027
2020-06-21,12.02185
2020-06-22,18.03278
2020-06-23,18.03278
2020-06-24,19.12568
2020-06-25,19.67213
2020-06-26,14.75409
2020-06-27,8.74316
2020-06-28,6.55737
2020-06-29,20.76502
2020-06-30,24.59016
2020-07-01,20.21857
2020-07-02,25.68306
2020-07-03,16.93989
2020-07-04,8.74316
2020-07-05,4.91803
2020-07-06,28.96174
2020-07-07,22.95081
2020-07-08,22.95081
2020-07-09,24.04371
2020-07-10,18.57923
2020-07-11,6.55737
2020-07-12,8.19672
2020-07-13,15.30054
2020-07-14,18.57923
2020-07-15,31.69398
2020-07-16,22.40437
2020-07-17,21.85792
2020-07-18,8.74316
2020-07-19,7.10382
2020-07-20,20.76502
2020-07-21,20.21857
2020-07-22,16.93989
2020-07-23,18.03278
2020-07-24,22.40437
2020-07-25,3.82513
2020-07-26,7.65027
2020-07-27,22.95081
2020-07-28,21.31147
2020-07-29,26.2295
2020-07-30,16.39344
2020-07-31,19.67213
2020-08-01,2.73224
2020-08-02,3.27868
2020-08-03,18.57923
2020-08-04,22.40437
2020-08-05,14.75409
2020-08-06,18.57923
2020-08-07,21.85792
2020-08-08,9.28961
2020-08-09,12.02185
2020-08-10,30.05464
2020-08-11,25.13661
2020-08-12,17.48633
2020-08-13,23.49726
2020-08-14,24.04371
2020-08-15,2.73224
2020-08-16,4.37158
2020-08-17,3.27868
2020-08-18,21.85792
2020-08-19,24.59016
2020-08-20,29.50819
2020-08-21,19.12568
2020-08-22,10.92896
2020-08-23,8.19672
2020-08-24,23.49726
2020-08-25,23.49726
2020-08-26,21.85792
2020-08-27,15.84699
2020-08-28,15.30054
2020-08-29,8.74316
2020-08-30,4.37158
2020-08-31,22.95081
2020-09-01,19.12568
2020-09-02,17.48633
2020-09-03,16.39344
2020-09-04,16.93989
2020-09-05,8.74316
2020-09-06,3.82513
2020-09-07,16.93989
2020-09-08,20.76502
2020-09-09,27.3224
2020-09-10,24.04371
2020-09-11,18.03278
2020-09-12,5.46448
2020-09-13,4.91803
2020-09-14,24.59016
2020-09-15,20.21857
2020-09-16,26.2295
2020-09-17,24.04371
2020-09-18,14.20765
2020-09-19,3.82513
2020-09-20,3.27868
2020-09-21,19.12568
2020-09-22,21.31147
2020-09-23,21.31147
2020-09-24,16.39344
2020-09-25,20.21857
2020-09-26,2.73224
2020-09-27,6.55737
2020-09-28,24.59016
