date,적금금리
2020-03-20,17.90893
2020-03-21,9.57076
2020-03-22,11.68793
2020-03-23,18.16995
2020-03-24,18.09744
2020-03-25,21.2732
2020-03-26,20.69315
2020-03-27,18.18445
2020-03-28,12.41299
2020-03-29,11.39791
2020-03-30,18.28596
2020-03-31,20.40313
2020-04-01,20.0551
2020-04-02,16.74883
2020-04-03,14.70417
2020-04-04,10.60034
2020-04-05,11.54292
2020-04-06,16.41531
2020-04-07,15.98027
2020-04-08,15.22621
2020-04-09,15.58874
2020-04-10,16.44431
2020-04-11,11.74593
2020-04-12,14.73317
2020-04-13,18.09744
2020-04-14,15.63225
2020-04-15,12.68851
2020-04-16,17.29988
2020-04-17,15.31322
2020-04-18,10.78886
2020-04-19,12.25348
2020-04-20,18.57598
2020-04-21,18.43097
2020-04-22,17.95243
2020-04-23,17.5609
2020-04-24,18.22795
2020-04-25,12.5725
2020-04-26,12.616
2020-04-27,19.85208
2020-04-28,16.89385
2020-04-29,16.45881
2020-04-30,12.00696
2020-05-01,12.38399
2020-05-02,10.26682
2020-05-03,12.20997
2020-05-04,22.70881
2020-05-05,14.35614
2020-05-06,18.72099
2020-05-07,15.0812
2020-05-08,14.41415
2020-05-09,9.35324
2020-05-10,10.60034
2020-05-11,15.42923
2020-05-12,13.7761
2020-05-13,13.55858
2020-05-14,13.73259
2020-05-15,16.51682
2020-05-16,9.65777
2020-05-17,9.35324
2020-05-18,17.98143
2020-05-19,19.18503
2020-05-20,16.80684
2020-05-21,8.88921
2020-05-22,8.17865
2020-05-23,4.52436
2020-05-24,5.85846
2020-05-25,11.68793
2020-05-26,14.05162
2020-05-27,13.47157
2020-05-28,14.41415
2020-05-29,12.83352
2020-05-30,8.43967
2020-05-31,12.06496
2020-06-01,18.45997
2020-06-02,15.61774
2020-06-03,14.68967
2020-06-04,14.09512
2020-06-05,12.94953
2020-06-06,8.04814
2020-06-07,8.94721
2020-06-08,14.48665
2020-06-09,12.84802
2020-06-10,16.03828
2020-06-11,13.16705
2020-06-12,12.10846
2020-06-13,6.80104
2020-06-14,8.67169
2020-06-15,15.98027
2020-06-16,14.25464
2020-06-17,12.68851
2020-06-18,14.86368
2020-06-19,13.47157
2020-06-20,7.27958
2020-06-21,9.32424
2020-06-22,14.22563
2020-06-23,12.92053
2020-06-24,13.51508
2020-06-25,16.11078
2020-06-26,13.52958
2020-06-27,8.14965
2020-06-28,8.68619
2020-06-29,14.26914
2020-06-30,14.47215
2020-07-01,17.18387
2020-07-02,13.47157
2020-07-03,12.12296
2020-07-04,7.85962
2020-07-05,9.26624
2020-07-06,14.06612
2020-07-07,14.61716
2020-07-08,13.45707
2020-07-09,12.10846
2020-07-10,11.3109
2020-07-11,7.00406
2020-07-12,9.38225
2020-07-13,13.63109
2020-07-14,13.15255
2020-07-15,15.77726
2020-07-16,11.86194
2020-07-17,10.75986
2020-07-18,6.83004
2020-07-19,8.06264
2020-07-20,13.89211
2020-07-21,13.25406
2020-07-22,12.45649
2020-07-23,11.02088
2020-07-24,13.22505
2020-07-25,8.58468
2020-07-26,9.87529
2020-07-27,14.37064
2020-07-28,14.00812
2020-07-29,12.38399
2020-07-30,11.67343
2020-07-31,13.45707
2020-08-01,8.93271
2020-08-02,8.33816
2020-08-03,14.28364
2020-08-04,12.6015
2020-08-05,13.26856
2020-08-06,11.65893
2020-08-07,10.96287
2020-08-08,6.72853
