date,자동차일일보험
2020-03-20,35.82677
2020-03-21,38.81889
2020-03-22,29.84251
2020-03-23,21.81102
2020-03-24,22.83464
2020-03-25,22.59842
2020-03-26,26.77165
2020-03-27,32.83464
2020-03-28,37.55905
2020-03-29,28.58267
2020-03-30,24.80314
2020-03-31,24.96062
2020-04-01,23.937
2020-04-02,26.53543
2020-04-03,32.83464
2020-04-04,30.55118
2020-04-05,26.85039
2020-04-06,24.64566
2020-04-07,22.51968
2020-04-08,26.06299
2020-04-09,24.40944
2020-04-10,33.5433
2020-04-11,35.35433
2020-04-12,25.74803
2020-04-13,23.77952
2020-04-14,29.52755
2020-04-15,26.37795
2020-04-16,25.82677
2020-04-17,34.01574
2020-04-18,34.40944
2020-04-19,18.81889
2020-04-20,23.62204
2020-04-21,24.3307
2020-04-22,24.64566
2020-04-23,27.16535
2020-04-24,36.22047
2020-04-25,33.46456
2020-04-26,28.42519
2020-04-27,29.44881
2020-04-28,34.96062
2020-04-29,52.91338
2020-04-30,53.07086
2020-05-01,58.42519
2020-05-02,41.81102
2020-05-03,29.37007
2020-05-04,31.25984
2020-05-05,24.88188
2020-05-06,23.22834
2020-05-07,24.96062
2020-05-08,28.58267
2020-05-09,27.24409
2020-05-10,22.12598
2020-05-11,23.07086
2020-05-12,24.80314
2020-05-13,24.56692
2020-05-14,26.22047
2020-05-15,29.13385
2020-05-16,27.00787
2020-05-17,21.25984
2020-05-18,22.3622
2020-05-19,21.1811
2020-05-20,22.12598
2020-05-21,22.91338
2020-05-22,37.48031
2020-05-23,34.17322
2020-05-24,26.22047
2020-05-25,25.59055
2020-05-26,24.64566
2020-05-27,22.7559
2020-05-28,24.88188
2020-05-29,34.09448
2020-05-30,36.53543
2020-05-31,25.82677
2020-06-01,22.91338
2020-06-02,23.77952
2020-06-03,25.43307
2020-06-04,28.89763
2020-06-05,34.80314
2020-06-06,36.06299
2020-06-07,24.3307
2020-06-08,25.11811
2020-06-09,20.7874
2020-06-10,22.59842
2020-06-11,26.77165
2020-06-12,28.66141
2020-06-13,33.07086
2020-06-14,24.80314
2020-06-15,24.88188
2020-06-16,24.40944
2020-06-17,23.85826
2020-06-18,29.05511
2020-06-19,38.58267
2020-06-20,33.46456
2020-06-21,29.44881
2020-06-22,28.81889
2020-06-23,22.59842
2020-06-24,19.44881
2020-06-25,26.22047
2020-06-26,38.34645
2020-06-27,33.85826
2020-06-28,28.18897
2020-06-29,23.1496
2020-06-30,24.88188
2020-07-01,28.81889
2020-07-02,29.60629
2020-07-03,41.41732
2020-07-04,36.45669
2020-07-05,28.81889
2020-07-06,32.7559
2020-07-07,28.81889
2020-07-08,29.13385
2020-07-09,31.41732
2020-07-10,40.47244
2020-07-11,40.0
2020-07-12,27.48031
2020-07-13,28.81889
2020-07-14,30.0
2020-07-15,29.29133
2020-07-16,34.96062
2020-07-17,44.3307
2020-07-18,35.74803
2020-07-19,29.29133
2020-07-20,33.62204
2020-07-21,31.9685
2020-07-22,28.34645
2020-07-23,28.81889
2020-07-24,39.60629
2020-07-25,44.48818
2020-07-26,34.7244
2020-07-27,37.16535
2020-07-28,33.22834
2020-07-29,36.45669
2020-07-30,38.74015
2020-07-31,58.11023
2020-08-01,48.34645
2020-08-02,33.85826
2020-08-03,40.86614
2020-08-04,35.27559
2020-08-05,31.1811
2020-08-06,31.65354
2020-08-07,40.23622
2020-08-08,33.62204
2020-08-09,25.27559
2020-08-10,30.0
2020-08-11,34.01574
2020-08-12,35.74803
2020-08-13,36.69291
2020-08-14,57.95275
2020-08-15,53.38582
2020-08-16,41.02362
2020-08-17,35.90551
2020-08-18,34.48818
