date,헌법
2020-03-20,14.63298
2020-03-21,12.34509
2020-03-22,13.62011
2020-03-23,18.88703
2020-03-24,20.51954
2020-03-25,19.18493
2020-03-26,20.65061
2020-03-27,18.75595
2020-03-28,14.63298
2020-03-29,16.28932
2020-03-30,17.49285
2020-03-31,17.04003
2020-04-01,15.95567
2020-04-02,16.73021
2020-04-03,13.23879
2020-04-04,10.92707
2020-04-05,13.33412
2020-04-06,15.72926
2020-04-07,19.36367
2020-04-08,17.74308
2020-04-09,19.98331
2020-04-10,18.73212
2020-04-11,11.72545
2020-04-12,13.00047
2020-04-13,22.66444
2020-04-14,21.34175
2020-04-15,17.12345
2020-04-16,35.39084
2020-04-17,27.59771
2020-04-18,12.89323
2020-04-19,16.84938
2020-04-20,24.83317
2020-04-21,24.15395
2020-04-22,22.36653
2020-04-23,21.48474
2020-04-24,18.4938
2020-04-25,11.27264
2020-04-26,12.45233
2020-04-27,22.86701
2020-04-28,21.25834
2020-04-29,17.87416
2020-04-30,12.61916
2020-05-01,17.54051
2020-05-02,9.80695
2020-05-03,12.09485
2020-05-04,18.99428
2020-05-05,14.18017
2020-05-06,21.05576
2020-05-07,20.48379
2020-05-08,21.29408
2020-05-09,12.1306
2020-05-10,14.53765
2020-05-11,18.32697
2020-05-12,19.64966
2020-05-13,20.10247
2020-05-14,21.48474
2020-05-15,21.09151
2020-05-16,12.16634
2020-05-17,15.10962
2020-05-18,20.65061
2020-05-19,19.35176
2020-05-20,17.61201
2020-05-21,18.21973
2020-05-22,17.92183
2020-05-23,10.93898
2020-05-24,13.48903
2020-05-25,20.38846
2020-05-26,21.6039
2020-05-27,20.10247
2020-05-28,18.62488
2020-05-29,16.62297
2020-05-30,12.94089
2020-05-31,16.67063
2020-06-01,19.43517
2020-06-02,20.97235
2020-06-03,18.62488
2020-06-04,18.7202
2020-06-05,17.55243
2020-06-06,12.58341
2020-06-07,14.76406
2020-06-08,17.89799
2020-06-09,17.17111
2020-06-10,17.69542
2020-06-11,17.80266
2020-06-12,14.77597
2020-06-13,12.89323
2020-06-14,16.17016
2020-06-15,20.11439
2020-06-16,21.13918
2020-06-17,21.65157
2020-06-18,18.64871
2020-06-19,18.58913
2020-06-20,13.69161
2020-06-21,18.13632
2020-06-22,23.83222
2020-06-23,23.48665
2020-06-24,23.85605
2020-06-25,22.24737
2020-06-26,19.87607
2020-06-27,12.94089
2020-06-28,16.46806
2020-06-29,20.29313
2020-06-30,20.00714
2020-07-01,20.5672
2020-07-02,21.58007
2020-07-03,16.20591
2020-07-04,11.18922
2020-07-05,15.77693
2020-07-06,20.85319
2020-07-07,19.57816
2020-07-08,21.75881
2020-07-09,18.5653
2020-07-10,17.57626
2020-07-11,11.72545
2020-07-12,15.20495
2020-07-13,21.47283
2020-07-14,21.94947
2020-07-15,27.84795
2020-07-16,36.09389
2020-07-17,100.0
2020-07-18,17.24261
2020-07-19,17.4571
2020-07-20,22.55719
2020-07-21,23.55815
2020-07-22,23.20066
2020-07-23,21.28217
2020-07-24,17.4571
2020-07-25,10.12869
2020-07-26,13.97759
2020-07-27,19.29218
2020-07-28,19.17302
2020-07-29,18.06482
2020-07-30,16.75405
2020-07-31,13.33412
2020-08-01,7.80505
2020-08-02,8.93708
2020-08-03,13.15538
2020-08-04,13.03622
2020-08-05,13.28646
2020-08-06,12.36892
2020-08-07,11.41563
2020-08-08,8.17445
2020-08-09,9.04432
2020-08-10,14.56148
2020-08-11,12.26167
2020-08-12,11.59437
2020-08-13,12.77407
2020-08-14,11.26072
2020-08-15,11.26072
2020-08-16,9.72354
2020-08-17,10.64108
2020-08-18,12.60724
2020-08-19,13.07197
2020-08-20,12.84556
2020-08-21,12.1306
2020-08-22,9.43755
2020-08-23,12.90514
2020-08-24,16.32507
2020-08-25,14.89513
2020-08-26,15.59818
2020-08-27,17.74308
2020-08-28,16.93279
2020-08-29,11.0224
2020-08-30,10.53384
2020-08-31,18.25548
2020-09-01,19.79265
2020-09-02,19.22068
2020-09-03,19.51858
2020-09-04,16.2774
2020-09-05,9.81887
2020-09-06,12.17826
2020-09-07,19.54242
2020-09-08,17.83841
2020-09-09,16.86129
2020-09-10,17.67159
2020-09-11,15.82459
2020-09-12,9.92612
2020-09-13,13.04814
2020-09-14,16.13441
2020-09-15,16.46806
2020-09-16,15.44327
2020-09-17,15.28836
2020-09-18,13.21496
2020-09-19,10.11677
2020-09-20,12.19018
2020-09-21,15.95567
2020-09-22,15.66968
2020-09-23,16.87321
2020-09-24,16.62297
2020-09-25,13.44137
2020-09-26,10.2836
2020-09-27,12.52383
2020-09-28,15.10962
2020-09-29,12.82173
2020-09-30,6.88751
