date,반도체ETF
2020-03-20,1.36663
2020-03-21,1.22525
2020-03-22,2.21489
2020-03-23,1.08388
2020-03-24,3.06314
2020-03-25,4.75966
2020-03-26,5.04241
2020-03-27,3.01602
2020-03-28,1.46088
2020-03-29,2.63901
2020-03-30,1.69651
2020-03-31,1.69651
2020-04-01,1.08388
2020-04-02,1.88501
2020-04-03,1.03675
2020-04-04,0.51837
2020-04-05,1.50801
2020-04-06,0.98963
2020-04-07,1.60226
2020-04-08,2.16776
2020-04-09,2.40339
2020-04-10,1.131
2020-04-11,0.65975
2020-04-12,0.98963
2020-04-13,0.65975
2020-04-14,1.27238
2020-04-15,0.65975
2020-04-16,1.3195
2020-04-17,1.03675
2020-04-18,0.42412
2020-04-19,0.70688
2020-04-20,1.131
2020-04-21,0.65975
2020-04-22,0.65975
2020-04-23,1.27238
2020-04-24,0.47125
2020-04-25,0.61262
2020-04-26,4.75966
2020-04-27,1.131
2020-04-28,0.89538
2020-04-29,1.79076
2020-04-30,0.61262
2020-05-01,0.70688
2020-05-02,0.47125
2020-05-03,0.70688
2020-05-04,1.131
2020-05-05,0.89538
2020-05-06,1.55513
2020-05-07,0.51837
2020-05-08,0.51837
2020-05-09,0.65975
2020-05-10,0.65975
2020-05-11,0.754
2020-05-12,1.27238
2020-05-13,1.27238
2020-05-14,0.42412
2020-05-15,1.17813
2020-05-16,0.42412
2020-05-17,1.03675
2020-05-18,1.08388
2020-05-19,1.03675
2020-05-20,2.16776
2020-05-21,2.16776
2020-05-22,0.754
2020-05-23,0.42412
2020-05-24,1.22525
2020-05-25,0.47125
2020-05-26,1.27238
2020-05-27,0.89538
2020-05-28,1.03675
2020-05-29,1.3195
2020-05-30,0.5655
2020-05-31,0.98963
2020-06-01,0.89538
2020-06-02,1.50801
2020-06-03,2.54476
2020-06-04,1.93213
2020-06-05,1.55513
2020-06-06,1.60226
2020-06-07,1.03675
2020-06-08,1.27238
2020-06-09,1.08388
2020-06-10,1.55513
2020-06-11,0.89538
2020-06-12,0.5655
2020-06-13,0.89538
2020-06-14,0.754
2020-06-15,1.22525
2020-06-16,1.50801
2020-06-17,1.41376
2020-06-18,1.131
2020-06-19,1.08388
2020-06-20,0.377
2020-06-21,0.28275
2020-06-22,0.89538
2020-06-23,0.65975
2020-06-24,0.89538
2020-06-25,0.84825
2020-06-26,0.5655
2020-06-27,0.32987
2020-06-28,0.5655
2020-06-29,0.47125
2020-06-30,1.27238
2020-07-01,0.61262
2020-07-02,1.27238
2020-07-03,1.22525
2020-07-04,0.28275
2020-07-05,0.377
2020-07-06,1.22525
2020-07-07,0.80113
2020-07-08,0.84825
2020-07-09,1.27238
2020-07-10,1.17813
2020-07-11,0.51837
2020-07-12,0.51837
2020-07-13,0.70688
