date,재택부업
2020-03-20,98.67654
2020-03-21,85.23028
2020-03-22,80.35997
2020-03-23,93.85918
2020-03-24,89.41238
2020-03-25,83.64213
2020-03-26,84.4362
2020-03-27,75.33086
2020-03-28,49.92059
2020-03-29,57.75542
2020-03-30,76.07199
2020-03-31,82.05399
2020-04-01,68.60772
2020-04-02,72.73689
2020-04-03,61.51402
2020-04-04,48.33245
2020-04-05,53.14981
2020-04-06,70.46056
2020-04-07,67.76071
2020-04-08,64.16093
2020-04-09,58.86712
2020-04-10,48.80889
2020-04-11,37.6919
2020-04-12,50.71466
2020-04-13,69.66649
2020-04-14,55.84965
2020-04-15,49.76177
2020-04-16,59.76707
2020-04-17,62.78454
2020-04-18,41.92694
2020-04-19,47.69719
2020-04-20,61.40815
2020-04-21,62.94335
2020-04-22,60.5082
2020-04-23,56.0614
2020-04-24,50.71466
2020-04-25,33.08628
2020-04-26,38.5389
2020-04-27,63.94917
2020-04-28,54.36739
2020-04-29,49.60296
2020-04-30,34.3568
2020-05-01,28.32186
2020-05-02,25.99258
2020-05-03,32.76866
2020-05-04,39.54473
2020-05-05,37.90365
2020-05-06,43.88565
2020-05-07,38.69772
2020-05-08,37.48014
2020-05-09,29.06299
2020-05-10,36.31551
2020-05-11,46.00317
2020-05-12,46.10905
2020-05-13,45.57967
2020-05-14,40.28586
2020-05-15,41.13287
2020-05-16,27.58073
2020-05-17,31.07464
2020-05-18,44.25622
2020-05-19,43.35627
2020-05-20,40.55055
2020-05-21,43.99152
2020-05-22,33.03335
2020-05-23,24.56326
2020-05-24,29.91
2020-05-25,48.12069
2020-05-26,49.17946
2020-05-27,43.51508
2020-05-28,37.58602
2020-05-29,31.70989
2020-05-30,23.08099
2020-05-31,27.21016
2020-06-01,41.55637
2020-06-02,40.55055
2020-06-03,38.22128
2020-06-04,33.82742
2020-06-05,32.39809
2020-06-06,23.08099
2020-06-07,23.98094
2020-06-08,39.06829
2020-06-09,38.75066
2020-06-10,43.40921
2020-06-11,41.18581
2020-06-12,34.09211
2020-06-13,24.08681
2020-06-14,28.00423
2020-06-15,46.95606
2020-06-16,45.31498
2020-06-17,44.52091
2020-06-18,47.90894
2020-06-19,33.35097
2020-06-20,24.45738
2020-06-21,22.55161
2020-06-22,41.66225
2020-06-23,43.93859
2020-06-24,41.71519
2020-06-25,41.55637
2020-06-26,33.82742
2020-06-27,24.40444
2020-06-28,30.17469
2020-06-29,44.20328
2020-06-30,43.99152
