date,전세보증금
2020-03-20,40.44409
2020-03-21,31.64155
2020-03-22,36.24107
2020-03-23,50.35685
2020-03-24,48.2157
2020-03-25,42.50594
2020-03-26,42.03013
2020-03-27,37.58921
2020-03-28,32.67248
2020-03-29,32.51387
2020-03-30,49.00872
2020-03-31,45.20222
2020-04-01,37.43061
2020-04-02,44.88501
2020-04-03,35.44805
2020-04-04,30.61062
2020-04-05,37.98572
2020-04-06,44.32989
2020-04-07,44.25059
2020-04-08,42.03013
2020-04-09,41.47501
2020-04-10,35.52735
2020-04-11,31.56225
2020-04-12,34.09992
2020-04-13,45.28152
2020-04-14,39.96827
2020-04-15,30.45202
2020-04-16,42.18873
2020-04-17,38.93735
2020-04-18,35.68596
2020-04-19,33.7034
2020-04-20,45.91593
2020-04-21,49.56383
2020-04-22,44.17129
2020-04-23,37.90642
2020-04-24,39.25455
2020-04-25,37.03409
2020-04-26,34.97224
2020-04-27,44.88501
2020-04-28,41.79222
2020-04-29,37.1927
2020-04-30,31.24504
2020-05-01,32.91038
2020-05-02,31.24504
2020-05-03,33.86201
2020-05-04,38.22363
2020-05-05,36.16177
2020-05-06,45.67803
2020-05-07,39.73037
2020-05-08,35.52735
2020-05-09,27.59714
2020-05-10,28.86597
2020-05-11,44.40919
2020-05-12,41.0785
2020-05-13,37.74781
2020-05-14,37.1134
2020-05-15,34.97224
2020-05-16,28.54877
2020-05-17,29.34179
2020-05-18,43.69547
2020-05-19,45.04361
2020-05-20,39.01665
2020-05-21,34.97224
2020-05-22,33.4655
2020-05-23,28.78667
2020-05-24,29.10388
2020-05-25,45.36082
2020-05-26,38.62014
2020-05-27,36.00317
2020-05-28,36.32038
2020-05-29,31.40364
2020-05-30,27.67644
2020-05-31,30.13481
2020-06-01,45.12291
2020-06-02,39.17525
2020-06-03,40.68199
2020-06-04,37.66851
2020-06-05,36.00317
2020-06-06,26.72482
2020-06-07,25.05947
2020-06-08,40.9992
2020-06-09,44.32989
2020-06-10,45.91593
2020-06-11,35.60666
2020-06-12,34.33782
2020-06-13,30.76923
2020-06-14,33.30689
2020-06-15,57.65265
2020-06-16,39.49246
2020-06-17,45.04361
2020-06-18,43.21966
2020-06-19,34.25852
2020-06-20,28.46946
2020-06-21,32.35527
2020-06-22,46.86756
2020-06-23,44.32989
2020-06-24,49.00872
2020-06-25,39.65107
2020-06-26,36.47898
2020-06-27,26.88342
2020-06-28,29.7383
2020-06-29,44.96431
2020-06-30,44.4885
2020-07-01,42.03013
2020-07-02,39.01665
2020-07-03,35.68596
