date,오늘금한돈가격
2020-03-20,17.05653
2020-03-21,6.04288
2020-03-22,5.36062
2020-03-23,7.21247
2020-03-24,6.92007
2020-03-25,7.21247
2020-03-26,6.33528
2020-03-27,4.28849
2020-03-28,2.04678
2020-03-29,1.55945
2020-03-30,2.63157
2020-03-31,2.33918
2020-04-01,2.72904
2020-04-02,1.16959
2020-04-03,2.43664
2020-04-04,1.26705
2020-04-05,1.55945
2020-04-06,3.02144
2020-04-07,2.82651
2020-04-08,2.24171
2020-04-09,2.92397
2020-04-10,3.80116
2020-04-11,1.75438
2020-04-12,2.24171
2020-04-13,4.67836
2020-04-14,2.43664
2020-04-15,1.65692
2020-04-16,3.89863
2020-04-17,5.36062
2020-04-18,3.80116
2020-04-19,2.24171
2020-04-20,2.82651
2020-04-21,4.38596
2020-04-22,2.92397
2020-04-23,5.55555
2020-04-24,4.58089
2020-04-25,1.85185
2020-04-26,2.82651
2020-04-27,4.97076
2020-04-28,4.77582
2020-04-29,2.43664
2020-04-30,1.65692
2020-05-01,2.53411
2020-05-02,1.94931
2020-05-03,1.75438
2020-05-04,3.1189
2020-05-05,1.36452
2020-05-06,2.72904
2020-05-07,3.4113
2020-05-08,2.24171
2020-05-09,1.36452
2020-05-10,1.65692
2020-05-11,1.94931
2020-05-12,1.26705
2020-05-13,2.24171
2020-05-14,2.53411
2020-05-15,2.82651
2020-05-16,1.85185
2020-05-17,0.58479
2020-05-18,4.97076
2020-05-19,2.72904
2020-05-20,1.65692
2020-05-21,2.14424
2020-05-22,2.92397
2020-05-23,0.68226
2020-05-24,1.65692
2020-05-25,0.87719
2020-05-26,3.1189
2020-05-27,2.14424
2020-05-28,2.53411
2020-05-29,2.04678
2020-05-30,1.07212
2020-05-31,0.87719
2020-06-01,2.24171
2020-06-02,1.65692
2020-06-03,1.65692
2020-06-04,1.85185
2020-06-05,1.75438
2020-06-06,1.46198
2020-06-07,0.58479
2020-06-08,1.94931
2020-06-09,2.04678
2020-06-10,2.14424
2020-06-11,1.16959
2020-06-12,1.55945
2020-06-13,0.97465
2020-06-14,0.87719
2020-06-15,1.94931
2020-06-16,1.55945
2020-06-17,0.97465
2020-06-18,1.16959
2020-06-19,1.36452
2020-06-20,0.68226
2020-06-21,1.16959
2020-06-22,1.75438
2020-06-23,2.53411
2020-06-24,0.48732
2020-06-25,0.77972
2020-06-26,1.16959
2020-06-27,1.16959
2020-06-29,1.07212
2020-06-30,1.16959
2020-07-01,0.97465
2020-07-02,1.16959
2020-07-03,1.36452
2020-07-04,1.46198
2020-07-06,1.94931
2020-07-07,0.77972
2020-07-08,1.26705
2020-07-09,1.36452
2020-07-10,0.97465
2020-07-11,1.07212
2020-07-12,0.77972
2020-07-13,2.24171
2020-07-14,3.50877
2020-07-15,1.94931
2020-07-16,2.43664
2020-07-17,1.46198
2020-07-18,0.87719
2020-07-19,1.55945
2020-07-20,1.65692
2020-07-21,1.75438
2020-07-22,2.33918
2020-07-23,3.4113
2020-07-24,2.72904
2020-07-25,3.7037
2020-07-26,1.16959
2020-07-27,6.14035
2020-07-28,5.94541
2020-07-29,4.97076
2020-07-30,4.38596
2020-07-31,3.1189
2020-08-01,3.4113
2020-08-02,2.82651
2020-08-03,1.65692
2020-08-04,2.92397
2020-08-05,7.9922
2020-08-06,6.23781
2020-08-07,5.45808
2020-08-08,3.1189
2020-08-09,1.75438
2020-08-10,3.1189
2020-08-11,3.1189
2020-08-12,10.62378
2020-08-13,8.2846
2020-08-14,3.31384
2020-08-15,3.50877
2020-08-16,3.1189
2020-08-17,3.80116
2020-08-18,5.55555
2020-08-19,3.31384
2020-08-20,5.94541
2020-08-21,4.38596
2020-08-22,2.72904
2020-08-23,2.33918
2020-08-24,3.9961
2020-08-25,3.4113
2020-08-26,2.63157
2020-08-27,2.24171
2020-08-28,1.65692
2020-08-29,2.24171
2020-08-30,1.46198
2020-08-31,1.75438
2020-09-01,2.14424
2020-09-02,2.04678
2020-09-03,1.16959
2020-09-04,2.04678
2020-09-05,1.16959
2020-09-06,1.26705
2020-09-07,1.65692
2020-09-08,1.46198
2020-09-09,1.94931
2020-09-10,1.55945
2020-09-11,1.16959
2020-09-12,0.97465
2020-09-13,0.58479
2020-09-14,1.75438
2020-09-15,1.16959
2020-09-16,2.24171
2020-09-17,1.85185
2020-09-18,1.94931
2020-09-19,0.87719
2020-09-20,1.36452
2020-09-21,1.65692
2020-09-22,2.14424
2020-09-23,2.53411
2020-09-24,2.33918
2020-09-25,1.65692
2020-09-26,0.87719
2020-09-27,0.87719
2020-09-28,1.07212
2020-09-29,1.46198
2020-09-30,1.46198
2020-10-01,1.16959
2020-10-02,1.16959
2020-10-03,0.48732
2020-10-04,0.87719
2020-10-05,1.07212
2020-10-06,0.58479
2020-10-07,1.26705
2020-10-08,0.97465
2020-10-09,0.87719
2020-10-10,1.46198
2020-10-11,1.16959
2020-10-12,1.26705
2020-10-13,1.65692
2020-10-14,1.65692
2020-10-15,1.07212
2020-10-16,0.97465
2020-10-17,0.97465
2020-10-18,0.48732
2020-10-19,1.85185
2020-10-20,1.94931
2020-10-21,2.04678
2020-10-22,0.97465
2020-10-23,1.16959
2020-10-24,1.65692
2020-10-25,0.58479
2020-10-26,1.16959
2020-10-27,1.26705
2020-10-28,1.26705
2020-10-29,1.36452
2020-10-30,1.46198
2020-10-31,0.97465
2020-11-01,1.26705
2020-11-02,0.97465
2020-11-03,1.07212
2020-11-04,1.26705
2020-11-05,1.46198
2020-11-06,2.04678
2020-11-07,1.75438
2020-11-08,1.36452
2020-11-09,1.85185
2020-11-10,2.92397
2020-11-11,0.97465
2020-11-12,1.75438
2020-11-13,1.65692
2020-11-14,0.77972
2020-11-15,1.36452
2020-11-16,1.94931
2020-11-17,2.43664
2020-11-18,1.36452
2020-11-19,1.65692
2020-11-20,2.33918
2020-11-21,1.07212
2020-11-22,0.87719
2020-11-23,1.46198
2020-11-24,0.97465
2020-11-25,2.14424
2020-11-26,1.65692
2020-11-27,1.85185
2020-11-28,2.63157
2020-11-29,2.33918
2020-11-30,2.14424
2020-12-01,3.1189
2020-12-02,2.92397
2020-12-03,2.63157
2020-12-04,2.33918
2020-12-05,1.65692
2020-12-06,1.75438
2020-12-07,3.31384
2020-12-08,3.7037
2020-12-09,3.60623
2020-12-10,1.94931
2020-12-11,2.82651
2020-12-12,0.97465
2020-12-13,1.55945
2020-12-14,2.43664
2020-12-15,2.24171
2020-12-16,3.21637
2020-12-17,2.72904
2020-12-18,2.14424
2020-12-19,1.75438
2020-12-20,1.36452
2020-12-21,2.33918
2020-12-22,3.21637
2020-12-23,2.14424
2020-12-24,1.46198
2020-12-25,1.75438
2020-12-26,1.55945
2020-12-27,1.07212
2020-12-28,2.04678
2020-12-29,2.33918
2020-12-30,1.46198
2020-12-31,1.55945
2021-01-01,1.85185
2021-01-02,1.16959
2021-01-03,1.94931
2021-01-04,3.02144
2021-01-05,2.24171
2021-01-06,1.16959
2021-01-07,1.65692
2021-01-08,1.26705
2021-01-09,0.68226
2021-01-10,0.97465
2021-01-11,2.14424
2021-01-12,2.33918
2021-01-13,2.43664
2021-01-14,1.16959
2021-01-15,2.33918
2021-01-16,1.46198
2021-01-17,1.36452
2021-01-18,2.72904
2021-01-19,3.50877
2021-01-20,1.46198
2021-01-21,2.14424
2021-01-22,2.33918
2021-01-23,1.46198
2021-01-24,2.33918
2021-01-25,2.33918
2021-01-26,2.43664
2021-01-27,1.16959
2021-01-28,3.02144
2021-01-29,1.46198
2021-01-30,2.24171
2021-01-31,1.16959
2021-02-01,2.92397
2021-02-02,2.63157
2021-02-03,2.92397
2021-02-04,2.43664
2021-02-05,2.04678
2021-02-06,1.75438
2021-02-07,1.65692
2021-02-08,1.75438
2021-02-09,1.94931
2021-02-10,2.82651
2021-02-11,2.14424
2021-02-12,0.58479
2021-02-13,2.14424
2021-02-14,0.77972
2021-02-15,1.75438
2021-02-16,1.26705
2021-02-17,2.72904
2021-02-18,2.04678
2021-02-19,6.62768
2021-02-20,2.92397
2021-02-21,1.85185
2021-02-22,2.14424
2021-02-23,2.14424
2021-02-24,1.85185
2021-02-25,2.04678
2021-02-26,1.85185
2021-02-27,1.65692
2021-02-28,1.46198
2021-03-01,1.94931
2021-03-02,1.85185
2021-03-03,1.85185
2021-03-04,1.65692
2021-03-05,1.75438
2021-03-06,1.94931
2021-03-07,1.46198
2021-03-08,2.43664
2021-03-09,2.63157
2021-03-10,2.92397
2021-03-11,3.9961
2021-03-12,3.21637
2021-03-13,2.53411
2021-03-14,2.72904
2021-03-15,3.9961
2021-03-16,3.9961
2021-03-17,2.43664
2021-03-18,1.85185
2021-03-19,2.53411
2021-03-20,1.16959
2021-03-21,0.58479
2021-03-22,2.43664
2021-03-23,1.94931
2021-03-24,1.75438
2021-03-25,1.46198
2021-03-26,1.26705
2021-03-27,0.97465
2021-03-28,1.26705
2021-03-29,1.07212
2021-03-30,2.14424
2021-03-31,1.65692
2021-04-01,2.33918
2021-04-02,1.65692
2021-04-03,1.55945
2021-04-04,0.58479
2021-04-05,1.55945
2021-04-06,1.26705
2021-04-07,1.16959
2021-04-08,2.04678
2021-04-09,1.55945
2021-04-10,1.65692
2021-04-11,0.87719
2021-04-12,1.07212
2021-04-13,1.46198
2021-04-14,1.16959
2021-04-15,2.04678
2021-04-16,1.16959
2021-04-17,1.46198
2021-04-18,1.26705
2021-04-19,1.36452
2021-04-20,1.46198
2021-04-21,1.16959
2021-04-22,2.24171
2021-04-23,2.24171
2021-04-24,1.55945
2021-04-25,1.75438
2021-04-26,2.43664
2021-04-27,0.97465
2021-04-28,0.87719
2021-04-29,1.75438
2021-04-30,1.85185
2021-05-01,1.07212
2021-05-02,0.68226
2021-05-03,1.46198
2021-05-04,1.07212
2021-05-05,0.77972
2021-05-06,1.16959
2021-05-07,1.07212
2021-05-08,0.68226
2021-05-09,1.07212
2021-05-10,1.26705
2021-05-11,1.36452
2021-05-12,0.87719
2021-05-13,1.75438
2021-05-14,0.97465
2021-05-15,0.68226
2021-05-16,0.68226
2021-05-17,1.55945
