date,비트코인주가
2020-03-20,3.00324
2020-03-21,2.23214
2020-03-22,1.82629
2020-03-23,3.40909
2020-03-24,2.55681
2020-03-25,3.49025
2020-03-26,2.71915
2020-03-27,2.67857
2020-03-28,1.90746
2020-03-29,1.50162
2020-03-30,1.94805
2020-03-31,1.66396
2020-04-01,1.74512
2020-04-02,1.21753
2020-04-03,1.13636
2020-04-04,0.73051
2020-04-05,1.01461
2020-04-06,1.50162
2020-04-07,1.90746
2020-04-08,2.27272
2020-04-09,1.62337
2020-04-10,1.37987
2020-04-11,0.85227
2020-04-12,1.21753
2020-04-13,1.21753
2020-04-14,1.50162
2020-04-15,0.68993
2020-04-16,1.33928
2020-04-17,1.01461
2020-04-18,0.48701
2020-04-19,1.17694
2020-04-20,1.01461
2020-04-21,1.42045
2020-04-22,2.02922
2020-04-23,1.37987
2020-04-24,3.85551
2020-04-25,1.09577
2020-04-26,1.21753
2020-04-27,1.5422
2020-04-28,1.70454
2020-04-29,2.15097
2020-04-30,1.82629
2020-05-01,1.21753
2020-05-02,0.85227
2020-05-03,1.17694
2020-05-04,1.33928
2020-05-05,1.2987
2020-05-06,1.42045
2020-05-07,2.11038
2020-05-08,2.31331
2020-05-09,1.70454
2020-05-10,2.5974
2020-05-11,1.98863
2020-05-12,1.50162
2020-05-13,1.78571
2020-05-14,1.37987
2020-05-15,1.01461
2020-05-16,0.68993
2020-05-17,0.40584
2020-05-18,1.50162
2020-05-19,1.66396
2020-05-20,1.2987
2020-05-21,1.78571
2020-05-22,1.17694
2020-05-23,0.97402
2020-05-24,0.56818
2020-05-25,1.09577
2020-05-26,0.93344
2020-05-27,0.85227
2020-05-28,0.73051
2020-05-29,1.74512
2020-05-30,0.44642
2020-05-31,0.36525
2020-06-01,1.37987
2020-06-02,1.2987
2020-06-03,1.94805
2020-06-04,1.42045
2020-06-05,1.62337
2020-06-06,1.05519
2020-06-07,1.05519
2020-06-08,1.90746
2020-06-09,1.09577
2020-06-10,0.85227
2020-06-11,1.58279
2020-06-12,1.42045
2020-06-13,1.01461
2020-06-14,0.44642
2020-06-15,0.93344
2020-06-16,1.09577
2020-06-17,0.7711
2020-06-18,1.09577
2020-06-19,0.73051
2020-06-20,0.28409
2020-06-21,0.56818
2020-06-22,0.60876
2020-06-23,1.05519
2020-06-24,1.25811
2020-06-25,0.97402
2020-06-26,0.60876
2020-06-27,0.20292
2020-06-28,0.48701
2020-06-29,0.73051
2020-06-30,0.48701
2020-07-01,0.7711
2020-07-02,1.21753
2020-07-03,0.97402
2020-07-04,0.73051
2020-07-05,0.56818
2020-07-06,0.85227
2020-07-07,1.13636
2020-07-08,0.7711
2020-07-09,0.93344
2020-07-10,1.05519
2020-07-11,0.56818
2020-07-12,0.68993
2020-07-13,1.46103
2020-07-14,1.62337
2020-07-15,0.85227
2020-07-16,0.93344
2020-07-17,1.13636
2020-07-18,0.28409
2020-07-19,0.32467
2020-07-20,1.25811
2020-07-21,0.73051
2020-07-22,1.33928
2020-07-23,0.97402
2020-07-24,0.68993
2020-07-25,0.68993
2020-07-26,0.64935
2020-07-27,2.5974
2020-07-28,3.8961
2020-07-29,2.11038
2020-07-30,1.66396
2020-07-31,1.62337
2020-08-01,0.93344
2020-08-02,1.90746
2020-08-03,1.17694
2020-08-04,1.2987
2020-08-05,2.02922
