date,신용카드페이백
2020-03-20,2.65674
2020-03-21,0.95642
2020-03-22,1.16896
2020-03-23,1.80658
2020-03-24,2.55047
2020-03-25,1.27523
2020-03-26,2.01912
2020-03-27,0.95642
2020-03-28,1.91285
2020-03-30,1.80658
2020-03-31,0.85015
2020-04-01,0.74388
2020-04-02,0.74388
2020-04-05,1.70031
2020-04-06,2.23166
2020-04-07,1.06269
2020-04-08,0.85015
2020-04-09,2.65674
2020-04-10,1.80658
2020-04-11,0.95642
2020-04-12,0.74388
2020-04-13,2.55047
2020-04-14,2.23166
2020-04-15,1.48777
2020-04-16,2.23166
2020-04-17,2.65674
2020-04-18,1.06269
2020-04-19,1.59404
2020-04-20,2.86928
2020-04-21,2.65674
2020-04-22,2.76301
2020-04-23,3.71944
2020-04-24,2.76301
2020-04-25,0.53134
2020-04-27,1.70031
2020-04-28,1.16896
2020-04-29,2.01912
2020-04-30,2.23166
2020-05-01,0.63761
2020-05-02,1.06269
2020-05-03,1.59404
2020-05-04,1.80658
2020-05-05,1.80658
2020-05-06,2.23166
2020-05-07,2.86928
2020-05-08,2.97555
2020-05-09,1.59404
2020-05-10,0.53134
2020-05-11,2.76301
2020-05-13,2.33793
2020-05-14,0.85015
2020-05-15,1.06269
2020-05-16,1.06269
2020-05-17,0.63761
2020-05-18,0.53134
2020-05-19,2.23166
2020-05-20,1.80658
2020-05-22,1.06269
2020-05-23,0.63761
2020-05-24,1.16896
2020-05-25,2.23166
2020-05-26,1.59404
2020-05-27,1.3815
2020-05-28,1.3815
2020-05-29,0.63761
2020-05-31,0.63761
2020-06-01,1.59404
2020-06-02,1.27523
2020-06-03,0.85015
2020-06-07,0.95642
2020-06-08,1.70031
2020-06-09,2.33793
2020-06-10,2.76301
2020-06-11,3.18809
2020-06-12,0.74388
2020-06-15,1.91285
2020-06-16,1.48777
2020-06-17,1.48777
2020-06-18,0.63761
2020-06-19,0.63761
2020-06-22,1.91285
2020-06-23,0.63761
2020-06-24,1.80658
2020-06-25,1.91285
2020-06-26,1.91285
2020-06-27,1.3815
2020-06-28,0.95642
2020-06-29,1.3815
2020-06-30,1.48777
2020-07-01,1.3815
2020-07-02,0.74388
2020-07-03,1.70031
2020-07-05,0.53134
2020-07-06,1.48777
2020-07-07,0.85015
2020-07-08,2.12539
2020-07-09,0.53134
2020-07-10,0.63761
2020-07-11,0.53134
2020-07-12,0.74388
2020-07-13,1.59404
2020-07-14,2.76301
2020-07-15,2.12539
2020-07-16,2.65674
2020-07-18,1.06269
2020-07-19,0.74388
2020-07-20,1.3815
2020-07-21,1.06269
2020-07-23,1.3815
2020-07-24,0.85015
2020-07-25,0.53134
2020-07-26,0.74388
2020-07-27,1.91285
2020-07-28,1.70031
2020-07-29,1.70031
2020-07-30,1.59404
2020-07-31,1.27523
2020-08-01,0.95642
2020-08-02,1.59404
2020-08-03,1.27523
2020-08-05,0.63761
2020-08-06,1.59404
2020-08-07,0.95642
2020-08-08,0.74388
2020-08-09,0.74388
2020-08-10,1.3815
2020-08-11,1.48777
2020-08-12,3.08182
2020-08-13,1.91285
2020-08-14,2.86928
2020-08-15,1.16896
2020-08-16,1.16896
2020-08-17,1.48777
2020-08-18,3.18809
