date,해외채권
2020-03-20,64.58333
2020-03-21,42.70833
2020-03-22,37.5
2020-03-23,92.70833
2020-03-24,42.70833
2020-03-25,35.41666
2020-03-26,46.875
2020-03-27,32.29166
2020-03-28,38.54166
2020-03-29,16.66666
2020-03-30,36.45833
2020-03-31,21.875
2020-04-01,41.66666
2020-04-02,66.66666
2020-04-03,63.54166
2020-04-04,9.375
2020-04-05,100.0
2020-04-06,62.5
2020-04-07,46.875
2020-04-08,39.58333
2020-04-09,34.375
2020-04-10,35.41666
2020-04-11,12.5
2020-04-12,27.08333
2020-04-13,38.54166
2020-04-14,38.54166
2020-04-15,40.625
2020-04-16,30.20833
2020-04-17,35.41666
2020-04-18,31.25
2020-04-19,34.375
2020-04-20,40.625
2020-04-21,30.20833
2020-04-22,40.625
2020-04-23,42.70833
2020-04-24,23.95833
2020-04-25,20.83333
2020-04-26,43.75
2020-04-27,30.20833
2020-04-28,35.41666
2020-04-29,28.125
2020-04-30,19.79166
2020-05-01,19.79166
2020-05-02,14.58333
2020-05-03,22.91666
2020-05-04,32.29166
2020-05-05,29.16666
2020-05-06,23.95833
2020-05-07,30.20833
2020-05-08,23.95833
2020-05-09,14.58333
2020-05-10,16.66666
2020-05-11,30.20833
2020-05-12,21.875
2020-05-13,19.79166
2020-05-14,20.83333
2020-05-15,23.95833
2020-05-16,15.625
2020-05-17,14.58333
2020-05-18,21.875
2020-05-19,33.33333
2020-05-20,29.16666
2020-05-21,26.04166
2020-05-22,30.20833
2020-05-23,7.29166
2020-05-24,19.79166
2020-05-25,30.20833
2020-05-26,38.54166
2020-05-27,44.79166
2020-05-28,20.83333
2020-05-29,40.625
2020-05-30,25.0
2020-05-31,35.41666
2020-06-01,23.95833
2020-06-02,31.25
2020-06-03,30.20833
2020-06-04,12.5
2020-06-05,20.83333
2020-06-06,11.45833
2020-06-07,16.66666
2020-06-08,34.375
2020-06-09,32.29166
2020-06-10,34.375
2020-06-11,17.70833
2020-06-12,22.91666
2020-06-13,10.41666
2020-06-14,9.375
2020-06-15,25.0
2020-06-16,30.20833
2020-06-17,31.25
2020-06-18,21.875
2020-06-19,33.33333
2020-06-20,9.375
2020-06-21,14.58333
2020-06-22,15.625
2020-06-23,20.83333
2020-06-24,26.04166
2020-06-25,31.25
2020-06-26,20.83333
2020-06-28,13.54166
2020-06-29,26.04166
2020-06-30,33.33333
2020-07-01,5.20833
2020-07-02,47.91666
2020-07-03,30.20833
2020-07-04,9.375
2020-07-06,22.91666
2020-07-07,29.16666
2020-07-08,23.95833
2020-07-09,34.375
2020-07-10,18.75
2020-07-11,13.54166
2020-07-13,23.95833
2020-07-14,18.75
2020-07-15,33.33333
2020-07-16,22.91666
2020-07-17,35.41666
2020-07-18,10.41666
2020-07-19,22.91666
2020-07-20,27.08333
2020-07-21,26.04166
2020-07-22,27.08333
2020-07-23,28.125
2020-07-24,18.75
2020-07-25,9.375
2020-07-26,14.58333
2020-07-27,35.41666
2020-07-28,27.08333
2020-07-29,39.58333
2020-07-30,30.20833
2020-07-31,41.66666
2020-08-01,9.375
2020-08-02,20.83333
2020-08-03,26.04166
2020-08-04,32.29166
2020-08-05,29.16666
2020-08-06,27.08333
2020-08-07,39.58333
2020-08-08,6.25
2020-08-09,11.45833
2020-08-10,23.95833
2020-08-11,37.5
2020-08-12,31.25
2020-08-13,17.70833
2020-08-14,27.08333
2020-08-15,9.375
2020-08-16,9.375
2020-08-17,17.70833
2020-08-18,25.0
2020-08-19,30.20833
2020-08-20,22.91666
2020-08-21,41.66666
2020-08-22,14.58333
2020-08-23,13.54166
2020-08-24,34.375
2020-08-25,27.08333
2020-08-26,39.58333
2020-08-27,38.54166
2020-08-28,42.70833
2020-08-29,11.45833
2020-08-30,16.66666
2020-08-31,38.54166
2020-09-01,59.375
2020-09-02,62.5
2020-09-03,52.08333
2020-09-04,33.33333
2020-09-05,19.79166
2020-09-06,16.66666
2020-09-07,25.0
2020-09-08,39.58333
2020-09-09,37.5
2020-09-10,35.41666
2020-09-11,19.79166
2020-09-12,12.5
2020-09-13,10.41666
2020-09-14,22.91666
2020-09-15,36.45833
2020-09-16,25.0
2020-09-17,12.5
2020-09-18,37.5
2020-09-19,11.45833
2020-09-21,17.70833
2020-09-22,25.0
2020-09-23,20.83333
2020-09-24,34.375
2020-09-25,22.91666
2020-09-26,8.33333
2020-09-28,19.79166
2020-09-29,18.75
2020-09-30,6.25
2020-10-01,9.375
2020-10-02,17.70833
2020-10-03,11.45833
2020-10-04,7.29166
2020-10-05,33.33333
2020-10-06,17.70833
2020-10-07,21.875
2020-10-08,19.79166
2020-10-09,12.5
2020-10-12,19.79166
2020-10-13,29.16666
2020-10-14,22.91666
2020-10-15,21.875
2020-10-16,10.41666
2020-10-17,8.33333
2020-10-19,22.91666
2020-10-20,27.08333
2020-10-21,16.66666
