date,퇴직연금ETF
2020-03-20,25.5639
2020-03-21,14.28571
2020-03-22,9.77443
2020-03-23,17.66917
2020-03-24,19.54887
2020-03-25,25.93984
2020-03-26,22.93233
2020-03-27,20.67669
2020-03-28,10.52631
2020-03-29,11.27819
2020-03-30,15.78947
2020-03-31,20.30075
2020-04-01,19.54887
2020-04-02,12.03007
2020-04-03,19.17293
2020-04-04,10.15037
2020-04-05,11.65413
2020-04-06,20.67669
2020-04-07,20.67669
2020-04-08,17.66917
2020-04-09,15.78947
2020-04-10,16.91729
2020-04-11,8.64661
2020-04-12,9.39849
2020-04-13,12.78195
2020-04-14,13.53383
2020-04-15,12.78195
2020-04-16,12.78195
2020-04-17,16.54135
2020-04-18,16.54135
2020-04-19,15.03759
2020-04-20,16.54135
2020-04-21,18.04511
2020-04-22,16.91729
2020-04-23,13.15789
2020-04-24,12.03007
2020-04-25,12.78195
2020-04-26,12.03007
2020-04-27,10.52631
2020-04-28,11.65413
2020-04-29,12.03007
2020-04-30,9.39849
2020-05-01,9.39849
2020-05-02,6.76691
2020-05-03,9.39849
2020-05-04,12.78195
2020-05-05,4.13533
2020-05-06,15.03759
2020-05-07,9.77443
2020-05-08,16.16541
2020-05-09,6.01503
2020-05-10,10.15037
2020-05-11,14.28571
2020-05-12,11.65413
2020-05-13,6.76691
2020-05-14,12.03007
2020-05-15,7.14285
2020-05-16,6.76691
2020-05-17,11.27819
2020-05-18,10.90225
2020-05-19,16.54135
2020-05-20,13.90977
2020-05-21,16.16541
2020-05-22,15.41353
2020-05-23,13.15789
2020-05-24,9.39849
2020-05-25,10.52631
2020-05-26,23.68421
2020-05-27,16.54135
2020-05-28,16.16541
2020-05-29,7.14285
2020-05-30,9.39849
2020-05-31,5.26315
2020-06-01,13.15789
2020-06-02,15.41353
2020-06-03,12.78195
2020-06-04,21.42857
2020-06-05,12.03007
2020-06-06,11.65413
2020-06-07,9.39849
2020-06-08,13.90977
2020-06-09,18.04511
2020-06-10,14.66165
2020-06-11,16.91729
2020-06-12,10.90225
2020-06-13,13.15789
2020-06-14,16.91729
2020-06-15,14.66165
2020-06-16,15.78947
2020-06-17,13.53383
2020-06-18,13.90977
2020-06-19,9.77443
2020-06-20,5.26315
2020-06-21,7.89473
2020-06-22,10.15037
2020-06-23,10.52631
2020-06-24,15.78947
2020-06-25,13.15789
2020-06-26,7.89473
2020-06-27,6.39097
2020-06-28,8.27067
2020-06-29,12.03007
2020-06-30,13.90977
2020-07-01,7.89473
2020-07-02,10.90225
2020-07-03,18.79699
2020-07-04,8.64661
2020-07-05,8.64661
2020-07-06,15.78947
2020-07-07,18.04511
2020-07-08,15.78947
2020-07-09,17.29323
2020-07-10,15.78947
2020-07-11,11.65413
2020-07-12,8.64661
2020-07-13,9.39849
2020-07-14,13.90977
2020-07-15,15.41353
2020-07-16,15.78947
2020-07-17,14.66165
2020-07-18,6.76691
2020-07-19,6.01503
2020-07-20,15.41353
2020-07-21,18.79699
2020-07-22,21.05263
2020-07-23,18.79699
2020-07-24,9.77443
2020-07-25,8.27067
2020-07-26,8.27067
2020-07-27,18.79699
2020-07-28,14.28571
2020-07-29,13.90977
2020-07-30,15.41353
2020-07-31,19.54887
2020-08-01,9.39849
2020-08-02,13.53383
2020-08-03,16.16541
2020-08-04,17.66917
2020-08-05,22.93233
2020-08-06,17.29323
2020-08-07,29.69924
2020-08-08,8.27067
2020-08-09,13.53383
2020-08-10,25.93984
2020-08-11,20.30075
2020-08-12,15.78947
2020-08-13,23.30827
2020-08-14,14.66165
2020-08-15,5.63909
2020-08-16,2.63157
2020-08-17,8.27067
2020-08-18,9.02255
2020-08-19,10.52631
2020-08-20,15.78947
2020-08-21,15.41353
2020-08-22,9.02255
2020-08-23,8.64661
2020-08-24,18.04511
2020-08-25,15.78947
2020-08-26,19.54887
2020-08-27,19.17293
2020-08-28,15.41353
2020-08-29,9.02255
2020-08-30,10.90225
2020-08-31,18.04511
2020-09-01,22.55639
2020-09-02,27.4436
2020-09-03,28.94736
2020-09-04,22.55639
2020-09-05,12.40601
2020-09-06,13.15789
2020-09-07,14.28571
2020-09-08,13.15789
2020-09-09,20.30075
2020-09-10,12.03007
2020-09-11,18.42105
2020-09-12,5.26315
2020-09-13,3.38345
2020-09-14,12.03007
2020-09-15,12.03007
2020-09-16,12.78195
2020-09-17,22.18045
2020-09-18,10.15037
2020-09-19,8.27067
2020-09-20,9.39849
2020-09-21,11.65413
2020-09-22,10.52631
2020-09-23,10.90225
2020-09-24,7.14285
2020-09-25,8.27067
2020-09-26,7.14285
2020-09-27,6.76691
2020-09-28,12.03007
2020-09-29,13.53383
2020-09-30,10.90225
2020-10-01,6.39097
2020-10-02,4.13533
2020-10-03,1.87969
2020-10-04,4.51127
2020-10-05,10.52631
2020-10-06,24.81203
2020-10-07,13.53383
2020-10-08,19.54887
2020-10-09,7.89473
2020-10-10,12.78195
2020-10-11,9.39849
2020-10-12,19.54887
2020-10-13,24.43609
2020-10-14,18.42105
2020-10-15,16.16541
2020-10-16,13.90977
2020-10-17,6.01503
2020-10-18,8.27067
2020-10-19,13.90977
2020-10-20,13.15789
2020-10-21,15.03759
2020-10-22,14.28571
2020-10-23,11.27819
2020-10-24,2.25563
2020-10-25,5.63909
2020-10-26,9.02255
2020-10-27,10.15037
2020-10-28,13.53383
2020-10-29,10.15037
2020-10-30,9.02255
2020-10-31,3.75939
2020-11-01,7.51879
2020-11-02,7.14285
2020-11-03,8.64661
2020-11-04,12.78195
2020-11-05,13.15789
2020-11-06,20.67669
2020-11-07,6.76691
2020-11-08,10.52631
2020-11-09,20.67669
2020-11-10,21.42857
2020-11-11,16.91729
2020-11-12,22.18045
2020-11-13,16.16541
2020-11-14,15.41353
2020-11-15,15.78947
2020-11-16,18.42105
2020-11-17,19.92481
2020-11-18,13.15789
2020-11-19,22.18045
2020-11-20,18.79699
2020-11-21,11.27819
2020-11-22,15.78947
2020-11-23,22.55639
2020-11-24,26.69172
2020-11-25,22.93233
2020-11-26,29.69924
2020-11-27,24.81203
2020-11-28,12.03007
2020-11-29,15.03759
2020-11-30,24.06015
2020-12-01,21.05263
2020-12-02,22.93233
2020-12-03,19.17293
2020-12-04,26.31578
2020-12-05,15.78947
2020-12-06,21.05263
2020-12-07,28.57142
2020-12-08,39.47368
2020-12-09,42.10526
2020-12-10,31.203
2020-12-11,37.96992
2020-12-12,12.40601
2020-12-13,19.92481
2020-12-14,33.0827
2020-12-15,28.57142
2020-12-16,30.45112
2020-12-17,41.72932
2020-12-18,23.68421
2020-12-19,15.78947
2020-12-20,17.29323
2020-12-21,33.0827
2020-12-22,29.3233
2020-12-23,37.59398
2020-12-24,42.4812
2020-12-25,24.06015
2020-12-26,21.80451
2020-12-27,21.80451
2020-12-28,42.4812
2020-12-29,54.51127
2020-12-30,48.49624
2020-12-31,31.203
