date,코인선물거래소
2020-12-30,0.81168
2020-12-31,0.97402
2021-01-01,0.81168
2021-01-22,0.97402
2021-02-01,0.97402
2021-02-07,0.97402
2021-02-13,0.81168
2021-02-15,1.94805
2021-02-22,0.97402
2021-02-23,1.94805
2021-03-01,0.97402
2021-03-08,1.13636
2021-03-12,1.13636
2021-03-16,0.81168
2021-03-17,0.97402
2021-03-19,1.62337
2021-03-26,0.81168
2021-03-30,0.81168
2021-03-31,0.97402
2021-04-02,1.78571
2021-04-03,0.81168
2021-04-09,0.81168
2021-04-12,0.81168
2021-04-14,0.97402
2021-04-15,2.11038
2021-04-16,4.22077
2021-04-17,1.13636
2021-04-18,1.2987
2021-04-19,0.81168
2021-04-20,2.27272
2021-04-21,1.62337
2021-04-22,1.78571
2021-04-23,4.38311
2021-04-24,1.62337
2021-04-25,2.11038
2021-04-26,1.2987
2021-04-27,1.94805
2021-04-28,2.75974
2021-05-03,0.81168
2021-05-04,0.81168
2021-05-06,1.2987
2021-05-07,2.5974
2021-05-08,1.13636
2021-05-09,2.5974
2021-05-10,2.5974
2021-05-11,1.94805
2021-05-12,1.94805
2021-05-13,2.27272
2021-05-14,0.81168
2021-05-15,0.81168
2021-05-16,0.81168
2021-05-17,1.2987
2021-05-18,1.13636
2021-05-19,3.57142
2021-05-20,2.27272
2021-05-21,2.92207
2021-05-22,1.46103
2021-05-23,0.81168
2021-05-24,2.75974
2021-05-25,0.81168
2021-05-26,1.78571
2021-05-27,2.11038
2021-05-28,2.5974
2021-05-29,1.13636
2021-05-30,0.97402
2021-05-31,0.81168
2021-06-02,1.62337
2021-06-03,1.46103
2021-06-04,1.78571
2021-06-05,1.78571
2021-06-06,0.97402
2021-06-07,1.78571
2021-06-08,3.08441
2021-06-09,2.75974
2021-06-13,0.97402
2021-06-14,0.81168
2021-06-17,0.97402
2021-06-18,0.97402
2021-06-20,0.81168
2021-06-22,0.97402
2021-06-23,0.81168
2021-06-25,0.97402
2021-06-28,0.97402
2021-06-29,0.81168
2021-07-02,0.81168
2021-07-05,1.2987
2021-07-07,1.13636
2021-07-09,3.40909
2021-07-10,1.46103
2021-07-11,0.81168
2021-07-12,1.94805
2021-07-13,2.11038
2021-07-14,1.62337
2021-07-20,1.78571
2021-07-25,0.81168
2021-07-26,0.81168
2021-07-27,1.13636
2021-07-28,1.13636
2021-07-31,0.81168
2021-08-03,0.97402
2021-08-04,0.97402
2021-08-07,1.94805
2021-08-08,0.97402
2021-08-09,1.78571
2021-08-10,4.87012
2021-08-11,5.03246
2021-08-12,4.05844
2021-08-13,5.68181
2021-08-14,4.22077
2021-08-15,5.03246
2021-08-16,3.8961
2021-08-17,4.22077
2021-08-18,5.03246
2021-08-19,3.73376
2021-08-20,3.40909
2021-08-21,4.87012
2021-08-22,2.92207
2021-08-23,3.24675
2021-08-24,2.43506
2021-08-25,2.11038
2021-08-26,3.40909
2021-08-27,3.40909
2021-08-28,2.92207
2021-08-29,2.11038
2021-08-30,3.08441
2021-08-31,2.27272
2021-09-01,2.5974
2021-09-02,1.94805
2021-09-03,1.94805
2021-09-04,1.46103
2021-09-05,3.40909
2021-09-06,2.5974
2021-09-07,2.75974
2021-09-08,3.40909
2021-09-09,1.94805
2021-09-10,3.40909
2021-09-11,0.97402
2021-09-12,3.24675
2021-09-13,2.27272
2021-09-14,2.27272
2021-09-15,1.78571
2021-09-16,2.27272
2021-09-17,1.78571
2021-09-18,2.27272
2021-09-20,2.5974
2021-09-22,2.75974
2021-09-23,1.62337
2021-09-24,1.94805
2021-09-25,1.94805
2021-09-26,2.43506
2021-09-27,3.24675
2021-09-28,0.97402
2021-09-29,4.22077
2021-09-30,0.81168
2021-10-01,2.5974
2021-10-02,1.94805
2021-10-03,0.81168
2021-10-04,2.11038
2021-10-05,1.2987
2021-10-06,3.08441
2021-10-07,2.27272
2021-10-08,0.81168
2021-10-09,0.81168
2021-10-10,1.78571
2021-10-11,3.73376
2021-10-12,0.81168
2021-10-13,2.11038
2021-10-14,1.78571
2021-10-15,1.2987
2021-10-16,1.13636
2021-10-17,0.97402
2021-10-18,1.46103
2021-10-19,2.5974
2021-10-20,1.46103
2021-10-21,1.62337
2021-10-22,0.81168
2021-10-23,1.78571
