date,상속세신고기한
2020-11-07,15.01976
2020-11-08,11.46245
2020-11-09,25.69169
2020-11-10,25.69169
2020-11-11,33.20158
2020-11-12,27.66798
2020-11-13,24.90118
2020-11-14,22.9249
2020-11-15,16.99604
2020-11-16,33.20158
2020-11-17,34.38735
2020-11-18,32.41106
2020-11-19,37.15415
2020-11-20,31.22529
2020-11-21,20.55335
2020-11-22,18.97233
2020-11-23,38.73517
2020-11-24,32.80632
2020-11-25,43.083
2020-11-26,39.13043
2020-11-27,36.36363
2020-11-28,19.36758
2020-11-29,22.52964
2020-11-30,43.87351
2020-12-01,26.08695
2020-12-02,32.01581
2020-12-03,25.69169
2020-12-04,25.69169
2020-12-05,19.76284
2020-12-06,25.69169
2020-12-07,39.92094
2020-12-08,30.83003
2020-12-09,34.38735
2020-12-10,31.62055
2020-12-11,29.64426
2020-12-12,19.36758
2020-12-13,16.99604
2020-12-14,37.94466
2020-12-15,32.80632
2020-12-16,35.57312
2020-12-17,28.85375
2020-12-18,24.50592
2020-12-19,12.64822
2020-12-20,16.99604
2020-12-21,51.38339
2020-12-22,55.33596
2020-12-23,79.44664
2020-12-24,53.75494
2020-12-25,31.62055
2020-12-26,37.94466
2020-12-27,47.82608
2020-12-28,74.70355
2020-12-29,67.98418
2020-12-30,60.07905
2020-12-31,38.33992
2021-01-01,20.94861
2021-01-02,40.3162
2021-01-03,42.68774
2021-01-04,65.61264
2021-01-05,70.75098
2021-01-06,55.73122
2021-01-07,53.35968
2021-01-08,52.17391
2021-01-09,49.40711
2021-01-10,39.13043
2021-01-11,65.21739
2021-01-12,74.70355
2021-01-13,79.84189
2021-01-14,72.72727
2021-01-15,69.16996
2021-01-16,39.13043
2021-01-17,35.57312
2021-01-18,73.12252
2021-01-19,63.2411
2021-01-20,63.63636
2021-01-21,72.33201
2021-01-22,60.4743
2021-01-23,50.98814
2021-01-24,58.49802
2021-01-25,79.05138
2021-01-26,79.05138
2021-01-27,65.61264
2021-01-28,69.56521
2021-01-29,55.73122
2021-01-30,38.33992
2021-01-31,43.083
2021-02-01,67.98418
2021-02-02,70.75098
2021-02-03,49.80237
2021-02-04,41.50197
2021-02-05,43.87351
2021-02-06,41.10671
2021-02-07,41.50197
2021-02-08,64.03162
2021-02-09,61.26482
2021-02-10,45.8498
2021-02-11,30.83003
2021-02-12,43.083
2021-02-13,37.94466
2021-02-14,44.66403
2021-02-15,88.9328
2021-02-16,69.16996
2021-02-17,60.86956
2021-02-18,75.09881
2021-02-19,64.82213
2021-02-20,41.50197
2021-02-21,44.66403
2021-02-22,64.82213
2021-02-23,69.96047
2021-02-24,61.66007
2021-02-25,62.45059
2021-02-26,53.35968
2021-02-27,29.24901
2021-02-28,36.75889
2021-03-01,43.47826
2021-03-02,75.88932
2021-03-03,62.05533
2021-03-04,71.5415
2021-03-05,62.84584
2021-03-06,38.73517
2021-03-07,42.29249
2021-03-08,82.21343
2021-03-09,70.75098
2021-03-10,57.31225
2021-03-11,56.52173
2021-03-12,66.0079
2021-03-13,36.36363
2021-03-14,36.75889
2021-03-15,69.16996
2021-03-16,86.95652
2021-03-17,71.14624
2021-03-18,63.2411
2021-03-19,64.42687
2021-03-20,37.94466
2021-03-21,49.80237
2021-03-22,66.40316
2021-03-23,60.86956
2021-03-24,66.79841
2021-03-25,67.58893
2021-03-26,62.05533
2021-03-27,34.7826
2021-03-28,34.7826
2021-03-29,76.28458
2021-03-30,63.2411
2021-03-31,59.68379
2021-04-01,55.33596
2021-04-02,56.52173
2021-04-03,33.59683
2021-04-04,36.36363
2021-04-05,71.93675
2021-04-06,70.75098
2021-04-07,56.91699
2021-04-08,62.45059
2021-04-09,49.01185
2021-04-10,32.80632
2021-04-11,38.33992
2021-04-12,75.49407
2021-04-13,67.58893
2021-04-14,80.63241
2021-04-15,57.31225
2021-04-16,59.28853
2021-04-17,35.96837
2021-04-18,50.19762
2021-04-19,78.26086
2021-04-20,77.86561
2021-04-21,66.0079
2021-04-22,64.42687
2021-04-23,68.7747
2021-04-24,43.87351
2021-04-25,53.75494
2021-04-26,78.65612
2021-04-27,75.09881
2021-04-28,100.0
2021-04-29,79.84189
2021-04-30,66.79841
2021-05-01,47.03557
2021-05-02,45.45454
2021-05-03,77.07509
2021-05-04,62.05533
2021-05-05,41.89723
2021-05-06,58.89328
2021-05-07,45.45454
2021-05-08,33.20158
2021-05-09,49.01185
2021-05-10,71.93675
2021-05-11,69.16996
2021-05-12,72.72727
2021-05-13,66.0079
2021-05-14,58.89328
2021-05-15,35.57312
2021-05-16,42.29249
2021-05-17,77.86561
2021-05-18,72.33201
2021-05-19,35.96837
2021-05-20,72.72727
2021-05-21,49.01185
2021-05-22,46.24505
2021-05-23,39.92094
2021-05-24,69.16996
2021-05-25,80.63241
2021-05-26,57.7075
2021-05-27,58.49802
2021-05-28,58.89328
2021-05-29,32.41106
2021-05-30,50.19762
2021-05-31,67.58893
2021-06-01,60.86956
2021-06-02,67.98418
2021-06-03,66.79841
2021-06-04,55.73122
2021-06-05,42.68774
2021-06-06,47.82608
2021-06-07,76.67984
2021-06-08,64.03162
2021-06-09,64.03162
2021-06-10,64.42687
2021-06-11,49.01185
2021-06-12,38.33992
2021-06-13,36.75889
2021-06-14,66.79841
2021-06-15,58.10276
2021-06-16,66.40316
2021-06-17,48.6166
2021-06-18,56.91699
2021-06-19,40.71146
2021-06-20,35.17786
2021-06-21,91.30434
2021-06-22,64.03162
2021-06-23,72.72727
2021-06-24,55.73122
2021-06-25,40.3162
2021-06-26,32.80632
2021-06-27,35.17786
2021-06-28,68.37944
2021-06-29,64.82213
2021-06-30,49.01185
2021-07-01,34.38735
2021-07-02,34.38735
2021-07-03,22.13438
2021-07-04,25.29644
2021-07-05,48.22134
2021-07-06,41.89723
2021-07-07,40.3162
2021-07-08,38.73517
2021-07-09,33.20158
2021-07-10,18.18181
2021-07-11,20.55335
2021-07-12,37.5494
2021-07-13,42.68774
2021-07-14,48.22134
2021-07-15,38.73517
2021-07-16,37.5494
2021-07-17,29.24901
2021-07-18,35.96837
2021-07-19,53.75494
2021-07-20,52.96442
2021-07-21,41.10671
2021-07-22,45.45454
2021-07-23,33.99209
2021-07-24,26.48221
2021-07-25,30.03952
2021-07-26,45.45454
2021-07-27,47.43083
2021-07-28,55.73122
2021-07-29,45.45454
2021-07-30,32.01581
2021-07-31,23.71541
2021-08-01,26.87747
2021-08-02,34.38735
2021-08-03,32.41106
2021-08-04,43.083
2021-08-05,43.87351
2021-08-06,33.59683
2021-08-07,25.29644
2021-08-08,23.71541
2021-08-09,39.52569
2021-08-10,39.92094
2021-08-11,33.59683
2021-08-12,42.29249
2021-08-13,29.64426
2021-08-14,21.73913
2021-08-15,23.71541
2021-08-16,24.11067
2021-08-17,45.8498
2021-08-18,41.89723
2021-08-19,51.38339
2021-08-20,45.05928
2021-08-21,27.66798
2021-08-22,28.85375
2021-08-23,51.77865
2021-08-24,59.68379
2021-08-25,40.3162
2021-08-26,37.94466
2021-08-27,41.10671
2021-08-28,22.52964
2021-08-29,26.48221
2021-08-30,62.45059
2021-08-31,43.083
2021-09-01,35.96837
2021-09-02,43.083
