date,24K금값
2020-03-20,49.22546
2020-03-21,23.47556
2020-03-22,18.2087
2020-03-23,25.96817
2020-03-24,23.6868
2020-03-25,22.41233
2020-03-26,22.65173
2020-03-27,18.78608
2020-03-28,13.00521
2020-03-29,11.00549
2020-03-30,16.77228
2020-03-31,17.96225
2020-04-01,16.80045
2020-04-02,15.39923
2020-04-03,15.36403
2020-04-04,11.80819
2020-04-05,9.8648
2020-04-06,15.34995
2020-04-07,15.37811
2020-04-08,17.61019
2020-04-09,15.09646
2020-04-10,20.74355
2020-04-11,13.43472
2020-04-12,31.57301
2020-04-13,30.4957
2020-04-14,30.27038
2020-04-15,17.96225
2020-04-16,22.81368
2020-04-17,27.10181
2020-04-18,16.77932
2020-04-19,12.92071
2020-04-20,17.29333
2020-04-21,19.65216
2020-04-22,22.28559
2020-04-23,19.01844
2020-04-24,23.50373
2020-04-25,15.07534
2020-04-26,16.554
2020-04-27,41.55048
2020-04-28,21.03224
2020-04-29,17.237
2020-04-30,13.82903
2020-05-01,13.58963
2020-05-02,13.08266
2020-05-03,12.06168
2020-05-04,15.50485
2020-05-05,13.12491
2020-05-06,20.69426
2020-05-07,15.09646
2020-05-08,14.15997
2020-05-09,11.92085
2020-05-10,9.51274
2020-05-11,13.58963
2020-05-12,13.22348
2020-05-13,12.7306
2020-05-14,13.46993
2020-05-15,13.11082
2020-05-16,10.06196
2020-05-17,10.07604
2020-05-18,21.51105
2020-05-19,22.41937
2020-05-20,15.80763
2020-05-21,14.18814
2020-05-22,13.46993
2020-05-23,10.70271
2020-05-24,9.99859
2020-05-25,13.66004
2020-05-26,13.56147
2020-05-27,12.23067
2020-05-28,12.75876
2020-05-29,11.99831
2020-05-30,9.35783
2020-05-31,9.52682
2020-06-01,12.48415
2020-06-02,11.5195
2020-06-03,11.58287
2020-06-04,10.89987
2020-06-05,10.62526
2020-06-06,7.8158
2020-06-07,7.20321
2020-06-08,11.06182
2020-06-09,11.13223
2020-06-10,10.6323
