date,줍줍분양
2020-03-21,0.2592
2020-03-29,0.2592
2020-04-07,0.31104
2020-04-08,0.31104
2020-04-14,0.36288
2020-04-18,0.31104
2020-04-20,0.2592
2020-04-21,0.41472
2020-04-22,0.2592
2020-04-25,0.31104
2020-04-27,0.36288
2020-04-28,0.31104
2020-04-29,0.36288
2020-04-30,0.31104
2020-05-01,0.36288
2020-05-02,0.36288
2020-05-03,0.2592
2020-05-04,0.2592
2020-05-05,0.41472
2020-05-06,0.36288
2020-05-07,0.36288
2020-05-08,0.31104
2020-05-10,0.31104
2020-05-11,0.2592
2020-05-12,0.88128
2020-05-13,0.36288
2020-05-14,0.72576
2020-05-15,1.0368
2020-05-16,0.88128
2020-05-17,0.31104
2020-05-18,1.5552
2020-05-19,1.71073
2020-05-20,4.2509
2020-05-21,4.82115
2020-05-22,2.33281
2020-05-23,1.19232
2020-05-24,1.65889
2020-05-25,2.95489
2020-05-26,2.17729
2020-05-27,2.02177
2020-05-28,3.36962
2020-05-29,2.48833
2020-05-30,1.50336
2020-05-31,2.54017
2020-06-01,3.83618
2020-06-02,3.9917
2020-06-03,4.71747
2020-06-04,3.68066
2020-06-05,2.69569
2020-06-06,0.88128
2020-06-07,0.7776
2020-06-08,1.296
2020-06-09,1.60705
2020-06-10,2.74753
2020-06-11,2.54017
2020-06-12,2.17729
2020-06-13,1.08864
2020-06-14,1.24416
2020-06-15,2.07361
2020-06-16,1.86625
2020-06-17,2.74753
2020-06-18,1.71073
2020-06-19,1.86625
2020-06-20,1.5552
2020-06-21,1.5552
2020-06-22,2.33281
2020-06-23,1.81441
2020-06-24,2.74753
2020-06-25,1.5552
2020-06-26,0.98496
2020-06-27,0.72576
2020-06-28,0.67392
2020-06-29,1.76257
2020-06-30,1.39968
2020-07-01,1.81441
2020-07-02,2.12545
2020-07-03,2.12545
2020-07-04,0.31104
2020-07-05,0.72576
2020-07-06,2.28097
2020-07-07,1.91809
2020-07-08,1.60705
2020-07-09,1.34784
2020-07-10,0.67392
2020-07-11,0.5184
2020-07-12,0.57024
2020-07-13,1.34784
2020-07-14,1.24416
2020-07-15,0.67392
2020-07-16,1.76257
2020-07-17,0.88128
2020-07-18,0.7776
2020-07-19,0.67392
2020-07-20,0.7776
2020-07-21,1.60705
2020-07-22,1.5552
2020-07-23,1.34784
2020-07-24,0.93312
2020-07-25,0.46656
2020-07-26,0.67392
2020-07-27,0.31104
2020-07-28,0.7776
2020-07-29,0.93312
2020-07-30,1.08864
2020-07-31,0.41472
2020-08-01,0.82944
2020-08-02,0.62208
2020-08-03,0.88128
2020-08-04,1.50336
2020-08-05,0.93312
2020-08-06,1.19232
2020-08-07,0.72576
2020-08-08,1.14048
2020-08-09,0.31104
2020-08-10,0.41472
2020-08-11,1.39968
2020-08-12,1.296
2020-08-13,0.46656
2020-08-14,0.72576
2020-08-15,0.31104
2020-08-16,0.2592
2020-08-17,0.57024
2020-08-18,0.62208
2020-08-19,0.57024
2020-08-20,1.39968
2020-08-21,2.33281
2020-08-22,0.67392
2020-08-23,0.72576
2020-08-24,1.39968
2020-08-25,0.93312
2020-08-26,0.57024
2020-08-27,1.296
2020-08-28,0.7776
2020-08-29,0.72576
2020-08-30,0.57024
2020-08-31,1.14048
2020-09-01,0.93312
2020-09-02,1.08864
2020-09-03,1.19232
2020-09-04,1.296
2020-09-05,1.296
2020-09-06,0.7776
2020-09-07,1.08864
2020-09-08,0.93312
2020-09-09,1.45152
2020-09-10,1.34784
2020-09-11,1.39968
2020-09-12,0.57024
2020-09-13,0.93312
2020-09-14,0.7776
2020-09-15,1.296
2020-09-16,1.50336
2020-09-17,0.98496
2020-09-18,1.0368
2020-09-19,0.7776
2020-09-20,0.7776
2020-09-21,1.45152
2020-09-22,1.14048
2020-09-23,1.08864
2020-09-24,1.14048
2020-09-25,0.5184
2020-09-26,0.41472
2020-09-28,0.62208
2020-09-29,0.46656
2020-09-30,0.2592
2020-10-01,1.24416
2020-10-02,0.82944
2020-10-03,1.60705
2020-10-04,1.24416
2020-10-05,1.24416
2020-10-06,0.57024
2020-10-07,1.14048
2020-10-08,1.0368
2020-10-10,0.46656
2020-10-11,1.45152
2020-10-12,0.98496
2020-10-13,1.14048
2020-10-14,0.93312
2020-10-15,0.2592
2020-10-16,0.7776
2020-10-17,0.36288
2020-10-18,0.62208
2020-10-19,0.93312
2020-10-20,1.296
2020-10-21,1.08864
2020-10-22,0.82944
2020-10-23,0.88128
2020-10-24,0.31104
2020-10-25,0.31104
2020-10-26,0.46656
2020-10-27,0.88128
2020-10-28,0.2592
2020-10-29,0.72576
2020-10-30,0.5184
2020-10-31,0.2592
2020-11-01,0.41472
2020-11-02,1.08864
2020-11-03,2.07361
2020-11-04,3.2141
2020-11-05,1.76257
2020-11-06,1.91809
2020-11-07,1.45152
2020-11-08,1.81441
2020-11-09,1.81441
2020-11-10,1.96993
2020-11-11,1.45152
2020-11-12,1.50336
2020-11-13,0.82944
2020-11-14,0.72576
2020-11-15,0.5184
2020-11-16,0.88128
2020-11-17,1.86625
2020-11-18,1.65889
2020-11-19,1.24416
2020-11-20,0.82944
2020-11-21,0.57024
2020-11-22,0.2592
2020-11-23,1.296
2020-11-24,1.0368
2020-11-25,1.24416
2020-11-26,0.5184
2020-11-27,1.81441
2020-11-28,0.5184
2020-11-30,1.71073
2020-12-01,1.50336
2020-12-02,2.02177
2020-12-03,2.07361
2020-12-04,1.08864
2020-12-05,1.19232
2020-12-06,0.62208
2020-12-07,1.24416
2020-12-08,0.98496
2020-12-09,1.0368
2020-12-10,1.24416
2020-12-11,0.98496
2020-12-12,0.62208
2020-12-13,0.31104
2020-12-14,1.45152
2020-12-15,1.08864
2020-12-16,1.24416
2020-12-17,0.82944
2020-12-18,0.88128
