date,회사채금리
2020-11-07,1.10957
2020-11-08,3.05131
2020-11-09,5.96393
2020-11-10,6.51872
2020-11-11,6.24133
2020-11-12,5.54785
2020-11-13,6.51872
2020-11-14,3.74479
2020-11-15,5.13176
2020-11-16,7.2122
2020-11-17,6.24133
2020-11-18,7.90568
2020-11-19,5.40915
2020-11-20,5.27045
2020-11-21,2.49653
2020-11-22,1.24826
2020-11-23,5.96393
2020-11-24,6.93481
2020-11-25,6.79611
2020-11-26,7.62829
2020-11-27,7.62829
2020-11-28,3.6061
2020-11-29,3.4674
2020-11-30,7.76699
2020-12-01,8.18307
2020-12-02,6.93481
2020-12-03,6.79611
2020-12-04,5.68654
2020-12-05,2.63522
2020-12-06,1.66435
2020-12-07,6.79611
2020-12-08,5.68654
2020-12-09,6.93481
2020-12-10,8.73786
2020-12-11,6.10263
2020-12-12,4.02219
2020-12-13,4.43828
2020-12-14,9.01525
2020-12-15,6.24133
2020-12-16,7.48959
2020-12-17,6.10263
2020-12-18,5.68654
2020-12-19,2.49653
2020-12-20,4.99306
2020-12-21,7.48959
2020-12-22,5.27045
2020-12-23,3.88349
2020-12-24,4.85436
2020-12-25,4.02219
2020-12-26,4.43828
2020-12-27,1.80305
2020-12-28,5.54785
2020-12-29,11.23439
2020-12-30,13.31484
2020-12-31,4.29958
2021-01-01,2.91262
2021-01-02,3.74479
2021-01-03,3.4674
2021-01-04,8.04438
2021-01-05,8.59916
2021-01-06,8.73786
2021-01-07,8.73786
2021-01-08,7.62829
2021-01-09,6.24133
2021-01-10,8.32177
2021-01-11,9.15395
2021-01-12,12.48266
2021-01-13,10.54091
2021-01-14,15.95006
2021-01-15,13.03744
2021-01-16,5.40915
2021-01-17,7.3509
2021-01-18,10.54091
2021-01-19,11.37309
2021-01-20,9.98613
2021-01-21,11.65048
2021-01-22,8.87656
2021-01-23,4.71567
2021-01-24,5.40915
2021-01-25,10.26352
2021-01-26,14.7018
2021-01-27,9.01525
2021-01-28,11.65048
2021-01-29,8.59916
2021-01-30,4.02219
2021-01-31,6.10263
2021-02-01,8.32177
2021-02-02,11.92787
2021-02-03,9.84743
2021-02-04,10.12482
2021-02-05,9.29264
2021-02-06,3.32871
2021-02-07,4.99306
2021-02-08,8.18307
2021-02-09,8.18307
2021-02-10,8.87656
2021-02-11,4.43828
2021-02-12,5.13176
2021-02-13,4.57697
2021-02-14,8.73786
2021-02-15,14.5631
2021-02-16,11.65048
2021-02-17,12.48266
2021-02-18,12.48266
2021-02-19,8.73786
2021-02-20,4.71567
2021-02-21,4.85436
2021-02-22,8.73786
2021-02-23,13.03744
2021-02-24,12.62135
2021-02-25,9.43134
2021-02-26,9.98613
2021-02-27,7.76699
2021-02-28,7.2122
2021-03-01,7.0735
2021-03-02,11.78918
2021-03-03,10.12482
2021-03-04,12.48266
2021-03-05,9.84743
2021-03-06,7.0735
2021-03-07,3.88349
2021-03-08,12.48266
2021-03-09,12.34396
2021-03-10,12.34396
2021-03-11,9.98613
2021-03-12,10.12482
2021-03-13,4.99306
2021-03-14,6.79611
2021-03-15,11.23439
2021-03-16,11.37309
2021-03-17,17.75312
2021-03-18,10.26352
2021-03-19,8.04438
2021-03-20,3.32871
2021-03-21,4.57697
2021-03-22,8.04438
2021-03-23,9.43134
2021-03-24,10.12482
2021-03-25,10.957
2021-03-26,8.87656
2021-03-27,3.32871
2021-03-28,3.05131
2021-03-29,6.65742
2021-03-30,6.10263
2021-03-31,9.15395
2021-04-01,7.0735
2021-04-02,8.18307
2021-04-03,2.49653
2021-04-04,4.57697
2021-04-05,8.46047
2021-04-06,11.0957
2021-04-07,8.46047
2021-04-08,6.24133
2021-04-09,6.10263
2021-04-10,2.49653
2021-04-11,4.29958
2021-04-12,5.82524
2021-04-13,5.27045
2021-04-14,4.43828
2021-04-15,5.27045
2021-04-16,6.38002
2021-04-17,4.02219
2021-04-18,2.21914
2021-04-19,5.82524
2021-04-20,4.71567
2021-04-21,6.10263
2021-04-22,5.27045
2021-04-23,6.24133
2021-04-24,3.32871
2021-04-25,1.94174
2021-04-26,7.62829
2021-04-27,4.02219
