date,부동산증여세
2020-03-20,15.02029
2020-03-21,12.99052
2020-03-22,12.71989
2020-03-23,15.96752
2020-03-24,15.29093
2020-03-25,17.3207
2020-03-26,15.29093
2020-03-27,15.8322
2020-03-28,12.99052
2020-03-29,11.77266
2020-03-30,18.40324
2020-03-31,12.44925
2020-04-01,15.15561
2020-04-02,17.3207
2020-04-03,13.39648
2020-04-04,10.28416
2020-04-05,11.50202
2020-04-06,17.18538
2020-04-07,10.82543
2020-04-08,17.45602
2020-04-09,17.18538
2020-04-10,15.02029
2020-04-11,13.53179
2020-04-12,15.29093
2020-04-13,17.05006
2020-04-14,16.10284
2020-04-15,11.63734
2020-04-16,18.13261
2020-04-17,18.8092
2020-04-18,14.61434
2020-04-19,15.29093
2020-04-20,23.54533
2020-04-21,18.67388
2020-04-22,23.81596
2020-04-23,19.21515
2020-04-24,15.56156
2020-04-25,17.45602
2020-04-26,14.61434
2020-04-27,19.75642
2020-04-28,22.86874
2020-04-29,21.65087
2020-04-30,14.74966
2020-05-01,17.86197
2020-05-02,13.12584
2020-05-03,14.20838
2020-05-04,19.6211
2020-05-05,19.89174
2020-05-06,24.49255
2020-05-07,23.41001
2020-05-08,19.89174
2020-05-09,18.53856
2020-05-10,13.93775
2020-05-11,19.48579
2020-05-12,19.07983
2020-05-13,18.13261
2020-05-14,16.10284
2020-05-15,16.23815
2020-05-16,16.91474
2020-05-17,17.18538
2020-05-18,20.83897
2020-05-19,18.40324
2020-05-20,22.05683
2020-05-21,20.56833
2020-05-22,16.50879
2020-05-23,12.58457
2020-05-24,15.42625
2020-05-25,20.29769
2020-05-26,19.35047
2020-05-27,19.35047
2020-05-28,16.64411
2020-05-29,14.61434
2020-05-30,15.8322
2020-05-31,13.53179
2020-06-01,20.56833
2020-06-02,19.07983
2020-06-03,13.39648
2020-06-04,15.96752
2020-06-05,12.58457
2020-06-06,10.82543
2020-06-07,15.69688
2020-06-08,22.73342
2020-06-09,21.65087
2020-06-10,18.94451
2020-06-11,17.99729
2020-06-12,17.3207
2020-06-13,17.99729
2020-06-14,18.26792
2020-06-15,24.62787
2020-06-16,23.13937
2020-06-17,37.34776
2020-06-18,32.74695
2020-06-19,21.38024
2020-06-20,15.42625
2020-06-21,18.67388
2020-06-22,35.31799
2020-06-23,30.98782
2020-06-24,30.04059
2020-06-25,25.30446
2020-06-26,20.02706
2020-06-27,19.6211
2020-06-28,19.89174
2020-06-29,27.8755
2020-06-30,27.74018
2020-07-01,23.13937
2020-07-02,27.74018
2020-07-03,30.44654
2020-07-04,18.67388
2020-07-05,27.33423
2020-07-06,34.10013
2020-07-07,49.79702
2020-07-08,66.1705
2020-07-09,56.02165
2020-07-10,88.7686
2020-07-11,80.92016
2020-07-12,83.76184
2020-07-13,100.0
2020-07-14,81.46143
2020-07-15,52.36806
2020-07-16,42.8958
2020-07-17,32.07036
2020-07-18,23.41001
2020-07-19,25.43978
2020-07-20,31.39377
2020-07-21,27.46955
2020-07-22,29.364
2020-07-23,29.90527
2020-07-24,25.03382
2020-07-25,17.72665
2020-07-26,19.48579
2020-07-27,25.03382
2020-07-28,26.79296
2020-07-29,27.06359
2020-07-30,28.82273
2020-07-31,23.81596
2020-08-01,16.64411
2020-08-02,19.21515
2020-08-03,27.8755
2020-08-04,37.34776
2020-08-05,22.86874
2020-08-06,18.94451
2020-08-07,19.75642
2020-08-08,13.39648
2020-08-09,15.15561
2020-08-10,24.0866
