date,이마트주가
2020-03-20,9.42332
2020-03-21,1.63439
2020-03-22,1.4631
2020-03-23,9.61126
2020-03-24,8.57163
2020-03-25,8.94513
2020-03-26,8.71199
2020-03-27,8.37179
2020-03-28,1.51068
2020-03-29,1.70576
2020-03-30,7.89836
2020-03-31,7.62002
2020-04-01,7.21796
2020-04-02,6.82542
2020-04-03,6.99195
2020-04-04,1.24898
2020-04-05,1.17999
2020-04-06,9.14259
2020-04-07,8.57163
2020-04-08,8.20288
2020-04-09,8.16006
2020-04-10,9.28058
2020-04-11,1.96031
2020-04-12,1.73906
2020-04-13,7.58909
2020-04-14,7.2703
2020-04-15,1.54636
2020-04-16,7.78893
2020-04-17,8.55735
2020-04-18,1.48451
2020-04-19,1.42741
2020-04-20,8.9261
2020-04-21,8.27901
2020-04-22,8.53594
2020-04-23,8.01969
2020-04-24,7.16086
2020-04-25,1.27753
2020-04-26,1.14669
2020-04-27,15.0973
2020-04-28,12.83246
2020-04-29,10.37017
2020-04-30,1.92701
2020-05-01,1.72955
2020-05-02,0.98967
2020-05-03,0.95398
2020-05-04,8.0411
2020-05-05,1.46072
2020-05-06,8.22191
2020-05-07,7.16086
2020-05-08,7.24175
2020-05-09,1.29181
2020-05-10,1.22044
2020-05-11,7.68425
2020-05-12,7.51058
2020-05-13,8.65251
2020-05-14,7.95784
2020-05-15,6.59704
2020-05-16,1.0658
2020-05-17,0.93019
2020-05-18,7.06332
2020-05-19,7.28457
2020-05-20,6.21401
2020-05-21,6.51139
2020-05-22,5.82385
2020-05-23,0.9635
2020-05-24,1.18475
2020-05-25,7.55103
2020-05-26,7.17038
2020-05-27,7.37736
2020-05-28,7.44397
2020-05-29,10.26787
2020-05-30,1.58918
2020-05-31,1.55588
2020-06-01,9.0284
2020-06-02,8.3932
2020-06-03,9.74449
2020-06-04,9.25441
2020-06-05,7.97211
2020-06-06,1.44406
2020-06-07,1.72479
2020-06-08,9.4138
2020-06-09,9.58271
2020-06-10,8.59304
2020-06-11,8.87138
2020-06-12,7.89123
2020-06-13,1.20378
2020-06-14,1.19902
2020-06-15,7.8603
2020-06-16,8.29804
2020-06-17,6.7826
2020-06-18,6.92296
2020-06-19,6.09268
2020-06-20,1.01822
2020-06-21,0.98491
2020-06-22,5.64067
2020-06-23,6.1926
2020-06-24,6.37341
2020-06-25,6.2045
2020-06-26,6.03321
2020-06-27,1.00394
2020-06-28,0.79459
2020-06-29,6.18784
2020-06-30,6.37341
2020-07-01,5.33853
2020-07-02,5.41228
2020-07-03,5.13869
2020-07-04,0.7589
2020-07-05,0.83503
2020-07-06,5.50506
2020-07-07,5.43607
2020-07-08,5.80482
2020-07-09,6.66127
2020-07-10,6.64224
2020-07-11,1.0087
2020-07-12,0.94209
2020-07-13,8.85949
2020-07-14,7.30599
2020-07-15,7.10139
2020-07-16,6.578
2020-07-17,5.83099
2020-07-18,1.13003
2020-07-19,1.10624
2020-07-20,6.50425
2020-07-21,8.41461
2020-07-22,8.10058
2020-07-23,6.74929
2020-07-24,6.55659
2020-07-25,0.9754
2020-07-26,1.01346
2020-07-27,6.32345
2020-07-28,6.76833
2020-07-29,8.31469
2020-07-30,7.77941
2020-07-31,6.30917
2020-08-01,1.111
2020-08-02,0.93733
2020-08-03,6.03321
2020-08-04,6.73502
2020-08-05,6.50663
2020-08-06,7.20845
2020-08-07,7.09425
2020-08-08,1.61297
2020-08-09,1.37031
2020-08-10,10.92924
2020-08-11,13.00137
2020-08-12,12.85625
2020-08-13,13.45101
2020-08-14,15.42084
2020-08-15,2.04596
2020-08-16,2.59313
2020-08-17,3.03801
2020-08-18,13.0442
2020-08-19,10.67231
2020-08-20,10.344
2020-08-21,9.01888
2020-08-22,1.09435
2020-08-23,1.13003
