date,실비보험료인상
2020-03-20,2.85714
2020-03-21,1.5238
2020-03-23,2.28571
2020-03-24,3.61904
2020-03-25,7.04761
2020-03-26,8.19047
2020-03-27,8.95238
2020-03-28,3.23809
2020-03-29,4.19047
2020-03-30,8.19047
2020-03-31,11.80952
2020-04-01,2.47619
2020-04-02,2.66666
2020-04-03,4.95238
2020-04-04,1.90476
2020-04-05,1.71428
2020-04-06,4.57142
2020-04-07,1.90476
2020-04-08,2.85714
2020-04-09,3.61904
2020-04-10,2.47619
2020-04-11,3.23809
2020-04-12,1.14285
2020-04-13,4.38095
2020-04-14,1.90476
2020-04-15,1.71428
2020-04-16,3.42857
2020-04-17,1.33333
2020-04-18,3.23809
2020-04-19,1.14285
2020-04-20,2.47619
2020-04-21,4.0
2020-04-22,5.90476
2020-04-23,4.0
2020-04-24,4.95238
2020-04-25,1.33333
2020-04-26,0.95238
2020-04-27,4.0
2020-04-28,3.61904
2020-04-29,2.28571
2020-04-30,1.90476
2020-05-04,1.33333
2020-05-05,2.66666
2020-05-06,3.80952
2020-05-07,3.42857
2020-05-08,2.28571
2020-05-09,3.61904
2020-05-10,2.28571
2020-05-11,3.42857
2020-05-12,3.23809
2020-05-13,2.09523
2020-05-14,3.80952
2020-05-15,4.95238
2020-05-16,0.95238
2020-05-17,1.90476
2020-05-18,4.95238
2020-05-19,4.57142
2020-05-20,5.14285
2020-05-21,4.7619
2020-05-22,2.09523
2020-05-23,2.47619
2020-05-24,1.14285
2020-05-25,5.5238
2020-05-26,8.0
2020-05-27,6.85714
2020-05-28,6.09523
2020-05-29,4.19047
2020-05-30,1.5238
2020-05-31,0.95238
2020-06-01,2.47619
2020-06-02,1.71428
2020-06-03,3.80952
2020-06-04,1.33333
2020-06-05,2.85714
2020-06-06,1.90476
2020-06-07,1.33333
2020-06-08,1.71428
2020-06-09,1.14285
2020-06-10,1.5238
2020-06-11,3.23809
2020-06-12,3.61904
2020-06-13,5.14285
2020-06-14,3.42857
2020-06-15,3.42857
2020-06-16,4.57142
2020-06-17,5.5238
2020-06-18,5.33333
2020-06-19,3.23809
2020-06-20,4.0
2020-06-21,1.5238
2020-06-22,4.19047
2020-06-23,4.7619
2020-06-24,4.38095
2020-06-25,4.19047
2020-06-26,3.42857
2020-06-27,3.42857
2020-06-28,0.95238
2020-06-29,6.28571
2020-06-30,4.38095
2020-07-01,6.66666
2020-07-02,6.09523
2020-07-03,3.61904
2020-07-04,1.33333
2020-07-06,5.33333
2020-07-07,4.95238
2020-07-08,3.80952
2020-07-09,5.33333
2020-07-10,4.57142
2020-07-13,1.5238
2020-07-14,3.04761
2020-07-15,6.09523
2020-07-16,4.19047
2020-07-17,3.80952
2020-07-18,2.09523
2020-07-19,1.14285
2020-07-20,5.33333
2020-07-21,4.0
2020-07-22,8.19047
2020-07-23,2.85714
2020-07-24,5.33333
2020-07-25,1.14285
2020-07-27,4.38095
2020-07-28,8.38095
2020-07-29,4.0
2020-07-30,3.61904
2020-07-31,0.95238
2020-08-02,1.14285
2020-08-05,1.5238
2020-08-06,0.95238
2020-08-08,0.95238
2020-08-10,0.95238
2020-08-11,1.5238
2020-08-12,1.5238
2020-08-13,4.57142
2020-08-14,2.66666
2020-08-15,1.33333
2020-08-16,1.14285
2020-08-17,3.23809
2020-08-18,2.28571
2020-08-19,4.38095
2020-08-20,4.7619
2020-08-21,2.28571
2020-08-22,1.90476
2020-08-24,1.5238
2020-08-25,3.42857
2020-08-26,1.71428
2020-08-27,1.5238
2020-08-28,1.90476
2020-08-29,1.33333
2020-08-30,1.14285
2020-08-31,0.95238
2020-09-02,1.14285
2020-09-03,0.95238
2020-09-04,1.33333
2020-09-05,1.14285
2020-09-07,1.33333
2020-09-09,0.95238
2020-09-11,1.14285
2020-09-12,0.95238
2020-09-14,1.33333
2020-09-15,0.95238
2020-09-17,1.5238
2020-09-18,1.14285
2020-09-19,1.14285
2020-09-21,2.09523
2020-09-22,1.33333
2020-09-24,1.90476
2020-09-25,1.71428
2020-09-26,1.5238
2020-09-28,1.33333
2020-10-05,1.33333
2020-10-06,1.71428
2020-10-07,1.33333
2020-10-12,4.0
2020-10-13,6.28571
2020-10-14,3.23809
2020-10-15,4.7619
2020-10-16,3.42857
2020-10-17,1.14285
2020-10-18,1.5238
2020-10-19,2.09523
2020-10-20,3.23809
2020-10-21,3.42857
2020-10-22,3.23809
2020-10-23,1.33333
2020-10-24,0.95238
2020-10-25,1.14285
2020-10-26,3.61904
2020-10-27,3.80952
2020-10-28,6.85714
2020-10-29,5.14285
2020-10-30,3.80952
2020-10-31,1.90476
2020-11-01,3.61904
2020-11-02,6.85714
2020-11-03,4.38095
2020-11-04,3.42857
2020-11-05,2.66666
2020-11-06,3.04761
2020-11-07,1.71428
2020-11-08,1.90476
2020-11-09,8.7619
2020-11-10,4.95238
2020-11-11,2.28571
2020-11-12,5.14285
2020-11-13,1.71428
2020-11-14,3.04761
2020-11-16,2.66666
2020-11-17,4.38095
2020-11-18,4.19047
2020-11-19,1.90476
2020-11-20,3.61904
2020-11-21,2.09523
2020-11-23,2.09523
2020-11-24,2.09523
2020-11-25,4.0
2020-11-26,3.23809
2020-11-27,1.5238
2020-11-28,1.33333
2020-11-30,2.09523
2020-12-01,3.23809
2020-12-02,4.38095
2020-12-03,2.09523
2020-12-04,1.90476
2020-12-05,1.33333
2020-12-06,1.71428
2020-12-07,3.42857
2020-12-08,1.90476
2020-12-09,5.71428
2020-12-10,15.04761
2020-12-11,9.90476
2020-12-12,1.5238
2020-12-13,4.95238
2020-12-14,7.23809
2020-12-15,9.14285
2020-12-16,14.66666
2020-12-17,11.42857
2020-12-18,14.09523
2020-12-19,8.0
2020-12-20,6.85714
2020-12-21,13.90476
2020-12-22,19.80952
2020-12-23,22.28571
2020-12-24,16.0
2020-12-25,5.90476
2020-12-26,7.23809
2020-12-27,13.14285
2020-12-28,25.71428
2020-12-29,27.04761
2020-12-30,28.0
2020-12-31,20.19047
2021-01-01,7.42857
