date,포인트몬스터
2020-09-05,2.42914
2021-03-17,2.02429
2021-03-26,3.23886
2021-05-21,2.42914
2021-07-04,4.04858
2021-07-05,5.26315
2021-07-09,3.64372
2021-09-09,2.834
2021-09-14,2.834
2021-09-15,3.23886
2021-09-16,4.04858
2021-09-24,2.42914
2021-11-02,2.834
2022-01-27,2.02429
2022-01-28,2.42914
2022-02-02,2.834
2022-02-03,4.85829
2022-02-04,2.02429
2022-02-05,2.42914
2022-02-06,2.02429
2022-02-07,4.85829
2022-02-08,2.02429
2022-02-09,3.64372
2022-02-10,2.834
2022-02-13,2.02429
2022-02-16,3.64372
2022-02-18,100.0
2022-02-19,40.08097
2022-02-20,25.91093
2022-02-21,16.19433
2022-02-22,17.4089
2022-02-23,8.90688
2022-02-24,10.93117
2022-02-25,7.28744
2022-02-26,19.83805
2022-02-27,18.21862
2022-02-28,12.14574
2022-03-01,17.00404
2022-03-02,7.28744
2022-03-03,10.52631
2022-03-04,5.66801
2022-03-05,7.28744
2022-03-06,11.74089
2022-03-07,11.74089
2022-03-08,9.31174
2022-03-09,6.47773
2022-03-10,4.85829
2022-03-11,8.50202
2022-03-12,9.71659
2022-03-13,8.50202
2022-03-14,9.71659
2022-03-15,4.85829
2022-03-16,6.88259
2022-03-17,7.6923
2022-03-18,6.47773
2022-03-19,3.23886
2022-03-20,10.12145
2022-03-21,8.09716
2022-03-22,9.31174
2022-03-23,6.07287
2022-03-24,6.07287
2022-03-25,2.834
2022-03-26,2.834
2022-03-27,6.88259
2022-03-28,7.28744
2022-03-29,6.88259
2022-03-30,10.12145
2022-03-31,5.26315
2022-04-01,14.57489
2022-04-02,10.93117
2022-04-03,4.04858
2022-04-04,10.93117
2022-04-05,7.6923
2022-04-06,8.90688
2022-04-07,9.71659
2022-04-08,7.6923
2022-04-09,2.02429
2022-04-10,6.47773
2022-04-11,11.33603
2022-04-12,7.28744
2022-04-13,10.93117
2022-04-14,6.88259
2022-04-15,12.95546
2022-04-16,12.5506
2022-04-17,8.09716
2022-04-18,15.38461
2022-04-19,19.83805
2022-04-20,18.21862
2022-04-21,14.17004
2022-04-22,14.17004
2022-04-23,9.31174
2022-04-24,10.93117
2022-04-25,13.36032
2022-04-26,12.14574
2022-04-27,14.57489
2022-04-28,8.09716
2022-04-29,8.90688
2022-04-30,7.28744
2022-05-01,19.02834
2022-05-02,15.38461
2022-05-03,12.95546
2022-05-04,9.31174
2022-05-05,12.5506
2022-05-06,11.74089
2022-05-07,13.36032
2022-05-08,11.74089
2022-05-09,12.5506
2022-05-10,8.90688
2022-05-11,19.83805
2022-05-12,10.93117
2022-05-13,15.38461
2022-05-14,10.93117
2022-05-15,8.50202
2022-05-16,19.02834
2022-05-17,16.19433
2022-05-18,10.52631
2022-05-19,14.97975
2022-05-20,13.36032
2022-05-21,12.14574
2022-05-22,10.52631
2022-05-23,21.86234
2022-05-24,16.19433
2022-05-25,23.48178
2022-05-26,19.02834
2022-05-27,29.95951
2022-05-28,20.64777
2022-05-29,12.5506
2022-05-30,23.07692
2022-05-31,21.86234
2022-06-01,32.79352
2022-06-02,22.2672
2022-06-03,25.10121
2022-06-04,14.97975
2022-06-05,27.1255
2022-06-06,29.14979
2022-06-07,33.19838
2022-06-08,29.55465
2022-06-09,20.24291
2022-06-10,14.97975
2022-06-11,14.17004
2022-06-12,24.29149
2022-06-13,17.00404
2022-06-14,19.02834
2022-06-15,16.59919
2022-06-16,16.19433
2022-06-17,16.19433
2022-06-18,16.59919
2022-06-19,19.43319
2022-06-20,17.81376
2022-06-21,16.19433
2022-06-22,14.57489
2022-06-23,23.48178
2022-06-24,16.19433
2022-06-25,10.52631
2022-06-26,22.67206
2022-06-27,14.97975
2022-06-28,15.38461
2022-06-29,14.57489
2022-06-30,16.19433
2022-07-01,25.91093
2022-07-02,19.83805
2022-07-03,18.21862
2022-07-04,21.05263
2022-07-05,20.64777
2022-07-06,14.57489
2022-07-07,14.17004
2022-07-08,18.21862
2022-07-09,12.95546
2022-07-10,14.97975
2022-07-11,30.36437
2022-07-12,19.43319
2022-07-13,19.02834
2022-07-14,14.17004
2022-07-15,18.21862
2022-07-16,9.31174
2022-07-17,17.00404
2022-07-18,17.81376
2022-07-19,23.88663
2022-07-20,17.81376
2022-07-21,13.76518
2022-07-22,14.57489
2022-07-23,7.28744
2022-07-24,17.00404
2022-07-25,19.02834
2022-07-26,19.83805
2022-07-27,23.88663
2022-07-28,15.38461
2022-07-29,17.81376
2022-07-30,16.19433
2022-07-31,17.4089
2022-08-01,28.74493
2022-08-02,20.64777
2022-08-03,19.43319
2022-08-04,21.05263
2022-08-05,22.2672
2022-08-06,18.62348
2022-08-07,23.48178
2022-08-08,29.95951
2022-08-09,21.45748
2022-08-10,29.14979
2022-08-11,16.19433
2022-08-12,23.07692
2022-08-13,17.81376
2022-08-14,13.36032
2022-08-15,14.17004
2022-08-16,17.00404
2022-08-17,21.05263
2022-08-18,14.97975
2022-08-19,16.19433
2022-08-20,14.57489
2022-08-21,18.62348
2022-08-22,14.97975
2022-08-23,17.4089
2022-08-24,20.24291
2022-08-25,17.00404
2022-08-26,11.74089
2022-08-27,15.78947
2022-08-28,17.4089
2022-08-29,20.64777
2022-08-30,16.19433
2022-08-31,19.43319
2022-09-01,21.05263
2022-09-02,21.86234
2022-09-03,23.07692
2022-09-04,25.91093
2022-09-05,19.83805
2022-09-06,17.00404
2022-09-07,16.19433
2022-09-08,12.5506
2022-09-09,9.31174
2022-09-10,23.07692
2022-09-11,9.71659
2022-09-12,22.67206
2022-09-13,11.33603
2022-09-14,14.97975
2022-09-15,18.21862
2022-09-16,15.78947
2022-09-17,17.81376
2022-09-18,12.95546
2022-09-19,15.78947
2022-09-20,14.17004
2022-09-21,12.14574
2022-09-22,16.59919
2022-09-23,27.53036
2022-09-24,8.50202
2022-09-25,13.36032
2022-09-26,25.10121
2022-09-27,19.02834
2022-09-28,12.95546
2022-09-29,15.78947
2022-09-30,18.62348
2022-10-01,18.62348
2022-10-02,22.67206
2022-10-03,24.69635
2022-10-04,21.86234
2022-10-05,16.19433
2022-10-06,21.45748
2022-10-07,15.78947
2022-10-08,11.74089
2022-10-09,20.24291
2022-10-10,26.72064
2022-10-11,18.62348
2022-10-12,22.2672
2022-10-13,16.19433
2022-10-14,14.97975
2022-10-15,19.02834
2022-10-16,12.5506
2022-10-17,21.86234
2022-10-18,26.31578
2022-10-19,16.59919
2022-10-20,21.05263
2022-10-21,19.02834
2022-10-22,19.43319
2022-10-23,14.57489
2022-10-24,18.62348
2022-10-25,17.4089
2022-10-26,11.33603
2022-10-27,14.17004
2022-10-28,7.28744
2022-10-29,8.90688
2022-10-30,6.47773
2022-10-31,19.02834
2022-11-01,21.45748
2022-11-02,15.38461
2022-11-03,16.19433
2022-11-04,10.93117
2022-11-05,17.81376
2022-11-06,6.07287
2022-11-07,14.17004
2022-11-08,8.90688
2022-11-09,25.50607
2022-11-10,14.97975
2022-11-11,8.50202
2022-11-12,11.33603
2022-11-13,11.74089
2022-11-14,17.00404
2022-11-15,23.88663
2022-11-16,20.24291
2022-11-17,23.48178
2022-11-18,24.29149
2022-11-19,32.38866
2022-11-20,35.22267
2022-11-21,39.27125
2022-11-22,31.17408
2022-11-23,70.44534
2022-11-24,72.06477
2022-11-25,36.43724
2022-11-26,45.74898
2022-11-27,51.417
2022-11-28,44.12955
2022-11-29,50.20242
2022-11-30,37.24696
2022-12-01,37.65182
2022-12-02,32.38866
2022-12-03,17.4089
2022-12-04,30.36437
2022-12-05,35.22267
2022-12-06,45.74898
2022-12-07,40.08097
2022-12-08,36.8421
2022-12-09,26.31578
2022-12-10,26.72064
2022-12-11,30.36437
2022-12-12,31.57894
2022-12-13,36.03238
2022-12-14,45.34412
2022-12-15,43.72469
2022-12-16,38.46153
2022-12-17,36.03238
2022-12-18,36.43724
2022-12-19,33.60323
2022-12-20,34.41295
2022-12-21,45.34412
2022-12-22,32.79352
2022-12-23,35.62753
2022-12-24,30.36437
2022-12-25,24.69635
2022-12-26,28.34008
2022-12-27,31.9838
2022-12-28,25.50607
2022-12-29,26.72064
2022-12-30,19.83805
2022-12-31,27.1255
2023-01-01,28.34008
2023-01-02,24.29149
2023-01-03,31.57894
2023-01-04,42.91497
2023-01-05,27.1255
2023-01-06,23.88663
2023-01-07,14.57489
2023-01-08,27.1255
2023-01-09,24.29149
2023-01-10,23.88663
2023-01-11,14.97975
2023-01-12,24.69635
2023-01-13,19.02834
2023-01-14,7.6923
2023-01-15,14.57489
2023-01-16,16.19433
2023-01-17,25.91093
2023-01-18,22.67206
2023-01-19,28.74493
2023-01-20,32.38866
