date,주식차트
2020-03-20,58.95372
2020-03-21,31.18712
2020-03-22,23.23943
2020-03-23,57.74647
2020-03-24,57.04225
2020-03-25,61.167
2020-03-26,60.66398
2020-03-27,59.65794
2020-03-28,28.97384
2020-03-29,28.26961
2020-03-30,48.39034
2020-03-31,44.96981
2020-04-01,49.69818
2020-04-02,44.96981
2020-04-03,39.33601
2020-04-04,25.2515
2020-04-05,19.91951
2020-04-06,38.02816
2020-04-07,38.53118
2020-04-08,47.58551
2020-04-09,49.09456
2020-04-10,44.5674
2020-04-11,27.66599
2020-04-12,22.63581
2020-04-13,36.3179
2020-04-14,30.18108
2020-04-15,19.41649
2020-04-16,27.26358
2020-04-17,32.69617
2020-04-18,21.73038
2020-04-19,19.31589
2020-04-20,30.18108
2020-04-21,32.69617
2020-04-22,34.50704
2020-04-23,29.27565
2020-04-24,29.77867
2020-04-25,17.00201
2020-04-26,16.7002
2020-04-27,25.0503
2020-04-28,24.74849
2020-04-29,26.05633
2020-04-30,18.71227
2020-05-01,14.58752
2020-05-02,12.77665
2020-05-03,13.17907
2020-05-04,21.73038
2020-05-05,15.09054
2020-05-06,24.74849
2020-05-07,22.93762
2020-05-08,23.94366
2020-05-09,15.49295
2020-05-10,14.0845
2020-05-11,22.93762
2020-05-12,23.64185
2020-05-13,28.06841
2020-05-14,28.37022
2020-05-15,29.57746
2020-05-16,18.20925
2020-05-17,11.2676
2020-05-18,25.55331
2020-05-19,26.15694
2020-05-20,24.84909
2020-05-21,26.45875
2020-05-22,25.55331
2020-05-23,15.29175
2020-05-24,14.28571
2020-05-25,22.83702
2020-05-26,25.2515
2020-05-27,30.98591
2020-05-28,26.45875
2020-05-29,27.56539
2020-05-30,12.87726
2020-05-31,13.17907
2020-06-01,25.0503
2020-06-02,28.87323
2020-06-03,35.91549
2020-06-04,28.06841
2020-06-05,31.38832
2020-06-06,14.58752
2020-06-07,12.27364
2020-06-08,28.16901
2020-06-09,29.47686
2020-06-10,33.6016
2020-06-11,30.18108
2020-06-12,32.09255
2020-06-13,17.70623
2020-06-14,13.58148
2020-06-15,25.2515
2020-06-16,26.45875
2020-06-17,30.6841
2020-06-18,30.6841
2020-06-19,27.16297
2020-06-20,14.18511
2020-06-21,15.39235
2020-06-22,28.26961
2020-06-23,28.37022
2020-06-24,26.76056
2020-06-25,29.07444
2020-06-26,27.16297
2020-06-27,14.98993
2020-06-28,12.17303
2020-06-29,24.54728
2020-06-30,24.24547
2020-07-01,25.75452
2020-07-02,26.35814
2020-07-03,25.0503
2020-07-04,15.69416
2020-07-05,15.49295
2020-07-06,28.57142
2020-07-07,32.89738
2020-07-08,27.26358
2020-07-09,31.79074
2020-07-10,35.71428
2020-07-11,18.00804
2020-07-12,16.29778
2020-07-13,29.27565
2020-07-14,32.79678
2020-07-15,31.89134
2020-07-16,29.57746
2020-07-17,31.18712
2020-07-18,16.59959
2020-07-19,16.29778
2020-07-20,31.08651
2020-07-21,31.99195
2020-07-22,35.31187
2020-07-23,41.44869
2020-07-24,35.81488
2020-07-25,19.5171
2020-07-26,20.62374
2020-07-27,37.22334
2020-07-28,38.83299
2020-07-29,38.83299
2020-07-30,35.71428
2020-07-31,34.30583
2020-08-01,21.62977
2020-08-02,19.6177
2020-08-03,31.99195
2020-08-04,41.44869
2020-08-05,39.0342
2020-08-06,38.12877
2020-08-07,34.10462
2020-08-08,27.56539
2020-08-09,24.14486
2020-08-10,41.14688
2020-08-11,38.43058
2020-08-12,41.54929
2020-08-13,38.73239
2020-08-14,33.70221
2020-08-15,20.42253
2020-08-16,14.58752
2020-08-17,15.89537
2020-08-18,29.77867
2020-08-19,37.62575
2020-08-20,33.6016
2020-08-21,37.22334
2020-08-22,18.10865
2020-08-23,20.22132
2020-08-24,31.28772
2020-08-25,33.70221
2020-08-26,39.63782
2020-08-27,40.64386
2020-08-28,39.93963
2020-08-29,25.55331
2020-08-30,25.55331
2020-08-31,41.44869
2020-09-01,42.35412
2020-09-02,41.54929
2020-09-03,42.45472
2020-09-04,41.04627
2020-09-05,25.45271
2020-09-06,21.62977
2020-09-07,46.27766
2020-09-08,45.47283
2020-09-09,45.37223
2020-09-10,45.17102
2020-09-11,42.15291
2020-09-12,23.03822
2020-09-13,23.84305
2020-09-14,41.8511
2020-09-15,42.35412
2020-09-16,43.36016
2020-09-17,42.65593
2020-09-18,34.60764
2020-09-19,26.35814
2020-09-20,19.21529
2020-09-21,31.38832
2020-09-22,33.09859
2020-09-23,34.60764
2020-09-24,35.71428
2020-09-25,29.77867
2020-09-26,14.78873
2020-09-27,13.78269
2020-09-28,24.44668
2020-09-29,27.06237
2020-09-30,14.78873
2020-10-01,11.46881
2020-10-02,13.07847
2020-10-03,12.47484
2020-10-04,14.78873
2020-10-05,25.85513
2020-10-06,30.88531
2020-10-07,27.36418
2020-10-08,27.06237
2020-10-09,15.49295
