date,코인구매
2020-07-17,4.34782
2020-11-08,4.34782
2020-11-24,4.34782
2020-12-01,8.69565
2020-12-08,4.34782
2020-12-17,5.21739
2020-12-18,4.34782
2020-12-21,4.34782
2020-12-24,6.08695
2020-12-28,5.21739
2020-12-29,4.34782
2020-12-30,5.21739
2020-12-31,4.34782
2021-01-01,12.17391
2021-01-04,5.21739
2021-01-06,10.43478
2021-01-08,12.17391
2021-01-09,4.34782
2021-01-10,5.21739
2021-01-12,7.82608
2021-01-22,4.34782
2021-02-01,18.26086
2021-02-03,4.34782
2021-02-05,4.34782
2021-02-07,4.34782
2021-02-08,4.34782
2021-02-09,13.91304
2021-02-10,5.21739
2021-02-11,6.95652
2021-02-12,9.56521
2021-02-13,9.56521
2021-02-14,9.56521
2021-02-15,20.0
2021-02-16,13.04347
2021-02-17,35.65217
2021-02-18,77.3913
2021-02-19,37.3913
2021-02-20,29.56521
2021-02-21,33.91304
2021-02-22,30.43478
2021-02-23,11.30434
2021-02-24,20.0
2021-02-25,14.7826
2021-02-26,13.04347
2021-03-01,10.43478
2021-03-02,7.82608
2021-03-03,5.21739
2021-03-06,10.43478
2021-03-08,10.43478
2021-03-09,6.95652
2021-03-10,8.69565
2021-03-11,31.30434
2021-03-12,20.86956
2021-03-13,27.82608
2021-03-14,26.08695
2021-03-15,28.69565
2021-03-16,28.69565
2021-03-17,16.52173
2021-03-18,26.95652
2021-03-19,26.08695
2021-03-20,28.69565
2021-03-21,20.86956
2021-03-22,22.60869
2021-03-23,22.60869
2021-03-24,15.65217
2021-03-25,30.43478
2021-03-26,10.43478
2021-03-27,13.91304
2021-03-28,11.30434
2021-03-29,26.95652
2021-03-30,26.95652
2021-03-31,40.0
2021-04-01,33.91304
2021-04-02,62.60869
2021-04-03,59.13043
2021-04-04,28.69565
2021-04-05,62.60869
2021-04-06,55.65217
2021-04-07,38.26086
2021-04-08,26.08695
2021-04-09,17.3913
2021-04-10,20.0
2021-04-11,10.43478
2021-04-12,20.0
2021-04-13,26.08695
2021-04-14,39.13043
2021-04-15,26.95652
2021-04-16,51.30434
2021-04-17,51.30434
2021-04-18,43.47826
2021-04-19,58.26086
2021-04-20,83.47826
2021-04-21,66.08695
2021-04-22,49.56521
2021-04-23,54.7826
2021-04-24,31.30434
2021-04-25,22.60869
2021-04-26,20.86956
2021-04-27,6.95652
2021-04-28,12.17391
2021-04-29,9.56521
2021-04-30,17.3913
2021-05-01,23.47826
2021-05-02,6.08695
2021-05-03,18.26086
2021-05-04,30.43478
2021-05-05,42.60869
2021-05-06,49.56521
2021-05-07,43.47826
2021-05-08,26.95652
2021-05-09,29.56521
2021-05-10,26.95652
2021-05-11,25.21739
2021-05-12,28.69565
2021-05-13,16.52173
2021-05-14,20.86956
2021-05-15,18.26086
2021-05-16,20.0
2021-05-17,17.3913
2021-05-18,9.56521
2021-05-19,19.13043
2021-05-20,18.26086
2021-05-21,7.82608
2021-05-22,8.69565
2021-05-23,6.95652
2021-05-24,14.7826
2021-05-25,15.65217
2021-05-26,13.04347
2021-05-27,7.82608
2021-05-28,11.30434
2021-05-29,7.82608
2021-05-30,13.04347
2021-05-31,6.95652
2021-06-03,5.21739
2021-06-05,5.21739
2021-06-06,7.82608
2021-06-07,5.21739
2021-06-08,5.21739
2021-06-09,5.21739
2021-06-10,9.56521
2021-06-16,6.08695
2021-06-19,6.08695
2021-06-21,11.30434
2021-06-22,9.56521
2021-06-23,5.21739
2021-06-25,4.34782
2021-06-26,6.95652
2021-06-27,10.43478
2021-06-28,8.69565
2021-06-29,5.21739
2021-06-30,8.69565
2021-07-05,4.34782
2021-07-08,4.34782
2021-07-26,4.34782
2021-07-27,5.21739
2021-07-30,4.34782
2021-07-31,4.34782
2021-08-08,6.08695
2021-08-09,4.34782
2021-08-10,4.34782
2021-08-11,9.56521
2021-08-12,14.7826
2021-08-13,11.30434
