date,연말정산세액공제
2020-03-20,4.42329
2020-03-21,2.40761
2020-03-22,3.75139
2020-03-23,6.215
2020-03-24,5.43113
2020-03-25,5.54311
2020-03-26,4.08734
2020-03-27,5.31914
2020-03-28,2.4636
2020-03-29,1.79171
2020-03-30,3.63941
2020-03-31,4.3673
2020-04-01,2.35162
2020-04-02,2.57558
2020-04-03,2.07166
2020-04-04,1.67973
2020-04-05,2.01567
2020-04-06,2.74356
2020-04-07,2.57558
2020-04-08,2.57558
2020-04-09,2.74356
2020-04-10,2.74356
2020-04-11,1.51175
2020-04-12,1.06382
2020-04-13,2.40761
2020-04-14,2.79955
2020-04-15,2.40761
2020-04-16,2.85554
2020-04-17,2.12765
2020-04-18,2.07166
2020-04-19,1.2318
2020-04-20,3.35946
2020-04-21,2.91153
2020-04-22,5.37513
2020-04-23,5.71108
2020-04-24,3.13549
2020-04-25,2.68756
2020-04-26,2.4636
2020-04-27,3.13549
2020-04-28,3.24748
2020-04-29,3.63941
2020-04-30,3.58342
2020-05-01,5.54311
2020-05-02,4.08734
2020-05-03,3.75139
2020-05-04,6.55095
2020-05-05,3.97536
2020-05-06,5.03919
2020-05-07,4.31131
2020-05-08,3.91937
2020-05-09,2.74356
2020-05-10,2.85554
2020-05-11,6.215
2020-05-12,6.38297
2020-05-13,6.43896
2020-05-14,4.59126
2020-05-15,4.47928
2020-05-16,2.51959
2020-05-17,2.35162
2020-05-18,2.85554
2020-05-19,3.6954
2020-05-20,3.63941
2020-05-21,4.25531
2020-05-22,3.0795
2020-05-23,1.62374
2020-05-24,2.68756
2020-05-25,3.41545
2020-05-26,2.68756
2020-05-27,2.68756
2020-05-28,2.79955
2020-05-29,2.91153
2020-05-30,1.34378
2020-05-31,2.07166
2020-06-01,3.52743
2020-06-02,1.79171
2020-06-03,1.95968
2020-06-04,1.79171
2020-06-05,2.01567
2020-06-06,0.55991
2020-06-07,1.73572
2020-06-08,1.90369
2020-06-09,1.67973
2020-06-10,2.57558
2020-06-11,1.8477
2020-06-12,1.51175
2020-06-13,0.83986
2020-06-14,1.34378
2020-06-15,1.45576
2020-06-16,2.01567
2020-06-17,1.62374
2020-06-18,1.95968
2020-06-19,1.73572
2020-06-20,1.51175
2020-06-21,0.95184
2020-06-22,1.73572
2020-06-23,2.07166
2020-06-24,2.07166
2020-06-25,1.90369
2020-06-26,0.78387
2020-06-27,1.00783
2020-06-28,0.72788
2020-06-29,1.51175
2020-06-30,1.56774
2020-07-01,2.01567
2020-07-02,1.2318
2020-07-03,1.39977
2020-07-04,0.39193
