date,상속세개편
2020-06-01,0.68119
2020-10-25,5.31335
2020-10-26,3.40599
2020-10-27,1.77111
2020-11-04,0.68119
2020-11-05,0.68119
2020-11-06,0.68119
2020-11-09,0.81743
2020-11-19,0.68119
2020-11-21,0.68119
2020-12-01,0.68119
2020-12-09,0.95367
2020-12-10,0.68119
2020-12-11,0.81743
2020-12-12,0.81743
2020-12-15,0.68119
2020-12-23,0.68119
2021-01-01,1.49863
2021-01-03,1.08991
2021-01-06,1.22615
2021-01-07,2.72479
2021-01-08,0.95367
2021-01-09,0.81743
2021-01-10,1.08991
2021-01-13,0.81743
2021-01-18,0.68119
2021-02-02,0.68119
2021-02-15,0.68119
2021-03-04,0.68119
2021-03-21,0.95367
2021-03-30,0.81743
2021-04-01,0.68119
2021-04-05,0.68119
2021-04-28,2.45231
2021-04-29,1.77111
2021-05-21,0.68119
2021-05-25,0.81743
2021-06-20,0.81743
2021-06-24,0.68119
2021-06-30,0.68119
2021-07-17,0.95367
2021-07-29,0.68119
2021-08-14,0.68119
2021-08-16,0.81743
2021-08-19,0.68119
2021-09-11,0.68119
2021-09-12,0.68119
2021-09-21,1.08991
2021-09-22,0.68119
2021-10-04,0.68119
2021-10-06,19.61852
2021-10-07,35.01362
2021-10-08,15.25885
2021-10-09,10.89918
2021-10-10,14.71389
2021-10-11,9.80926
2021-10-12,9.9455
2021-10-13,8.99182
2021-10-14,4.35967
2021-10-15,6.5395
2021-10-16,4.22343
2021-10-17,18.80108
2021-10-18,27.52043
2021-10-19,11.44414
2021-10-20,21.11716
2021-10-21,9.80926
2021-10-22,8.99182
2021-10-23,5.04087
2021-10-24,9.12806
2021-10-25,10.89918
2021-10-26,6.40326
2021-10-27,6.67574
2021-10-28,7.2207
2021-10-29,5.99455
2021-10-30,5.04087
2021-10-31,6.81198
2021-11-01,9.67302
2021-11-02,8.17438
2021-11-03,8.5831
2021-11-04,6.94822
2021-11-05,7.62942
2021-11-06,3.26975
2021-11-07,5.31335
2021-11-08,5.58583
2021-11-09,7.9019
2021-11-10,17.02997
2021-11-11,8.99182
2021-11-12,9.12806
2021-11-13,9.80926
2021-11-14,7.62942
2021-11-15,9.80926
2021-11-16,9.67302
2021-11-17,6.26702
2021-11-18,6.26702
2021-11-19,5.72207
2021-11-20,3.26975
2021-11-21,3.67847
2021-11-22,4.08719
2021-11-23,4.76839
2021-11-24,3.13351
2021-11-25,3.26975
2021-11-26,4.22343
2021-11-27,2.45231
2021-11-28,2.58855
2021-11-29,2.58855
2021-11-30,4.90463
2021-12-01,10.49046
2021-12-02,5.04087
2021-12-03,1.36239
2021-12-04,1.22615
2021-12-05,1.36239
2021-12-06,3.26975
2021-12-07,1.90735
2021-12-08,3.81471
2021-12-09,3.54223
2021-12-10,1.22615
2021-12-11,1.90735
2021-12-12,1.63487
2021-12-13,2.86103
2021-12-14,4.22343
2021-12-15,1.90735
2021-12-16,2.04359
2021-12-17,0.81743
2021-12-18,1.22615
2021-12-19,3.40599
2021-12-20,2.17983
2021-12-21,2.58855
2021-12-22,1.90735
2021-12-23,0.95367
2021-12-25,0.68119
2021-12-26,3.26975
2021-12-27,1.63487
2021-12-28,1.08991
2021-12-29,0.68119
2022-01-01,1.22615
2022-01-03,1.22615
2022-01-06,1.22615
2022-01-07,1.08991
2022-01-09,1.49863
2022-01-10,0.81743
2022-01-11,1.36239
2022-01-13,0.81743
2022-01-14,0.68119
2022-01-15,1.63487
2022-01-16,2.17983
2022-01-17,0.68119
2022-01-18,1.36239
2022-01-19,1.36239
2022-01-20,0.68119
2022-01-22,0.95367
2022-01-23,1.22615
2022-01-25,0.81743
2022-01-31,0.95367
2022-02-01,0.81743
2022-02-03,0.95367
2022-02-04,0.68119
2022-02-06,1.08991
2022-02-08,0.68119
2022-02-09,1.22615
2022-02-10,0.95367
2022-02-13,0.68119
2022-02-14,0.95367
2022-02-27,1.08991
2022-02-28,0.68119
2022-03-01,0.81743
2022-03-02,1.77111
2022-03-04,1.36239
2022-03-08,0.81743
2022-03-10,1.77111
2022-03-12,0.81743
2022-03-13,1.49863
2022-03-15,0.95367
2022-03-16,0.95367
2022-03-17,0.68119
2022-03-19,0.81743
2022-03-20,0.68119
2022-03-21,0.81743
2022-03-22,1.22615
2022-03-23,0.95367
2022-03-24,1.08991
2022-03-25,0.81743
2022-03-27,0.95367
2022-03-29,1.36239
2022-03-30,1.22615
2022-04-01,0.68119
2022-04-02,0.68119
2022-04-05,1.49863
2022-04-07,0.68119
2022-04-08,1.22615
2022-04-09,0.81743
2022-04-10,0.68119
