date,엔화
2020-03-20,11.01683
2020-03-21,3.29252
2020-03-22,2.80171
2020-03-23,10.03491
2020-03-24,8.36339
2020-03-25,8.64873
2020-03-26,7.44501
2020-03-27,6.53663
2020-03-28,2.39987
2020-03-29,2.14115
2020-03-30,6.71697
2020-03-31,5.39887
2020-04-01,5.6007
2020-04-02,5.5653
2020-04-03,5.10021
2020-04-04,1.99681
2020-04-05,1.81465
2020-04-06,5.26785
2020-04-07,5.51144
2020-04-08,4.86238
2020-04-09,4.51923
2020-04-10,4.10922
2020-04-11,1.7974
2020-04-12,1.73356
2020-04-13,4.77402
2020-04-14,4.29259
2020-04-15,2.48762
2020-04-16,4.54193
2020-04-17,4.31377
2020-04-18,1.89
2020-04-19,1.59255
2020-04-20,4.29501
2020-04-21,6.0319
2020-04-22,4.51742
2020-04-23,4.07957
2020-04-24,4.1652
2020-04-25,1.77743
2020-04-26,1.62734
2020-04-27,4.17004
2020-04-28,3.70677
2020-04-29,3.30886
2020-04-30,2.07004
2020-05-01,2.09273
2020-05-02,1.49178
2020-05-03,1.40857
2020-05-04,3.59572
2020-05-05,1.79135
2020-05-06,3.69709
2020-05-07,3.81328
2020-05-08,3.25954
2020-05-09,1.50691
2020-05-10,1.31023
2020-05-11,3.50675
2020-05-12,3.42899
2020-05-13,3.10854
2020-05-14,3.17965
2020-05-15,3.11369
2020-05-16,1.34714
2020-05-17,1.33534
2020-05-18,3.32822
2020-05-19,3.68831
2020-05-20,3.21475
2020-05-21,3.0453
2020-05-22,3.30765
2020-05-23,1.40524
2020-05-24,1.32626
2020-05-25,3.90103
2020-05-26,3.47892
2020-05-27,2.99991
2020-05-28,3.20961
2020-05-29,3.03804
2020-05-30,1.40827
2020-05-31,1.23549
2020-06-01,3.81661
2020-06-02,3.41446
2020-06-03,4.22178
2020-06-04,3.85111
2020-06-05,4.00301
2020-06-06,1.63733
2020-06-07,1.43913
2020-06-08,4.55343
2020-06-09,4.73438
2020-06-10,3.97457
2020-06-11,3.54761
2020-06-12,3.86866
2020-06-13,1.29691
2020-06-14,1.25394
2020-06-15,3.94884
2020-06-16,3.77727
2020-06-17,3.32459
2020-06-18,3.20477
2020-06-19,2.93425
2020-06-20,1.17436
2020-06-21,1.07693
2020-06-22,3.19206
2020-06-23,3.32671
2020-06-24,2.97328
2020-06-25,3.08887
2020-06-26,2.77811
2020-06-27,1.18253
2020-06-28,1.10719
2020-06-29,3.06073
2020-06-30,3.12639
2020-07-01,2.88644
2020-07-02,2.67462
2020-07-03,2.54451
2020-07-04,1.03366
2020-07-05,1.05302
2020-07-06,2.85013
2020-07-07,2.8822
2020-07-08,2.66675
2020-07-09,2.50577
2020-07-10,2.67856
2020-07-11,1.13896
2020-07-12,1.00824
2020-07-13,2.91609
2020-07-14,2.65616
2020-07-15,2.52514
2020-07-16,2.45554
2020-07-17,2.24161
2020-07-18,1.03456
2020-07-19,0.98312
2020-07-20,2.56841
2020-07-21,2.73151
2020-07-22,2.50577
2020-07-23,2.37747
2020-07-24,2.75935
2020-07-25,1.34381
2020-07-26,1.13654
2020-07-27,3.21717
2020-07-28,3.02835
2020-07-29,3.07465
2020-07-30,2.81291
2020-07-31,2.88281
2020-08-01,1.19736
2020-08-02,1.09599
2020-08-03,2.72637
2020-08-04,2.6371
2020-08-05,2.69187
2020-08-06,2.54723
2020-08-07,2.39684
2020-08-08,1.11536
2020-08-09,1.05514
2020-08-10,2.46311
2020-08-11,2.89128
2020-08-12,2.85436
2020-08-13,2.67008
2020-08-14,2.23707
2020-08-15,1.03033
2020-08-16,0.99765
2020-08-17,1.75292
2020-08-18,2.92971
2020-08-19,2.68854
2020-08-20,2.89854
2020-08-21,2.57991
2020-08-22,1.18828
2020-08-23,1.0972
2020-08-24,2.90429
2020-08-25,2.72637
2020-08-26,2.67523
2020-08-27,2.52272
2020-08-28,4.29895
2020-08-29,1.611
2020-08-30,1.23397
2020-08-31,3.24894
2020-09-01,2.83621
2020-09-02,2.69822
2020-09-03,2.5439
2020-09-04,2.62833
2020-09-05,1.14319
2020-09-06,1.11475
2020-09-07,2.61622
2020-09-08,2.42377
2020-09-09,2.69187
2020-09-10,2.41137
2020-09-11,2.40925
2020-09-12,1.07602
2020-09-13,1.02064
2020-09-14,2.49337
2020-09-15,2.51637
2020-09-16,2.70367
2020-09-17,2.55237
2020-09-18,3.23442
2020-09-19,1.30902
2020-09-20,1.09206
2020-09-21,2.74089
2020-09-22,2.91549
2020-09-23,2.76056
2020-09-24,2.7999
2020-09-25,2.4504
2020-09-26,1.10204
2020-09-27,1.01792
2020-09-28,2.48308
2020-09-29,2.2283
2020-09-30,1.19827
2020-10-01,1.32778
2020-10-02,1.50661
2020-10-03,1.07481
2020-10-04,1.09508
2020-10-05,3.02775
2020-10-06,3.00748
2020-10-07,2.69066
2020-10-08,2.89552
2020-10-09,1.67334
2020-10-10,1.27634
2020-10-11,1.19494
2020-10-12,3.22171
2020-10-13,2.95059
2020-10-14,2.87433
2020-10-15,2.51485
2020-10-16,2.44223
2020-10-17,1.07239
2020-10-18,1.01853
2020-10-19,2.80565
