date,은행이자율
2020-03-20,31.42857
2020-03-21,20.46428
2020-03-22,20.07142
2020-03-23,29.71428
2020-03-24,28.21428
2020-03-25,30.85714
2020-03-26,30.07142
2020-03-27,25.42857
2020-03-28,19.14285
2020-03-29,15.57142
2020-03-30,27.5
2020-03-31,27.5
2020-04-01,27.46428
2020-04-02,24.17857
2020-04-03,25.5
2020-04-04,16.85714
2020-04-05,15.60714
2020-04-06,26.25
2020-04-07,23.89285
2020-04-08,24.10714
2020-04-09,22.78571
2020-04-10,24.28571
2020-04-11,15.75
2020-04-12,17.39285
2020-04-13,25.57142
2020-04-14,23.17857
2020-04-15,16.78571
2020-04-16,22.71428
2020-04-17,26.17857
2020-04-18,12.89285
2020-04-19,17.03571
2020-04-20,23.46428
2020-04-21,28.32142
2020-04-22,23.32142
2020-04-23,23.75
2020-04-24,22.53571
2020-04-25,15.85714
2020-04-26,15.92857
2020-04-27,26.5
2020-04-28,24.07142
2020-04-29,20.75
2020-04-30,13.67857
2020-05-01,15.75
2020-05-02,11.35714
2020-05-03,14.17857
2020-05-04,24.78571
2020-05-05,16.42857
2020-05-06,24.57142
2020-05-07,21.85714
2020-05-08,21.42857
2020-05-09,16.60714
2020-05-10,15.03571
2020-05-11,24.75
2020-05-12,26.17857
2020-05-13,24.60714
2020-05-14,24.64285
2020-05-15,21.42857
2020-05-16,15.25
2020-05-17,18.10714
2020-05-18,23.78571
2020-05-19,20.21428
2020-05-20,18.21428
2020-05-21,17.24999
2020-05-22,15.82142
2020-05-23,12.10714
2020-05-24,15.28571
2020-05-25,22.39285
2020-05-26,20.03571
2020-05-27,19.42857
2020-05-28,24.32142
2020-05-29,17.64285
2020-05-30,13.89285
2020-05-31,14.64285
2020-06-01,23.78571
2020-06-02,19.53571
2020-06-03,20.25
2020-06-04,16.60714
2020-06-05,17.82142
2020-06-06,12.96428
2020-06-07,14.82142
2020-06-08,19.53571
2020-06-09,24.89285
2020-06-10,22.32142
2020-06-11,22.75
2020-06-12,18.82142
2020-06-13,12.67857
2020-06-14,14.46428
2020-06-15,22.39285
2020-06-16,19.60714
