date,해외선물증거금
2020-03-20,100.0
2020-03-21,70.85561
2020-03-22,52.67379
2020-03-23,78.877
2020-03-24,85.02673
2020-03-25,69.25133
2020-03-26,66.31016
2020-03-27,61.49732
2020-03-28,56.68449
2020-03-29,41.71122
2020-03-30,65.7754
2020-03-31,72.72727
2020-04-01,73.79679
2020-04-02,87.16577
2020-04-03,94.91978
2020-04-04,66.04278
2020-04-05,58.55614
2020-04-06,78.34224
2020-04-07,71.65775
2020-04-08,67.64705
2020-04-09,73.79679
2020-04-10,54.54545
2020-04-11,36.36363
2020-04-12,38.23529
2020-04-13,63.90374
2020-04-14,63.36898
2020-04-15,70.58823
2020-04-16,65.50802
2020-04-17,66.04278
2020-04-18,50.80213
2020-04-19,42.51336
2020-04-20,60.96256
2020-04-21,88.50267
2020-04-22,89.30481
2020-04-23,79.67914
2020-04-24,75.13368
2020-04-25,52.94117
2020-04-26,51.87165
2020-04-27,62.03208
2020-04-28,78.34224
2020-04-29,64.70588
2020-04-30,75.66844
2020-05-01,62.56684
2020-05-02,48.6631
2020-05-03,42.51336
2020-05-04,57.48663
2020-05-05,66.04278
2020-05-06,74.86631
2020-05-07,59.0909
2020-05-08,52.13903
2020-05-09,44.38502
2020-05-10,37.43315
2020-05-11,53.74331
2020-05-12,55.08021
2020-05-13,53.20855
2020-05-14,45.9893
2020-05-15,45.9893
2020-05-16,32.35294
2020-05-17,32.8877
2020-05-18,39.83957
2020-05-19,45.18716
2020-05-20,45.9893
2020-05-21,43.04812
2020-05-22,38.23529
2020-05-23,35.29411
2020-05-24,25.13368
2020-05-25,38.77005
2020-05-26,34.75935
2020-05-27,32.62032
2020-05-28,30.2139
2020-05-29,29.41176
2020-05-30,20.32085
2020-05-31,20.58823
2020-06-01,29.67914
2020-06-02,39.57219
2020-06-03,35.82887
2020-06-04,29.67914
2020-06-05,27.5401
2020-06-06,18.71657
2020-06-07,20.85561
2020-06-08,31.28342
2020-06-09,37.16577
2020-06-10,41.9786
2020-06-11,29.67914
2020-06-12,29.41176
2020-06-13,26.47058
2020-06-14,12.03208
2020-06-15,30.74866
2020-06-16,35.29411
2020-06-17,27.00534
2020-06-18,41.9786
2020-06-19,34.49197
2020-06-20,26.47058
2020-06-21,20.05347
2020-06-22,30.2139
2020-06-23,29.67914
2020-06-24,32.8877
2020-06-25,35.02673
2020-06-26,35.56149
2020-06-27,27.00534
2020-06-28,18.71657
2020-06-29,37.70053
2020-06-30,43.3155
2020-07-01,47.59358
2020-07-02,45.18716
2020-07-03,44.91978
2020-07-04,24.33155
2020-07-05,25.93582
2020-07-06,40.10695
2020-07-07,39.03743
2020-07-08,39.83957
2020-07-09,41.71122
2020-07-10,45.9893
2020-07-11,34.22459
2020-07-12,28.07486
2020-07-13,44.11764
2020-07-14,55.61497
2020-07-15,49.73262
2020-07-16,51.87165
2020-07-17,45.45454
2020-07-18,35.29411
2020-07-19,28.34224
2020-07-20,34.49197
2020-07-21,41.9786
2020-07-22,50.80213
2020-07-23,47.86096
2020-07-24,42.51336
2020-07-25,26.47058
2020-07-26,18.98395
2020-07-27,29.94652
2020-07-28,37.43315
2020-07-29,35.82887
2020-07-30,32.35294
2020-07-31,29.67914
2020-08-01,25.40106
2020-08-02,18.18181
2020-08-03,30.2139
2020-08-04,29.94652
2020-08-05,40.64171
2020-08-06,38.23529
2020-08-07,46.52406
2020-08-08,32.35294
2020-08-09,16.31016
2020-08-10,40.37433
2020-08-11,61.7647
2020-08-12,49.73262
2020-08-13,39.83957
2020-08-14,45.72192
2020-08-15,31.5508
2020-08-16,26.47058
2020-08-17,45.72192
2020-08-18,45.18716
2020-08-19,39.57219
2020-08-20,33.15508
2020-08-21,30.2139
2020-08-22,28.07486
2020-08-23,17.11229
2020-08-24,28.07486
2020-08-25,33.42245
2020-08-26,38.23529
2020-08-27,29.41176
2020-08-28,32.8877
2020-08-29,24.06417
2020-08-30,16.84491
2020-08-31,27.80748
2020-09-01,31.5508
2020-09-02,40.10695
2020-09-03,48.12834
2020-09-04,44.11764
2020-09-05,37.70053
2020-09-06,19.25133
2020-09-07,36.63101
2020-09-08,44.6524
2020-09-09,51.60427
2020-09-10,48.6631
2020-09-11,52.67379
2020-09-12,29.94652
2020-09-13,27.80748
2020-09-14,33.15508
2020-09-15,39.57219
2020-09-16,44.91978
2020-09-17,50.53475
2020-09-18,43.58288
2020-09-19,23.26203
2020-09-20,25.13368
2020-09-21,44.6524
2020-09-22,46.25668
2020-09-23,44.6524
2020-09-24,41.44385
2020-09-25,30.2139
2020-09-26,26.47058
2020-09-27,20.85561
2020-09-28,26.73796
2020-09-29,24.86631
2020-09-30,25.13368
2020-10-01,19.78609
2020-10-02,21.39037
2020-10-03,15.7754
2020-10-04,16.31016
2020-10-05,22.19251
2020-10-06,26.2032
2020-10-07,21.65775
2020-10-08,24.59893
2020-10-09,18.98395
2020-10-10,14.4385
2020-10-11,14.17112
2020-10-12,19.78609
2020-10-13,24.86631
2020-10-14,22.45989
2020-10-15,17.91443
2020-10-16,28.07486
2020-10-17,12.83422
2020-10-18,14.17112
2020-10-19,28.60962
2020-10-20,31.5508
2020-10-21,23.52941
2020-10-22,26.2032
2020-10-23,20.32085
2020-10-24,14.17112
2020-10-25,13.36898
2020-10-26,22.19251
2020-10-27,24.86631
2020-10-28,28.34224
2020-10-29,35.02673
2020-10-30,24.86631
2020-10-31,20.05347
2020-11-01,10.16042
2020-11-02,23.52941
2020-11-03,27.00534
2020-11-04,20.58823
2020-11-05,26.47058
2020-11-06,22.72727
2020-11-07,19.78609
2020-11-08,13.63636
2020-11-09,24.06417
2020-11-10,24.59893
2020-11-11,26.73796
2020-11-12,27.80748
2020-11-13,28.07486
2020-11-14,14.97326
2020-11-15,11.7647
2020-11-16,20.05347
2020-11-17,23.52941
2020-11-18,22.45989
2020-11-19,30.2139
2020-11-20,28.877
2020-11-21,16.04278
2020-11-22,17.91443
2020-11-23,20.32085
2020-11-24,22.99465
2020-11-25,34.49197
2020-11-26,25.66844
2020-11-27,21.12299
2020-11-28,14.4385
2020-11-29,13.1016
2020-11-30,31.5508
2020-12-01,63.1016
2020-12-02,55.08021
2020-12-03,44.38502
2020-12-04,27.80748
2020-12-05,17.11229
2020-12-06,16.84491
2020-12-07,22.45989
2020-12-08,29.67914
2020-12-09,23.26203
2020-12-10,34.75935
2020-12-11,26.73796
2020-12-12,20.32085
2020-12-13,19.78609
2020-12-14,23.79679
2020-12-15,31.81818
2020-12-16,27.27272
2020-12-17,36.89839
2020-12-18,32.08556
2020-12-19,21.65775
2020-12-20,18.71657
2020-12-21,39.83957
2020-12-22,39.30481
2020-12-23,31.01604
2020-12-24,29.41176
2020-12-25,28.34224
2020-12-26,23.26203
2020-12-27,20.05347
2020-12-28,34.49197
2020-12-29,34.49197
2020-12-30,28.877
2020-12-31,29.41176
2021-01-01,31.01604
2021-01-02,19.25133
2021-01-03,18.44919
2021-01-04,31.5508
2021-01-05,38.23529
2021-01-06,42.51336
2021-01-07,33.95721
2021-01-08,36.09625
2021-01-09,27.27272
2021-01-10,14.97326
2021-01-11,26.73796
2021-01-12,32.8877
2021-01-13,35.82887
2021-01-14,31.01604
2021-01-15,33.15508
2021-01-16,25.40106
2021-01-17,16.31016
2021-01-18,29.67914
2021-01-19,26.73796
2021-01-20,32.62032
2021-01-21,32.08556
2021-01-22,26.47058
2021-01-23,28.60962
2021-01-24,17.11229
2021-01-25,30.2139
2021-01-26,32.35294
2021-01-27,29.14438
2021-01-28,36.36363
2021-01-29,27.00534
2021-01-30,21.39037
2021-01-31,20.85561
2021-02-01,34.75935
2021-02-02,39.03743
2021-02-03,37.96791
2021-02-04,30.48128
2021-02-05,27.5401
2021-02-06,20.58823
2021-02-07,23.26203
2021-02-08,27.80748
2021-02-09,29.14438
2021-02-10,21.65775
2021-02-11,21.39037
2021-02-12,18.18181
2021-02-13,18.44919
2021-02-14,16.31016
2021-02-15,24.33155
2021-02-16,30.48128
2021-02-17,32.8877
2021-02-18,24.59893
2021-02-19,29.41176
2021-02-20,27.00534
2021-02-21,17.11229
2021-02-22,25.40106
2021-02-23,29.41176
2021-02-24,35.02673
2021-02-25,30.74866
2021-02-26,27.5401
2021-02-27,22.72727
2021-02-28,21.39037
2021-03-01,21.39037
2021-03-02,27.5401
2021-03-03,35.29411
2021-03-04,40.37433
2021-03-05,36.89839
2021-03-06,19.51871
2021-03-07,15.7754
2021-03-08,32.35294
2021-03-09,36.89839
2021-03-10,41.71122
2021-03-11,34.22459
2021-03-12,28.877
2021-03-13,16.04278
2021-03-14,13.1016
2021-03-15,28.34224
2021-03-16,33.15508
2021-03-17,30.2139
2021-03-18,34.49197
2021-03-19,22.99465
2021-03-20,17.91443
2021-03-21,18.18181
2021-03-22,25.40106
2021-03-23,26.73796
2021-03-24,29.41176
2021-03-25,33.15508
2021-03-26,25.40106
2021-03-27,21.65775
2021-03-28,17.64705
2021-03-29,26.47058
2021-03-30,32.62032
2021-03-31,30.48128
2021-04-01,27.27272
