date,개인연금소득공제
2020-03-20,14.68218
2020-03-21,9.1316
2020-03-22,8.59444
2020-03-23,12.98119
2020-03-24,15.48791
2020-03-25,16.47269
2020-03-26,16.11459
2020-03-27,15.12981
2020-03-28,8.23634
2020-03-29,9.04207
2020-03-30,15.75649
2020-03-31,16.02506
2020-04-01,16.47269
2020-04-02,11.54879
2020-04-03,12.17547
2020-04-04,8.14682
2020-04-05,9.8478
2020-04-06,11.10116
2020-04-07,10.92211
2020-04-08,11.01163
2020-04-09,11.99641
2020-04-10,9.8478
2020-04-11,7.60966
2020-04-12,9.40017
2020-04-13,14.14503
2020-04-14,16.47269
2020-04-15,9.4897
2020-04-16,12.89167
2020-04-17,12.35452
2020-04-18,8.7735
2020-04-19,8.86302
2020-04-20,11.28021
2020-04-21,17.09937
2020-04-22,18.71083
2020-04-23,18.44225
2020-04-24,14.14503
2020-04-25,8.32587
2020-04-26,8.59444
2020-04-27,15.04028
2020-04-28,15.21933
2020-04-29,13.3393
2020-04-30,6.89346
2020-05-01,8.95255
2020-05-02,7.96777
2020-05-03,10.2059
2020-05-04,17.18889
2020-05-05,9.93733
2020-05-06,17.99462
2020-05-07,16.20411
2020-05-08,16.65174
2020-05-09,10.56401
2020-05-10,10.11638
2020-05-11,16.92032
2020-05-12,18.9794
2020-05-13,19.87466
2020-05-14,18.44225
2020-05-15,16.92032
2020-05-16,11.28021
2020-05-17,13.6974
2020-05-18,20.41181
2020-05-19,22.64995
2020-05-20,16.83079
2020-05-21,22.02327
2020-05-22,16.65174
2020-05-23,10.74306
2020-05-24,10.83258
2020-05-25,27.7529
2020-05-26,20.32229
2020-05-27,19.06893
2020-05-28,18.2632
2020-05-29,17.81557
2020-05-30,8.68397
2020-05-31,7.16204
2020-06-01,15.12981
2020-06-02,15.21933
2020-06-03,14.32408
2020-06-04,14.86123
2020-06-05,24.70904
2020-06-06,12.17547
2020-06-07,7.69919
2020-06-08,13.78692
2020-06-09,11.99641
2020-06-10,16.20411
2020-06-11,14.0555
2020-06-12,10.11638
2020-06-13,5.10295
2020-06-14,4.74485
2020-06-15,9.57923
2020-06-16,10.47448
2020-06-17,8.50492
2020-06-18,24.61951
2020-06-19,18.6213
2020-06-20,8.23634
2020-06-21,7.43061
2020-06-22,13.42882
2020-06-23,12.80214
2020-06-24,10.2059
2020-06-25,11.99641
2020-06-26,8.7735
2020-06-27,6.44583
2020-06-28,5.19247
2020-06-29,10.11638
2020-06-30,10.65353
2020-07-01,14.14503
2020-07-02,12.44404
2020-07-03,8.41539
2020-07-04,5.6401
2020-07-05,4.9239
2020-07-06,11.63831
2020-07-07,10.83258
2020-07-08,10.92211
2020-07-09,12.26499
2020-07-10,10.11638
2020-07-11,5.10295
2020-07-12,6.44583
2020-07-13,8.86302
2020-07-14,13.78692
2020-07-15,11.19068
2020-07-16,10.65353
2020-07-17,10.29543
2020-07-18,10.02685
2020-07-19,7.96777
2020-07-20,12.35452
2020-07-21,12.89167
2020-07-22,17.81557
2020-07-23,12.80214
2020-07-24,11.54879
2020-07-25,8.7735
2020-07-26,8.41539
2020-07-27,13.96598
2020-07-28,13.60787
2020-07-29,9.8478
2020-07-30,11.10116
2020-07-31,12.62309
2020-08-01,6.89346
2020-08-02,5.37153
2020-08-03,8.41539
2020-08-04,12.44404
2020-08-05,11.01163
2020-08-06,8.32587
2020-08-07,11.63831
2020-08-08,8.95255
2020-08-09,6.89346
2020-08-10,13.24977
2020-08-11,15.48791
2020-08-12,8.05729
2020-08-13,10.65353
2020-08-14,6.98299
2020-08-15,6.44583
2020-08-16,4.38675
2020-08-17,5.46105
2020-08-18,7.07251
2020-08-19,9.8478
2020-08-20,9.1316
2020-08-21,10.38495
2020-08-22,5.01342
2020-08-23,4.9239
2020-08-24,8.32587
2020-08-25,13.87645
2020-08-26,11.45926
2020-08-27,10.92211
2020-08-28,8.41539
2020-08-29,5.6401
2020-08-30,6.35631
2020-08-31,11.10116
2020-09-01,12.26499
2020-09-02,14.50313
2020-09-03,13.60787
2020-09-04,11.19068
2020-09-05,5.19247
2020-09-06,6.08773
2020-09-07,11.45926
2020-09-08,9.93733
2020-09-09,8.95255
2020-09-10,8.41539
2020-09-11,8.23634
2020-09-12,6.08773
2020-09-13,7.16204
2020-09-14,9.1316
2020-09-15,7.87824
2020-09-16,11.01163
2020-09-17,10.11638
2020-09-18,8.95255
2020-09-19,5.81915
2020-09-20,6.62488
2020-09-21,11.72784
2020-09-22,9.22112
2020-09-23,12.53357
2020-09-24,10.83258
2020-09-25,11.45926
2020-09-26,6.17726
2020-09-27,8.68397
2020-09-28,12.62309
2020-09-29,12.53357
2020-09-30,4.38675
2020-10-01,5.90868
2020-10-02,5.72963
2020-10-03,8.59444
2020-10-04,6.53536
2020-10-05,12.98119
2020-10-06,14.86123
2020-10-07,13.60787
2020-10-08,11.45926
2020-10-09,8.23634
2020-10-10,11.45926
2020-10-11,8.05729
2020-10-12,17.9051
2020-10-13,13.60787
2020-10-14,15.12981
2020-10-15,15.12981
2020-10-16,10.2059
2020-10-17,7.96777
2020-10-18,7.25156
2020-10-19,13.24977
2020-10-20,15.75649
2020-10-21,16.47269
2020-10-22,18.71083
2020-10-23,16.92032
2020-10-24,9.4897
2020-10-25,7.69919
2020-10-26,17.45747
2020-10-27,14.68218
2020-10-28,10.47448
2020-10-29,12.71262
2020-10-30,15.93554
2020-10-31,8.41539
2020-11-01,11.19068
2020-11-02,14.68218
2020-11-03,16.92032
2020-11-04,12.89167
2020-11-05,14.50313
2020-11-06,14.7717
2020-11-07,5.9982
2020-11-08,9.75828
2020-11-09,18.88988
2020-11-10,17.45747
2020-11-11,14.7717
2020-11-12,17.18889
2020-11-13,21.39659
2020-11-14,9.04207
2020-11-15,8.50492
2020-11-16,20.85944
2020-11-17,17.18889
2020-11-18,17.45747
2020-11-19,17.00984
2020-11-20,15.21933
2020-11-21,8.05729
2020-11-22,8.68397
2020-11-23,19.51656
2020-11-24,17.547
2020-11-25,23.54521
2020-11-26,22.91853
2020-11-27,38.40644
2020-11-28,13.96598
2020-11-29,15.93554
2020-11-30,28.11101
2020-12-01,28.73769
2020-12-02,32.31871
2020-12-03,26.3205
2020-12-04,27.84243
2020-12-05,15.21933
2020-12-06,22.38137
2020-12-07,35.18352
2020-12-08,34.64637
2020-12-09,48.7914
2020-12-10,44.5837
2020-12-11,34.64637
2020-12-12,15.57743
2020-12-13,15.30886
2020-12-14,29.00626
2020-12-15,33.84064
2020-12-16,28.73769
2020-12-17,28.91674
2020-12-18,25.15666
2020-12-19,16.02506
2020-12-20,15.12981
2020-12-21,48.52282
2020-12-22,47.26947
2020-12-23,50.76096
2020-12-24,60.51924
2020-12-25,68.75559
