date,병원예약어플
2020-11-07,11.88271
2020-11-08,8.17901
2020-11-09,19.44444
2020-11-10,12.5
2020-11-11,12.5
2020-11-12,13.58024
2020-11-13,10.3395
2020-11-14,11.72839
2020-11-15,8.33333
2020-11-16,15.27777
2020-11-17,12.19135
2020-11-18,10.3395
2020-11-19,10.80246
2020-11-20,9.5679
2020-11-21,8.79629
2020-11-22,6.94444
2020-11-23,12.80864
2020-11-24,9.10493
2020-11-25,8.33333
2020-11-26,6.6358
2020-11-27,11.41975
2020-11-28,6.6358
2020-11-29,5.86419
2020-11-30,12.65432
2020-12-01,10.3395
2020-12-02,8.17901
2020-12-03,7.71604
2020-12-04,9.72222
2020-12-05,9.25925
2020-12-06,4.93827
2020-12-07,10.18518
2020-12-08,9.10493
2020-12-09,6.48148
2020-12-10,9.72222
2020-12-11,9.25925
2020-12-12,5.70987
2020-12-13,5.24691
2020-12-14,6.94444
2020-12-15,7.71604
2020-12-16,5.86419
2020-12-17,8.17901
2020-12-18,8.64197
2020-12-19,5.70987
2020-12-20,4.78395
2020-12-21,8.02469
2020-12-22,6.32716
2020-12-23,4.62962
2020-12-24,4.78395
2020-12-25,4.16666
2020-12-26,5.55555
2020-12-27,6.32716
2020-12-28,9.87654
2020-12-29,9.10493
2020-12-30,8.33333
2020-12-31,8.02469
2021-01-01,4.4753
2021-01-02,7.4074
2021-01-03,6.32716
2021-01-04,9.25925
2021-01-05,11.41975
2021-01-06,9.10493
2021-01-07,8.48765
2021-01-08,9.87654
2021-01-09,7.87037
2021-01-10,6.01851
2021-01-11,11.26543
2021-01-12,8.95061
2021-01-13,7.09876
2021-01-14,7.4074
2021-01-15,9.41358
2021-01-16,7.09876
2021-01-17,4.4753
2021-01-18,10.80246
2021-01-19,9.10493
2021-01-20,8.64197
2021-01-21,9.72222
2021-01-22,11.41975
2021-01-23,7.09876
2021-01-24,6.6358
2021-01-25,11.11111
2021-01-26,9.41358
2021-01-27,6.48148
2021-01-28,9.5679
2021-01-29,8.17901
2021-01-30,2.93209
2021-01-31,2.00617
2021-02-01,5.86419
2021-02-02,6.6358
2021-02-03,3.24074
2021-02-04,3.7037
2021-02-05,5.09259
2021-02-06,5.24691
2021-02-07,4.62962
2021-02-08,11.11111
2021-02-09,9.72222
2021-02-10,5.70987
2021-02-11,6.79012
2021-02-12,6.79012
2021-02-13,8.48765
2021-02-14,10.18518
2021-02-15,18.36419
2021-02-16,10.49382
2021-02-17,8.33333
2021-02-18,10.80246
2021-02-19,10.49382
2021-02-20,7.71604
2021-02-21,3.7037
2021-02-22,12.34567
2021-02-23,8.95061
2021-02-24,10.3395
2021-02-25,11.72839
2021-02-26,8.33333
2021-02-27,10.18518
2021-02-28,5.70987
2021-03-01,6.6358
2021-03-02,14.50617
2021-03-03,9.10493
2021-03-04,10.95679
2021-03-05,9.72222
2021-03-06,9.72222
2021-03-07,5.70987
2021-03-08,12.34567
2021-03-09,3.08641
2021-03-10,4.93827
2021-03-11,6.32716
2021-03-12,6.17283
2021-03-13,6.17283
2021-03-14,6.48148
2021-03-15,13.11728
2021-03-16,12.19135
2021-03-17,9.10493
2021-03-18,14.0432
2021-03-19,13.88888
2021-03-20,12.19135
2021-03-21,9.5679
2021-03-22,16.2037
2021-03-23,15.12345
2021-03-24,13.2716
2021-03-25,16.2037
2021-03-26,12.34567
2021-03-27,14.0432
2021-03-28,10.03086
2021-03-29,16.51234
2021-03-30,12.34567
2021-03-31,10.95679
2021-04-01,14.96913
2021-04-02,11.57407
2021-04-03,10.95679
2021-04-04,8.02469
2021-04-05,15.27777
2021-04-06,10.64814
2021-04-07,13.73456
2021-04-08,14.0432
2021-04-09,14.50617
2021-04-10,9.87654
2021-04-11,10.64814
2021-04-12,16.66666
2021-04-13,13.73456
2021-04-14,14.19753
2021-04-15,12.34567
2021-04-16,13.73456
2021-04-17,12.5
2021-04-18,8.02469
2021-04-19,16.9753
2021-04-20,10.64814
2021-04-21,11.41975
2021-04-22,15.58641
2021-04-23,13.73456
2021-04-24,15.27777
2021-04-25,7.87037
2021-04-26,18.36419
2021-04-27,10.49382
2021-04-28,10.3395
2021-04-29,12.19135
2021-04-30,12.34567
2021-05-01,12.19135
2021-05-02,8.79629
2021-05-03,18.20987
2021-05-04,8.79629
2021-05-05,8.33333
2021-05-06,13.88888
2021-05-07,12.65432
2021-05-08,11.11111
2021-05-09,7.56172
2021-05-10,12.65432
2021-05-11,12.5
2021-05-12,11.88271
2021-05-13,11.26543
2021-05-14,11.26543
2021-05-15,13.11728
2021-05-16,6.48148
2021-05-17,14.50617
2021-05-18,11.11111
2021-05-19,6.94444
2021-05-20,13.11728
2021-05-21,14.19753
2021-05-22,9.5679
2021-05-23,7.25308
2021-05-24,16.66666
2021-05-25,10.64814
2021-05-26,10.80246
2021-05-27,9.5679
2021-05-28,12.65432
2021-05-29,11.11111
2021-05-30,7.4074
2021-05-31,20.21604
2021-06-01,15.74074
2021-06-02,12.65432
2021-06-03,12.34567
2021-06-04,11.88271
2021-06-05,12.5
2021-06-06,7.25308
2021-06-07,17.59259
2021-06-08,12.80864
2021-06-09,12.80864
2021-06-10,8.48765
2021-06-11,18.20987
2021-06-12,9.87654
2021-06-13,6.32716
2021-06-14,17.90123
2021-06-15,14.50617
2021-06-16,14.81481
2021-06-17,12.34567
2021-06-18,10.3395
2021-06-19,9.72222
2021-06-20,7.87037
2021-06-21,18.98148
2021-06-22,11.57407
2021-06-23,10.64814
2021-06-24,11.57407
2021-06-25,10.95679
2021-06-26,8.95061
2021-06-27,6.01851
2021-06-28,14.19753
2021-06-29,10.03086
2021-06-30,12.34567
2021-07-01,10.80246
2021-07-02,10.3395
2021-07-03,10.49382
2021-07-04,6.6358
2021-07-05,17.12962
2021-07-06,12.96296
2021-07-07,11.26543
2021-07-08,11.88271
2021-07-09,10.03086
2021-07-10,8.64197
2021-07-11,3.85802
2021-07-12,14.96913
2021-07-13,10.3395
2021-07-14,11.11111
2021-07-15,11.41975
2021-07-16,11.88271
2021-07-17,10.03086
2021-07-18,8.02469
2021-07-19,13.2716
2021-07-20,11.41975
2021-07-21,10.49382
2021-07-22,9.72222
2021-07-23,8.64197
2021-07-24,8.17901
2021-07-25,4.93827
2021-07-26,13.88888
2021-07-27,9.5679
2021-07-28,10.64814
2021-07-29,9.25925
2021-07-30,8.79629
2021-07-31,7.87037
2021-08-01,5.86419
2021-08-02,14.66049
2021-08-03,4.93827
2021-08-04,9.87654
2021-08-05,10.3395
2021-08-06,10.64814
2021-08-07,7.09876
2021-08-08,6.94444
2021-08-09,13.58024
2021-08-10,10.18518
2021-08-11,10.64814
2021-08-12,12.03703
2021-08-13,12.19135
2021-08-14,8.79629
2021-08-15,6.48148
2021-08-16,10.80246
2021-08-17,14.50617
2021-08-18,12.03703
2021-08-19,10.80246
2021-08-20,10.95679
2021-08-21,4.93827
2021-08-22,2.93209
2021-08-23,7.71604
2021-08-24,5.09259
2021-08-25,4.93827
2021-08-26,10.03086
2021-08-27,6.48148
2021-08-28,8.64197
2021-08-29,5.24691
2021-08-30,15.74074
2021-08-31,4.32098
2021-09-01,3.85802
2021-09-02,8.02469
2021-09-03,5.40123
2021-09-04,4.16666
2021-09-05,2.93209
2021-09-06,14.66049
2021-09-07,12.80864
2021-09-08,6.01851
2021-09-09,7.25308
2021-09-10,6.32716
2021-09-11,9.10493
2021-09-12,9.25925
2021-09-13,14.96913
2021-09-14,15.89506
2021-09-15,19.75308
2021-09-16,15.74074
2021-09-17,16.9753
2021-09-18,14.81481
2021-09-19,11.41975
2021-09-20,8.64197
2021-09-21,8.33333
2021-09-22,23.30246
2021-09-23,31.01851
2021-09-24,24.38271
2021-09-25,16.66666
2021-09-26,10.64814
2021-09-27,20.37037
2021-09-28,16.04938
2021-09-29,14.35185
2021-09-30,17.12962
2021-10-01,17.12962
2021-10-02,13.2716
2021-10-03,12.80864
2021-10-04,15.43209
2021-10-05,20.37037
2021-10-06,18.20987
2021-10-07,15.12345
2021-10-08,14.19753
2021-10-09,15.43209
2021-10-10,10.64814
2021-10-11,24.38271
2021-10-12,23.14814
2021-10-13,22.0679
2021-10-14,27.16049
2021-10-15,30.70987
2021-10-16,31.48148
2021-10-17,13.88888
2021-10-18,36.57407
2021-10-19,29.93827
2021-10-20,27.93209
2021-10-21,24.69135
2021-10-22,29.78395
2021-10-23,29.93827
2021-10-24,19.1358
2021-10-25,36.88271
2021-10-26,23.30246
2021-10-27,24.69135
2021-10-28,26.08024
2021-10-29,27.62345
2021-10-30,29.93827
2021-10-31,19.9074
2021-11-01,32.4074
2021-11-02,22.99382
2021-11-03,21.29629
2021-11-04,24.07407
2021-11-05,29.32098
2021-11-06,25.30864
2021-11-07,17.90123
2021-11-08,38.2716
2021-11-09,27.62345
2021-11-10,21.29629
2021-11-11,20.67901
2021-11-12,23.76543
2021-11-13,22.53086
2021-11-14,15.12345
2021-11-15,29.01234
2021-11-16,21.75925
2021-11-17,19.9074
2021-11-18,20.37037
2021-11-19,20.21604
2021-11-20,17.90123
2021-11-21,10.3395
2021-11-22,21.75925
2021-11-23,17.28395
2021-11-24,14.81481
2021-11-25,14.66049
2021-11-26,17.59259
2021-11-27,14.96913
2021-11-28,8.02469
2021-11-29,19.75308
2021-11-30,12.65432
2021-12-01,14.35185
2021-12-02,11.57407
2021-12-03,17.12962
2021-12-04,14.50617
2021-12-05,8.95061
2021-12-06,20.37037
2021-12-07,14.0432
2021-12-08,13.2716
2021-12-09,14.0432
2021-12-10,15.58641
2021-12-11,15.89506
2021-12-12,8.33333
2021-12-13,20.37037
2021-12-14,14.19753
2021-12-15,18.05555
2021-12-16,14.0432
2021-12-17,18.36419
2021-12-18,10.80246
2021-12-19,7.71604
2021-12-20,20.52469
2021-12-21,15.12345
2021-12-22,13.11728
2021-12-23,12.65432
2021-12-24,13.42592
2021-12-25,12.03703
2021-12-26,9.87654
2021-12-27,23.61111
2021-12-28,14.81481
2021-12-29,13.42592
2021-12-30,11.26543
2021-12-31,12.5
2022-01-01,9.72222
2022-01-02,12.34567
2022-01-03,22.0679
2022-01-04,16.9753
2022-01-05,14.0432
2022-01-06,16.9753
2022-01-07,17.28395
2022-01-08,13.42592
2022-01-09,10.3395
2022-01-10,17.74691
2022-01-11,14.19753
2022-01-12,11.72839
2022-01-13,14.66049
2022-01-14,16.82098
2022-01-15,13.73456
2022-01-16,9.72222
2022-01-17,16.66666
2022-01-18,12.5
2022-01-19,15.43209
2022-01-20,13.58024
2022-01-21,12.96296
2022-01-22,12.80864
2022-01-23,11.41975
2022-01-24,18.67283
2022-01-25,11.26543
2022-01-26,15.27777
2022-01-27,16.04938
2022-01-28,16.82098
2022-01-29,11.11111
2022-01-30,9.72222
2022-01-31,9.5679
2022-02-01,12.19135
2022-02-02,22.37654
2022-02-03,39.0432
2022-02-04,18.67283
2022-02-05,17.28395
2022-02-06,10.3395
2022-02-07,19.75308
2022-02-08,13.42592
2022-02-09,14.66049
2022-02-10,12.80864
2022-02-11,16.51234
2022-02-12,12.96296
2022-02-13,10.80246
2022-02-14,17.59259
2022-02-15,11.11111
2022-02-16,18.36419
2022-02-17,15.27777
2022-02-18,15.43209
2022-02-19,13.11728
2022-02-20,10.49382
2022-02-21,22.99382
2022-02-22,17.74691
2022-02-23,16.66666
2022-02-24,16.66666
2022-02-25,17.12962
2022-02-26,14.0432
2022-02-27,9.87654
2022-02-28,18.98148
2022-03-01,12.5
2022-03-02,19.1358
2022-03-03,14.0432
2022-03-04,19.29012
2022-03-05,14.81481
2022-03-06,10.3395
2022-03-07,19.59876
2022-03-08,17.74691
2022-03-09,11.41975
2022-03-10,19.29012
2022-03-11,18.36419
2022-03-12,14.66049
2022-03-13,18.36419
2022-03-14,52.16049
2022-03-15,35.80246
2022-03-16,28.24074
2022-03-17,29.01234
2022-03-18,20.98765
2022-03-19,23.45679
2022-03-20,19.75308
2022-03-21,38.88888
2022-03-22,23.14814
2022-03-23,21.91358
2022-03-24,18.67283
2022-03-25,21.45061
2022-03-26,16.66666
2022-03-27,14.96913
2022-03-28,26.5432
2022-03-29,18.98148
2022-03-30,18.36419
2022-03-31,17.28395
2022-04-01,18.82716
2022-04-02,14.35185
2022-04-03,10.80246
2022-04-04,22.0679
2022-04-05,16.04938
2022-04-06,14.96913
2022-04-07,16.66666
2022-04-08,14.81481
2022-04-09,10.95679
2022-04-10,11.11111
2022-04-11,18.67283
2022-04-12,13.88888
2022-04-13,14.81481
2022-04-14,15.89506
2022-04-15,12.34567
2022-04-16,10.80246
2022-04-17,6.94444
2022-04-18,20.67901
2022-04-19,17.59259
2022-04-20,14.0432
2022-04-21,17.74691
2022-04-22,15.74074
2022-04-23,14.66049
2022-04-24,10.3395
2022-04-25,19.59876
2022-04-26,11.72839
2022-04-27,15.74074
2022-04-28,17.28395
2022-04-29,16.35802
2022-04-30,14.35185
2022-05-01,8.02469
2022-05-02,16.66666
2022-05-03,12.80864
2022-05-04,11.26543
2022-05-05,10.64814
2022-05-06,15.43209
2022-05-07,11.72839
2022-05-08,8.02469
2022-05-09,20.21604
2022-05-10,13.88888
2022-05-11,13.88888
2022-05-12,14.0432
2022-05-13,10.49382
2022-05-14,12.65432
2022-05-15,8.79629
2022-05-16,19.9074
2022-05-17,15.12345
2022-05-18,12.19135
2022-05-19,11.41975
2022-05-20,18.51851
2022-05-21,11.88271
2022-05-22,7.4074
2022-05-23,17.74691
2022-05-24,11.41975
2022-05-25,13.73456
2022-05-26,12.80864
2022-05-27,9.41358
2022-05-28,10.95679
2022-05-29,7.56172
2022-05-30,16.82098
2022-05-31,12.65432
2022-06-01,11.11111
2022-06-02,13.58024
2022-06-03,11.72839
2022-06-04,9.87654
2022-06-05,5.70987
2022-06-06,11.57407
2022-06-07,14.50617
2022-06-08,16.35802
2022-06-09,11.57407
2022-06-10,10.49382
2022-06-11,10.03086
2022-06-12,8.79629
2022-06-13,16.35802
2022-06-14,14.81481
2022-06-15,12.19135
2022-06-16,12.03703
2022-06-17,10.95679
2022-06-18,10.3395
2022-06-19,6.79012
2022-06-20,18.51851
2022-06-21,11.41975
2022-06-22,15.89506
2022-06-23,11.72839
2022-06-24,14.0432
2022-06-25,12.65432
2022-06-26,9.10493
2022-06-27,14.96913
2022-06-28,14.66049
2022-06-29,13.2716
2022-06-30,16.35802
2022-07-01,13.11728
2022-07-02,11.26543
2022-07-03,8.95061
2022-07-04,18.05555
2022-07-05,15.58641
2022-07-06,12.34567
2022-07-07,11.72839
2022-07-08,11.41975
2022-07-09,12.80864
2022-07-10,10.03086
2022-07-11,18.82716
2022-07-12,14.66049
2022-07-13,13.11728
2022-07-14,12.5
2022-07-15,15.27777
2022-07-16,13.11728
2022-07-17,10.3395
2022-07-18,22.37654
2022-07-19,14.50617
2022-07-20,14.19753
2022-07-21,13.58024
2022-07-22,14.66049
2022-07-23,10.49382
2022-07-24,10.3395
2022-07-25,23.76543
2022-07-26,19.1358
2022-07-27,14.50617
2022-07-28,13.11728
2022-07-29,13.58024
2022-07-30,15.27777
2022-07-31,11.57407
2022-08-01,19.9074
2022-08-02,9.87654
2022-08-03,13.73456
2022-08-04,15.43209
2022-08-05,12.19135
2022-08-06,11.57407
2022-08-07,9.10493
2022-08-08,19.44444
2022-08-09,14.81481
2022-08-10,16.2037
2022-08-11,16.35802
2022-08-12,15.12345
2022-08-13,12.34567
2022-08-14,8.17901
2022-08-15,17.12962
2022-08-16,24.53703
2022-08-17,18.98148
2022-08-18,16.2037
2022-08-19,16.82098
2022-08-20,15.74074
2022-08-21,11.57407
2022-08-22,20.83333
2022-08-23,11.57407
2022-08-24,17.43827
2022-08-25,14.96913
2022-08-26,17.12962
2022-08-27,13.73456
2022-08-28,10.18518
2022-08-29,20.37037
2022-08-30,15.74074
2022-08-31,13.11728
2022-09-01,12.80864
2022-09-02,14.96913
2022-09-03,16.9753
2022-09-04,10.18518
2022-09-05,14.66049
2022-09-06,14.50617
2022-09-07,17.43827
2022-09-08,19.29012
2022-09-09,9.41358
2022-09-10,7.71604
2022-09-11,17.74691
2022-09-12,27.77777
2022-09-13,30.24691
2022-09-14,20.37037
2022-09-15,16.66666
2022-09-16,18.05555
2022-09-17,15.74074
2022-09-18,11.26543
2022-09-19,24.07407
2022-09-20,20.37037
2022-09-21,17.12962
2022-09-22,18.51851
2022-09-23,15.89506
2022-09-24,16.51234
2022-09-25,9.41358
2022-09-26,25.0
2022-09-27,19.1358
