date,정부지원사업
2020-03-20,25.98039
2020-03-21,11.11111
2020-03-22,14.05228
2020-03-23,22.05882
2020-03-24,25.81699
2020-03-25,27.77777
2020-03-26,23.52941
2020-03-27,24.183
2020-03-28,13.39869
2020-03-29,10.94771
2020-03-30,23.8562
2020-03-31,22.22222
2020-04-01,24.6732
2020-04-02,19.44444
2020-04-03,16.66666
2020-04-04,8.66013
2020-04-05,10.45751
2020-04-06,22.54901
2020-04-07,21.73202
2020-04-08,22.05882
2020-04-09,23.69281
2020-04-10,19.28104
2020-04-11,13.72549
2020-04-12,15.19607
2020-04-13,25.32679
2020-04-14,26.63398
2020-04-15,11.4379
2020-04-16,21.73202
2020-04-17,23.8562
2020-04-18,9.31372
2020-04-19,13.07189
2020-04-20,27.61437
2020-04-21,26.63398
2020-04-22,28.10457
2020-04-23,30.39215
2020-04-24,24.6732
2020-04-25,11.2745
2020-04-26,15.84967
2020-04-27,26.47058
2020-04-28,20.42483
2020-04-29,20.75163
2020-04-30,11.9281
2020-05-01,12.4183
2020-05-02,9.47712
2020-05-03,11.4379
2020-05-04,18.62745
2020-05-05,14.21568
2020-05-06,16.83006
2020-05-07,24.5098
2020-05-08,23.03921
2020-05-09,9.80392
2020-05-10,11.6013
2020-05-11,37.4183
2020-05-12,42.15686
2020-05-13,42.81045
2020-05-14,31.53594
2020-05-15,32.51633
2020-05-16,11.9281
2020-05-17,12.90849
2020-05-18,24.0196
2020-05-19,29.57516
2020-05-20,29.08496
2020-05-21,23.52941
2020-05-22,26.47058
2020-05-23,14.21568
2020-05-24,14.37908
2020-05-25,24.8366
2020-05-26,27.12418
2020-05-27,25.16339
2020-05-28,21.89542
2020-05-29,21.24183
2020-05-30,6.86274
2020-05-31,11.11111
2020-06-01,27.45098
2020-06-02,23.69281
2020-06-03,29.57516
2020-06-04,30.39215
2020-06-05,20.26143
2020-06-06,10.62091
2020-06-07,9.96732
2020-06-08,27.94117
2020-06-09,25.0
2020-06-10,21.56862
2020-06-11,27.28758
2020-06-12,23.36601
2020-06-13,10.94771
2020-06-14,11.7647
2020-06-15,23.8562
2020-06-16,27.94117
2020-06-17,25.32679
2020-06-18,25.81699
2020-06-19,21.40522
2020-06-20,9.64052
2020-06-21,12.4183
2020-06-22,27.94117
2020-06-23,24.5098
2020-06-24,25.49019
2020-06-25,26.30718
2020-06-26,22.87581
2020-06-27,8.33333
2020-06-28,15.19607
2020-06-29,27.45098
2020-06-30,23.36601
2020-07-01,27.28758
2020-07-02,27.61437
2020-07-03,19.60784
2020-07-04,11.2745
2020-07-05,9.96732
2020-07-06,26.79738
2020-07-07,24.6732
2020-07-08,23.52941
2020-07-09,22.71241
2020-07-10,18.62745
