date,주식종목
2020-11-08,11.02514
2020-11-09,25.91876
2020-11-10,27.65957
2020-11-11,32.59187
2020-11-12,29.88394
2020-11-13,26.78916
2020-11-14,15.86073
2020-11-15,14.99032
2020-11-16,30.56092
2020-11-17,32.30174
2020-11-18,30.17408
2020-11-19,31.72147
2020-11-20,24.6615
2020-11-21,15.28046
2020-11-22,15.28046
2020-11-23,35.68665
2020-11-24,34.52611
2020-11-25,41.0058
2020-11-26,39.16827
2020-11-27,34.52611
2020-11-28,22.82398
2020-11-29,24.08123
2020-11-30,32.97872
2020-12-01,38.78143
2020-12-02,35.97678
2020-12-03,43.23017
2020-12-04,43.5203
2020-12-05,22.24371
2020-12-06,26.88588
2020-12-07,40.42553
2020-12-08,40.2321
2020-12-09,41.39264
2020-12-10,41.77949
2020-12-11,41.29593
2020-12-12,25.62862
2020-12-13,23.59767
2020-12-14,40.61895
2020-12-15,35.68665
2020-12-16,39.65183
2020-12-17,34.91295
2020-12-18,38.20116
2020-12-19,24.6615
2020-12-20,23.30754
2020-12-21,36.65377
2020-12-22,37.91102
2020-12-23,39.16827
2020-12-24,34.23597
2020-12-25,20.11605
2020-12-26,19.82591
2020-12-27,26.11218
2020-12-28,40.32882
2020-12-29,46.90522
2020-12-30,48.16247
2020-12-31,33.6557
2021-01-01,26.78916
2021-01-02,26.49903
2021-01-03,31.52804
2021-01-04,63.63636
2021-01-05,73.98452
2021-01-06,84.04255
2021-01-07,74.08123
2021-01-08,100.0
2021-01-09,57.93036
2021-01-10,52.32108
2021-01-11,96.90522
2021-01-12,80.07736
2021-01-13,75.62862
2021-01-14,76.20889
2021-01-15,65.66731
2021-01-16,35.97678
2021-01-17,38.97485
2021-01-18,51.45067
2021-01-19,59.96131
2021-01-20,63.63636
2021-01-21,69.82591
2021-01-22,62.08897
2021-01-23,41.48936
2021-01-24,33.84912
2021-01-25,67.79497
2021-01-26,68.76208
2021-01-27,57.73694
2021-01-28,51.45067
2021-01-29,41.0058
2021-01-30,26.3056
2021-01-31,23.11411
2021-02-01,42.6499
2021-02-02,47.87234
2021-02-03,53.38491
2021-02-04,46.51837
2021-02-05,41.48936
2021-02-06,29.88394
2021-02-07,31.81818
2021-02-08,48.16247
2021-02-09,45.45454
2021-02-10,41.39264
2021-02-11,29.30367
2021-02-12,26.78916
2021-02-13,29.01353
2021-02-14,35.68665
2021-02-15,60.83172
2021-02-16,60.34816
2021-02-17,61.70212
2021-02-18,57.64023
2021-02-19,42.6499
2021-02-20,31.33462
2021-02-21,37.62088
2021-02-22,52.12765
2021-02-23,60.25145
2021-02-24,50.09671
2021-02-25,49.32301
2021-02-26,45.06769
2021-02-27,24.08123
2021-02-28,53.2882
2021-03-01,36.9439
2021-03-02,37.13733
2021-03-03,41.8762
2021-03-04,35.10638
2021-03-05,31.43133
2021-03-06,20.59961
2021-03-07,32.78529
2021-03-08,31.81818
2021-03-09,35.88007
2021-03-10,39.65183
2021-03-11,44.39071
2021-03-12,38.78143
2021-03-13,29.98065
2021-03-14,31.04448
2021-03-15,39.74854
2021-03-16,42.16634
2021-03-17,38.20116
2021-03-18,43.5203
2021-03-19,40.03868
2021-03-20,20.21276
2021-03-21,24.75822
2021-03-22,38.588
2021-03-23,34.91295
2021-03-24,30.75435
2021-03-25,32.20502
2021-03-26,34.33268
2021-03-27,19.14893
2021-03-28,20.21276
2021-03-29,33.84912
2021-03-30,35.97678
2021-03-31,33.6557
2021-04-01,31.04448
2021-04-02,31.43133
2021-04-03,21.08317
2021-04-04,17.98839
2021-04-05,33.46228
2021-04-06,37.33075
2021-04-07,36.0735
2021-04-08,34.23597
2021-04-09,30.65764
2021-04-10,15.95744
2021-04-11,15.95744
2021-04-12,37.62088
2021-04-13,38.00773
2021-04-14,35.20309
2021-04-15,41.58607
2021-04-16,35.10638
2021-04-17,20.40618
2021-04-18,15.08704
2021-04-19,34.71953
2021-04-20,32.59187
2021-04-21,31.43133
2021-04-22,30.56092
2021-04-23,30.56092
2021-04-24,17.31141
2021-04-25,17.60154
2021-04-26,35.10638
2021-04-27,30.3675
2021-04-28,28.82011
2021-04-29,25.4352
2021-04-30,26.20889
2021-05-01,11.5087
2021-05-02,12.86266
2021-05-03,22.05029
2021-05-04,21.56673
2021-05-05,13.53965
2021-05-06,21.76015
2021-05-07,25.91876
2021-05-08,11.12185
2021-05-09,11.89555
2021-05-10,29.40038
2021-05-11,29.59381
2021-05-12,29.98065
2021-05-13,26.69245
2021-05-14,20.98646
2021-05-15,11.12185
2021-05-16,11.31528
2021-05-17,22.72727
2021-05-18,19.14893
2021-05-19,12.76595
2021-05-20,22.05029
2021-05-21,26.3056
2021-05-22,9.8646
2021-05-23,15.37717
2021-05-24,22.92069
2021-05-25,24.75822
2021-05-26,34.13926
2021-05-27,30.56092
2021-05-28,29.78723
2021-05-29,14.41005
2021-05-30,13.82978
2021-05-31,28.62669
2021-06-01,26.78916
2021-06-02,33.26885
2021-06-03,31.33462
2021-06-04,28.91682
2021-06-05,12.37911
2021-06-06,14.31334
2021-06-07,34.81624
2021-06-08,33.84912
2021-06-09,29.40038
2021-06-10,28.33655
2021-06-11,24.27466
2021-06-12,13.63636
2021-06-13,12.66924
2021-06-14,23.50096
2021-06-15,30.65764
2021-06-16,27.56286
2021-06-17,26.11218
2021-06-18,29.59381
2021-06-19,11.02514
2021-06-20,13.1528
2021-06-21,21.66344
2021-06-22,23.30754
2021-06-23,30.56092
2021-06-24,31.23791
2021-06-25,23.88781
2021-06-26,15.76402
2021-06-27,11.5087
2021-06-28,22.53384
2021-06-29,23.69439
2021-06-30,26.49903
2021-07-01,23.21083
2021-07-02,20.30947
2021-07-03,10.63829
2021-07-04,9.57446
2021-07-05,20.5029
2021-07-06,19.43907
2021-07-07,21.3733
2021-07-08,18.0851
2021-07-09,16.82785
2021-07-10,7.64023
2021-07-11,10.54158
2021-07-12,18.56866
2021-07-13,21.66344
2021-07-14,21.76015
2021-07-15,21.08317
2021-07-16,19.92263
2021-07-17,7.93036
2021-07-18,9.28433
2021-07-19,17.02127
2021-07-20,18.56866
2021-07-21,16.15087
2021-07-22,18.47195
2021-07-23,17.98839
2021-07-24,9.18762
2021-07-25,7.54352
2021-07-26,16.15087
2021-07-27,20.30947
2021-07-28,20.59961
2021-07-29,18.95551
2021-07-30,19.24564
2021-07-31,9.47775
2021-08-01,8.02707
2021-08-02,15.47388
2021-08-03,20.01934
2021-08-04,23.30754
2021-08-05,20.88974
2021-08-06,25.91876
2021-08-07,13.05609
2021-08-08,12.66924
2021-08-09,24.95164
2021-08-10,29.20696
2021-08-11,24.27466
2021-08-12,29.11025
2021-08-13,25.82205
2021-08-14,14.11992
2021-08-15,9.67117
2021-08-16,11.21856
2021-08-17,25.4352
2021-08-18,23.88781
2021-08-19,24.17794
2021-08-20,19.43907
2021-08-21,9.57446
2021-08-22,9.76789
2021-08-23,14.50676
2021-08-24,19.7292
2021-08-25,20.59961
2021-08-26,19.92263
2021-08-27,17.79497
2021-08-28,10.25145
2021-08-29,10.05802
2021-08-30,21.17988
2021-08-31,21.3733
2021-09-01,23.98452
2021-09-02,20.40618
2021-09-03,19.92263
2021-09-04,9.67117
2021-09-05,10.54158
2021-09-06,21.66344
2021-09-07,19.24564
2021-09-08,19.7292
2021-09-09,19.34235
2021-09-10,19.7292
2021-09-11,10.15473
2021-09-12,8.89748
2021-09-13,14.31334
2021-09-14,18.95551
2021-09-15,16.63442
2021-09-16,17.02127
2021-09-17,16.92456
2021-09-18,7.25338
2021-09-19,6.28626
2021-09-20,6.86653
2021-09-21,7.54352
2021-09-22,10.25145
2021-09-23,15.66731
2021-09-24,18.76208
2021-09-25,10.83172
2021-09-26,9.38104
2021-09-27,20.21276
2021-09-28,19.24564
2021-09-29,17.98839
2021-09-30,15.08704
2021-10-01,13.92649
2021-10-02,6.86653
2021-10-03,8.31721
2021-10-04,10.34816
2021-10-05,16.73114
2021-10-06,18.47195
2021-10-07,17.11798
2021-10-08,16.34429
2021-10-09,8.12379
2021-10-10,8.60735
2021-10-11,10.15473
2021-10-12,18.56866
2021-10-13,14.89361
2021-10-14,17.50483
2021-10-15,16.53771
2021-10-16,9.38104
2021-10-17,10.25145
2021-10-18,18.0851
2021-10-19,20.21276
2021-10-20,16.24758
2021-10-21,15.76402
2021-10-22,13.44294
2021-10-23,7.73694
2021-10-24,13.05609
2021-10-25,15.37717
2021-10-26,23.11411
2021-10-27,18.27852
2021-10-28,18.18181
2021-10-29,14.41005
2021-10-30,9.8646
2021-10-31,8.31721
2021-11-01,18.47195
2021-11-02,16.92456
2021-11-03,19.14893
2021-11-04,19.14893
2021-11-05,13.82978
2021-11-06,9.0909
2021-11-07,8.70406
2021-11-08,15.57059
2021-11-09,20.98646
2021-11-10,14.70019
2021-11-11,16.34429
2021-11-12,17.11798
2021-11-13,8.2205
2021-11-14,9.8646
2021-11-15,21.66344
2021-11-16,24.56479
2021-11-17,19.53578
2021-11-18,21.27659
2021-11-19,19.34235
2021-11-20,10.05802
2021-11-21,11.41199
2021-11-22,21.47001
2021-11-23,18.66537
2021-11-24,17.2147
2021-11-25,17.02127
2021-11-26,15.28046
2021-11-27,8.60735
2021-11-28,9.18762
2021-11-29,16.24758
2021-11-30,17.50483
2021-12-01,15.57059
2021-12-02,15.28046
2021-12-03,15.28046
2021-12-04,9.18762
2021-12-05,8.31721
2021-12-06,14.60348
2021-12-07,19.43907
2021-12-08,14.50676
2021-12-09,16.05415
2021-12-10,13.34622
2021-12-11,9.28433
2021-12-12,9.18762
2021-12-13,17.31141
2021-12-14,14.31334
2021-12-15,14.21663
2021-12-16,12.76595
2021-12-17,13.44294
2021-12-18,7.54352
2021-12-19,8.02707
2021-12-20,15.57059
2021-12-21,15.57059
2021-12-22,15.57059
2021-12-23,13.82978
2021-12-24,12.86266
2021-12-25,7.15667
2021-12-26,8.89748
2021-12-27,12.18568
2021-12-28,16.63442
2021-12-29,14.31334
2021-12-30,14.21663
2021-12-31,8.2205
2022-01-01,6.96324
2022-01-02,9.0909
2022-01-03,17.31141
2022-01-04,13.92649
2022-01-05,15.57059
