date,아파트분양
2020-03-20,42.53598
2020-03-21,40.0938
2020-03-22,41.17742
2020-03-23,57.07585
2020-03-24,60.98981
2020-03-25,52.64434
2020-03-26,51.22109
2020-03-27,47.45269
2020-03-28,36.3901
2020-03-29,40.85395
2020-03-30,58.45059
2020-03-31,57.54488
2020-04-01,57.48018
2020-04-02,51.10787
2020-04-03,42.8271
2020-04-04,39.22044
2020-04-05,40.53048
2020-04-06,57.17289
2020-04-07,57.02733
2020-04-08,54.90862
2020-04-09,51.96506
2020-04-10,47.8085
2020-04-11,41.40384
2020-04-12,46.36907
2020-04-13,64.69351
2020-04-14,59.82532
2020-04-15,45.72214
2020-04-16,62.18664
2020-04-17,53.5824
2020-04-18,45.94856
2020-04-19,53.25893
2020-04-20,71.85832
2020-04-21,72.295
2020-04-22,68.10609
2020-04-23,58.20798
2020-04-24,54.14847
2020-04-25,43.26378
2020-04-26,52.15914
2020-04-27,67.21656
2020-04-28,68.15461
2020-04-29,57.46401
2020-04-30,43.78133
2020-05-01,46.07795
2020-05-02,47.69529
2020-05-03,55.11887
2020-05-04,69.12502
2020-05-05,68.12227
2020-05-06,85.91298
2020-05-07,70.98495
2020-05-08,57.49636
2020-05-09,52.48261
2020-05-10,52.0621
2020-05-11,82.5004
2020-05-12,77.13084
2020-05-13,61.24858
2020-05-14,55.62024
2020-05-15,57.3508
2020-05-16,48.7789
2020-05-17,54.58515
2020-05-18,82.46805
2020-05-19,77.16318
2020-05-20,93.46595
2020-05-21,65.74478
2020-05-22,59.5342
2020-05-23,47.51738
2020-05-24,55.36147
2020-05-25,72.95811
2020-05-26,75.95018
2020-05-27,70.01455
2020-05-28,64.45091
2020-05-29,54.09995
2020-05-30,45.98091
2020-05-31,49.73313
2020-06-01,78.47323
2020-06-02,90.65178
2020-06-03,78.53792
2020-06-04,64.72586
2020-06-05,56.02458
2020-06-06,46.67637
2020-06-07,52.40174
2020-06-08,81.27122
2020-06-09,83.01795
2020-06-10,78.89374
