date,QQQM
2020-10-14,100.0
2020-10-15,69.90801
2020-10-16,48.48883
2020-10-17,18.79106
2020-10-18,20.49934
2020-10-19,23.78449
2020-10-20,48.35742
2020-10-21,33.63994
2020-10-22,38.50197
2020-10-23,27.46386
2020-10-24,18.00262
2020-10-25,15.63731
2020-10-26,24.83574
2020-10-27,26.67542
2020-10-28,34.954
2020-10-29,34.16557
2020-10-30,21.9448
2020-10-31,20.49934
2020-11-01,18.92247
2020-11-02,22.47043
2020-11-03,28.12089
2020-11-04,26.1498
2020-11-05,37.45072
2020-11-06,29.43495
2020-11-07,20.89356
2020-11-08,29.56636
2020-11-09,30.74901
2020-11-10,26.93823
2020-11-11,17.73981
2020-11-12,20.23653
2020-11-13,17.34559
2020-11-14,12.74638
2020-11-15,18.26544
2020-11-16,24.70433
2020-11-17,24.44152
2020-11-18,20.63074
2020-11-19,21.28777
2020-11-20,19.31668
2020-11-21,16.16294
2020-11-22,19.31668
2020-11-23,23.52168
2020-11-24,25.49277
2020-11-25,26.01839
2020-11-26,24.17871
2020-11-27,24.0473
2020-11-28,16.81997
2020-11-29,19.31668
2020-11-30,22.07621
2020-12-01,21.8134
2020-12-02,23.9159
2020-12-03,29.17214
2020-12-04,20.63074
2020-12-05,16.95137
2020-12-06,16.42575
2020-12-07,16.95137
2020-12-08,27.33245
2020-12-09,28.3837
2020-12-10,25.88699
2020-12-11,17.08278
2020-12-12,10.38107
2020-12-13,12.87779
2020-12-14,15.90013
2020-12-15,18.52825
2020-12-16,23.52168
2020-12-17,26.2812
2020-12-18,27.85808
2020-12-19,16.81997
2020-12-20,18.26544
2020-12-21,22.86465
2020-12-22,27.85808
2020-12-23,21.15637
2020-12-24,19.44809
2020-12-25,17.87122
2020-12-26,17.73981
2020-12-27,21.02496
2020-12-28,26.80683
2020-12-29,25.62417
2020-12-30,24.70433
2020-12-31,23.25886
2021-01-01,20.63074
2021-01-02,19.18528
2021-01-03,21.15637
2021-01-04,35.74244
2021-01-05,24.57293
2021-01-06,20.76215
2021-01-07,22.33902
2021-01-08,28.51511
2021-01-09,19.97371
2021-01-10,19.31668
2021-01-11,22.20762
2021-01-12,23.65308
2021-01-13,25.49277
2021-01-14,24.70433
2021-01-15,22.86465
2021-01-16,21.41918
2021-01-17,17.477
2021-01-18,16.81997
2021-01-19,24.57293
2021-01-20,22.33902
2021-01-21,24.70433
2021-01-22,29.96057
2021-01-23,26.01839
2021-01-24,25.09855
2021-01-25,29.69776
2021-01-26,33.63994
2021-01-27,28.51511
2021-01-28,22.47043
2021-01-29,22.99605
2021-01-30,20.63074
2021-01-31,16.29434
2021-02-01,20.76215
2021-02-02,28.51511
2021-02-03,33.50854
2021-02-04,25.49277
2021-02-05,25.62417
2021-02-06,24.96714
2021-02-07,24.57293
2021-02-08,25.36136
2021-02-09,26.54402
2021-02-10,30.6176
2021-02-11,22.60183
2021-02-12,22.33902
2021-02-13,24.31011
2021-02-14,23.52168
2021-02-15,31.80026
2021-02-16,30.09198
2021-02-17,24.70433
2021-02-18,25.09855
2021-02-19,21.55059
2021-02-20,16.68856
2021-02-21,11.16951
2021-02-22,18.65965
2021-02-23,18.65965
2021-02-24,18.65965
2021-02-25,14.19185
2021-02-26,17.08278
2021-02-27,13.92904
2021-02-28,11.56373
2021-03-01,14.19185
2021-03-02,19.05387
2021-03-03,18.39684
2021-03-04,19.31668
2021-03-05,16.81997
2021-03-06,19.7109
2021-03-07,16.81997
2021-03-08,15.63731
2021-03-09,14.71747
2021-03-10,20.23653
2021-03-11,16.03153
2021-03-12,16.16294
2021-03-13,15.90013
2021-03-14,15.11169
2021-03-15,17.477
2021-03-16,14.98028
2021-03-17,14.84888
2021-03-18,15.11169
2021-03-19,13.53482
2021-03-20,13.00919
2021-03-21,10.9067
2021-03-22,11.95795
2021-03-23,12.48357
2021-03-24,13.66622
2021-03-25,17.6084
2021-03-26,16.29434
2021-03-27,13.92904
2021-03-28,14.84888
2021-03-29,14.19185
2021-03-30,13.66622
2021-03-31,12.74638
2021-04-01,13.79763
2021-04-02,11.82654
2021-04-03,7.75295
2021-04-04,8.67279
2021-04-05,11.0381
2021-04-06,13.40341
2021-04-07,14.32325
2021-04-08,12.87779
2021-04-09,16.68856
2021-04-10,12.87779
2021-04-11,13.00919
2021-04-12,16.68856
2021-04-13,13.79763
2021-04-14,15.2431
2021-04-15,17.21419
2021-04-16,21.41918
2021-04-17,18.79106
2021-04-18,14.45466
2021-04-19,16.68856
2021-04-20,18.79106
2021-04-21,12.87779
2021-04-22,18.13403
2021-04-23,10.9067
2021-04-24,9.72404
2021-04-25,12.48357
2021-04-26,13.40341
2021-04-27,15.11169
2021-04-28,12.48357
2021-04-29,21.28777
2021-04-30,13.40341
2021-05-01,13.79763
2021-05-02,11.95795
2021-05-03,15.50591
2021-05-04,19.31668
2021-05-05,21.8134
2021-05-06,17.477
2021-05-07,15.90013
2021-05-08,14.06044
2021-05-09,15.3745
2021-05-10,18.39684
2021-05-11,20.63074
2021-05-12,12.87779
2021-05-13,15.76872
2021-05-14,11.16951
2021-05-15,12.08935
2021-05-16,11.43232
2021-05-17,8.40998
2021-05-18,10.77529
2021-05-19,10.38107
2021-05-20,10.9067
2021-05-21,10.38107
2021-05-22,9.85545
2021-05-23,6.83311
2021-05-24,11.16951
2021-05-25,14.45466
2021-05-26,12.22076
2021-05-27,11.56373
2021-05-28,11.43232
2021-05-29,7.88436
2021-05-30,8.40998
2021-05-31,10.24967
2021-06-01,8.54139
2021-06-02,10.51248
2021-06-03,10.77529
2021-06-04,8.27858
2021-06-05,7.88436
2021-06-06,6.83311
2021-06-07,9.98685
2021-06-08,8.67279
2021-06-09,8.27858
2021-06-10,7.62155
2021-06-11,9.85545
2021-06-12,6.04467
2021-06-13,7.09592
2021-06-14,10.51248
2021-06-15,12.08935
2021-06-16,10.9067
