date,애널리스트
2020-03-20,0.47218
2020-03-21,0.36647
2020-03-22,0.337
2020-03-23,0.43118
2020-03-24,0.45873
2020-03-25,0.52023
2020-03-26,0.51446
2020-03-27,0.55034
2020-03-28,0.39017
2020-03-29,0.34917
2020-03-30,0.47795
2020-03-31,0.42541
2020-04-01,0.40235
2020-04-02,0.45744
2020-04-03,0.42157
2020-04-04,0.30176
2020-04-05,0.32738
2020-04-06,0.40491
2020-04-07,0.48243
2020-04-08,0.46193
2020-04-09,0.44847
2020-04-10,0.4331
2020-04-11,0.32931
2020-04-12,0.32931
2020-04-13,0.39658
2020-04-14,0.49845
2020-04-15,0.36134
2020-04-16,0.40683
2020-04-17,0.419
2020-04-18,0.45873
2020-04-19,0.31073
2020-04-20,0.46769
2020-04-21,0.50998
2020-04-22,0.52728
2020-04-23,0.47282
2020-04-24,0.41196
2020-04-25,0.26204
2020-04-26,0.33443
2020-04-27,0.38248
2020-04-28,0.36198
2020-04-29,0.38569
2020-04-30,0.29984
2020-05-01,0.32674
2020-05-02,0.25435
2020-05-03,0.24858
2020-05-04,0.35301
2020-05-05,0.42541
2020-05-06,0.4395
2020-05-07,0.42797
2020-05-08,0.32995
2020-05-09,0.27293
2020-05-10,0.31073
2020-05-11,0.42092
2020-05-12,0.40106
2020-05-13,0.41964
2020-05-14,0.38248
2020-05-15,0.36006
2020-05-16,1.17181
2020-05-17,12.65993
2020-05-18,0.70283
2020-05-19,0.46834
2020-05-20,0.42477
2020-05-21,0.37864
2020-05-22,0.35558
2020-05-23,0.28766
2020-05-24,0.28061
2020-05-25,0.36454
2020-05-26,0.43438
2020-05-27,0.41644
2020-05-28,0.34853
2020-05-29,0.31713
2020-05-30,0.26139
2020-05-31,0.29919
2020-06-01,0.35237
2020-06-02,0.40299
2020-06-03,0.42157
2020-06-04,0.39722
2020-06-05,0.3812
2020-06-06,0.28254
2020-06-07,0.29599
2020-06-08,0.37992
2020-06-09,0.38953
2020-06-10,0.41324
2020-06-11,0.34084
2020-06-12,0.36583
2020-06-13,0.28254
