date,전자책
2020-03-20,58.5513
2020-03-21,52.8169
2020-03-22,58.19919
2020-03-23,67.85714
2020-03-24,67.70623
2020-03-25,64.43661
2020-03-26,61.82092
2020-03-27,59.85915
2020-03-28,58.70221
2020-03-29,61.167
2020-03-30,62.62575
2020-03-31,61.06639
2020-04-01,67.75653
2020-04-02,84.10462
2020-04-03,76.50905
2020-04-04,65.89537
2020-04-05,74.69818
2020-04-06,73.84305
2020-04-07,72.2334
2020-04-08,73.08853
2020-04-09,62.27364
2020-04-10,60.76458
2020-04-11,57.34406
2020-04-12,69.26559
2020-04-13,72.03219
2020-04-14,69.668
2020-04-15,63.88329
2020-04-16,69.7183
2020-04-17,71.78068
2020-04-18,57.04225
2020-04-19,70.57344
2020-04-20,73.89336
2020-04-21,72.73641
2020-04-22,69.06438
2020-04-23,69.31589
2020-04-24,59.70824
2020-04-25,48.44064
2020-04-26,60.36217
2020-04-27,63.88329
2020-04-28,61.82092
2020-04-29,60.06036
2020-04-30,45.72434
2020-05-01,49.74849
2020-05-02,46.37826
2020-05-03,51.60965
2020-05-04,57.74647
2020-05-05,57.44466
2020-05-06,52.9175
2020-05-07,53.42052
2020-05-08,44.668
2020-05-09,43.46076
2020-05-10,46.32796
2020-05-11,50.90543
2020-05-12,54.07444
2020-05-13,52.71629
2020-05-14,49.44668
2020-05-15,47.03219
2020-05-16,40.84507
2020-05-17,48.99396
2020-05-18,56.13682
2020-05-19,53.87323
2020-05-20,47.78672
2020-05-21,45.62374
2020-05-22,42.90744
2020-05-23,40.49295
2020-05-24,47.4346
2020-05-25,52.46478
2020-05-26,51.15694
2020-05-27,48.23943
2020-05-28,42.10261
2020-05-29,39.23541
2020-05-30,36.56941
2020-05-31,49.34607
2020-06-01,49.59758
2020-06-02,53.37022
2020-06-03,52.9678
2020-06-04,44.21529
2020-06-05,41.09657
2020-06-06,40.64386
2020-06-07,51.25754
2020-06-08,54.52716
2020-06-09,48.54124
2020-06-10,47.83702
2020-06-11,44.81891
2020-06-12,41.49899
2020-06-13,37.22334
2020-06-14,42.55533
2020-06-15,46.73038
2020-06-16,43.30985
2020-06-17,43.71227
2020-06-18,47.78672
2020-06-19,40.24144
2020-06-20,39.38631
2020-06-21,50.40241
2020-06-22,45.17102
2020-06-23,47.2837
2020-06-24,51.45875
2020-06-25,43.61167
2020-06-26,41.39839
2020-06-27,36.77062
2020-06-28,46.12676
2020-06-29,53.47082
2020-06-30,50.70422
2020-07-01,48.18913
2020-07-02,43.15895
2020-07-03,42.30382
2020-07-04,36.92152
2020-07-05,42.40442
2020-07-06,43.51106
2020-07-07,44.5674
2020-07-08,45.27162
2020-07-09,42.80684
2020-07-10,38.9839
2020-07-11,35.46277
2020-07-12,49.74849
2020-07-13,46.42857
2020-07-14,57.24346
2020-07-15,59.85915
2020-07-16,46.42857
2020-07-17,40.64386
2020-07-18,34.75855
2020-07-19,45.82494
2020-07-20,46.22736
2020-07-21,38.78269
2020-07-22,43.41046
2020-07-23,46.73038
2020-07-24,40.29175
2020-07-25,39.38631
2020-07-26,40.34205
2020-07-27,47.78672
2020-07-28,44.76861
2020-07-29,44.21529
2020-07-30,42.85714
2020-07-31,39.98993
2020-08-01,37.17303
2020-08-02,40.04024
2020-08-03,43.51106
2020-08-04,46.57947
2020-08-05,43.81287
2020-08-06,48.39034
2020-08-07,41.7505
2020-08-08,39.0845
2020-08-09,51.86116
2020-08-10,58.75251
2020-08-11,51.55935
