date,베트남돈
2020-03-20,10.22755
2020-03-21,8.24565
2020-03-22,7.51162
2020-03-23,10.25201
2020-03-24,9.78712
2020-03-25,9.59138
2020-03-26,10.0318
2020-03-27,10.27648
2020-03-28,8.22118
2020-03-29,6.63078
2020-03-30,10.69243
2020-03-31,8.6616
2020-04-01,16.9562
2020-04-02,10.15414
2020-04-03,7.63396
2020-04-04,6.67971
2020-04-05,6.19035
2020-04-06,9.1999
2020-04-07,8.88182
2020-04-08,7.56055
2020-04-09,7.7563
2020-04-10,7.92757
2020-04-11,6.3861
2020-04-12,6.28823
2020-04-13,8.00097
2020-04-14,8.24565
2020-04-15,6.4595
2020-04-16,7.65842
2020-04-17,8.49033
2020-04-18,5.79887
2020-04-19,6.26376
2020-04-20,7.51162
2020-04-21,7.24247
2020-04-22,7.31587
2020-04-23,7.9031
2020-04-24,6.92439
2020-04-25,6.4595
2020-04-26,6.23929
2020-04-27,7.19354
2020-04-28,7.8297
2020-04-29,6.70418
2020-04-30,7.09566
2020-05-01,6.94886
2020-05-02,5.50526
2020-05-03,6.19035
2020-05-04,7.12013
2020-05-05,7.16907
2020-05-06,7.53609
2020-05-07,7.85417
2020-05-08,7.80523
2020-05-09,5.94568
2020-05-10,5.97014
2020-05-11,8.5148
2020-05-12,7.46268
2020-05-13,7.9031
2020-05-14,6.85099
2020-05-15,7.53609
2020-05-16,6.92439
2020-05-17,6.19035
2020-05-18,6.80205
2020-05-19,7.70736
2020-05-20,8.02544
2020-05-21,7.48715
2020-05-22,6.63078
2020-05-23,5.84781
2020-05-24,6.33716
2020-05-25,7.80523
2020-05-26,7.8297
2020-05-27,7.73183
2020-05-28,7.78076
2020-05-29,6.92439
2020-05-30,6.3861
2020-05-31,7.218
2020-06-01,9.00415
2020-06-02,8.34352
2020-06-03,9.51798
2020-06-04,8.80841
2020-06-05,10.22755
2020-06-06,8.36799
2020-06-07,7.7563
2020-06-08,11.25519
2020-06-09,10.39882
2020-06-10,11.72008
2020-06-11,12.03816
2020-06-12,11.49987
2020-06-13,7.46268
2020-06-14,7.78076
2020-06-15,11.13286
2020-06-16,9.68925
2020-06-17,9.42011
2020-06-18,8.39246
