date,HSCEI지수
2020-03-20,93.50293
2020-03-21,32.06135
2020-03-22,13.74236
2020-03-23,78.58835
2020-03-24,87.08068
2020-03-25,100.0
2020-03-26,90.51003
2020-03-27,84.94824
2020-03-28,22.80833
2020-03-29,9.05349
2020-03-30,60.85546
2020-03-31,61.65357
2020-04-01,51.73961
2020-04-02,49.47
2020-04-03,45.85359
2020-04-04,12.55767
2020-04-05,5.73637
2020-04-06,49.10836
2020-04-07,60.15712
2020-04-08,51.86432
2020-04-09,52.21349
2020-04-10,43.50916
2020-04-11,12.71979
2020-04-12,7.27023
2020-04-13,37.37373
2020-04-14,44.6315
2020-04-15,32.23593
2020-04-16,36.28881
2020-04-17,43.33458
2020-04-18,13.79224
2020-04-19,7.03329
2020-04-20,37.61067
2020-04-21,37.07444
2020-04-22,35.90223
2020-04-23,37.06197
2020-04-24,31.02631
2020-04-25,9.11584
2020-04-26,5.00062
2020-04-27,33.73238
2020-04-28,36.47586
2020-04-29,34.28108
2020-04-30,20.81306
2020-05-01,18.30652
2020-05-02,8.26786
2020-05-03,4.91333
2020-05-04,28.05836
2020-05-05,22.24716
2020-05-06,33.94438
2020-05-07,29.90397
2020-05-08,29.57974
2020-05-09,10.50006
2020-05-10,5.12532
2020-05-11,34.79236
2020-05-12,28.66941
2020-05-13,27.28519
2020-05-14,24.57912
2020-05-15,24.2923
2020-05-16,7.45728
2020-05-17,4.38957
2020-05-18,23.50667
2020-05-19,33.81967
2020-05-20,28.5447
2020-05-21,29.33034
2020-05-22,26.67414
2020-05-23,9.27796
2020-05-24,5.74884
2020-05-25,34.55543
2020-05-26,39.38146
2020-05-27,38.28407
2020-05-28,47.17545
2020-05-29,42.69859
2020-05-30,14.57787
2020-05-31,7.86881
2020-06-01,51.47774
2020-06-02,46.51452
2020-06-03,47.89874
2020-06-04,48.58461
2020-06-05,44.17009
2020-06-06,15.06422
2020-06-07,7.0707
2020-06-08,42.12495
2020-06-09,39.41888
2020-06-10,37.32385
2020-06-11,34.5679
2020-06-12,33.45803
2020-06-13,9.61466
2020-06-14,5.42461
2020-06-15,31.67477
2020-06-16,37.95984
2020-06-17,34.66766
2020-06-18,31.42536
2020-06-19,30.09103
2020-06-20,8.10574
2020-06-21,4.65145
2020-06-22,28.5447
2020-06-23,31.89923
2020-06-24,35.41588
2020-06-25,26.13792
2020-06-26,28.43247
2020-06-27,7.64434
2020-06-28,3.81593
2020-06-29,24.82853
2020-06-30,37.89749
2020-07-01,32.56016
2020-07-02,37.49844
2020-07-03,37.62314
2020-07-04,9.86407
2020-07-05,5.33732
2020-07-06,42.17483
2020-07-07,40.94026
2020-07-08,35.9147
2020-07-09,35.56553
2020-07-10,27.39743
2020-07-11,8.94126
2020-07-12,4.41451
2020-07-13,32.21099
2020-07-14,30.88913
2020-07-15,32.88439
2020-07-16,32.93428
2020-07-17,31.86182
2020-07-18,8.46738
2020-07-19,4.35216
2020-07-20,30.20326
2020-07-21,32.16111
2020-07-22,33.79473
2020-07-23,31.56253
2020-07-24,29.96632
2020-07-25,7.27023
2020-07-26,3.59147
2020-07-27,29.90397
2020-07-28,29.19316
2020-07-29,28.39506
2020-07-30,28.50729
2020-07-31,31.2383
2020-08-01,7.65681
2020-08-02,3.27971
2020-08-03,26.43721
2020-08-04,29.35528
2020-08-05,29.54233
2020-08-06,26.5245
2020-08-07,28.76917
2020-08-08,7.27023
2020-08-09,3.90322
2020-08-10,29.0934
2020-08-11,32.99663
2020-08-12,31.64983
2020-08-13,30.11597
2020-08-14,24.97817
2020-08-15,5.91096
2020-08-16,3.27971
2020-08-17,17.45853
2020-08-18,28.99364
2020-08-19,25.72639
2020-08-20,27.98353
2020-08-21,25.05299
2020-08-22,5.96084
2020-08-23,3.10512
2020-08-24,24.31724
2020-08-25,26.37485
2020-08-26,24.51677
2020-08-27,25.01558
2020-08-28,23.78102
2020-08-29,6.22272
2020-08-30,3.29218
2020-08-31,24.9657
2020-09-01,27.49719
2020-09-02,28.46988
2020-09-03,33.23357
2020-09-04,34.30602
2020-09-05,7.55705
2020-09-06,4.20251
2020-09-07,33.62015
2020-09-08,39.16947
2020-09-09,36.32622
2020-09-10,37.14927
2020-09-11,35.19142
2020-09-12,8.23045
2020-09-13,4.35216
2020-09-14,35.52812
2020-09-15,39.01982
2020-09-16,36.86245
2020-09-17,36.82504
2020-09-18,33.15874
2020-09-19,6.85871
2020-09-20,4.40204
2020-09-21,33.91944
2020-09-22,37.22409
2020-09-23,37.69796
2020-09-24,44.68138
2020-09-25,37.7229
2020-09-26,8.5048
2020-09-27,4.26487
2020-09-28,33.38321
2020-09-29,34.05661
2020-09-30,18.88015
2020-10-01,15.33857
2020-10-02,15.3261
2020-10-03,8.36762
2020-10-04,6.22272
2020-10-05,40.81556
2020-10-06,39.74311
2020-10-07,37.14927
2020-10-08,37.84761
2020-10-09,23.65631
2020-10-10,8.03092
2020-10-11,4.23993
2020-10-12,38.69559
2020-10-13,38.89512
2020-10-14,41.66354
2020-10-15,31.84935
2020-10-16,32.29829
2020-10-17,7.63187
2020-10-18,4.53921
2020-10-19,32.82204
2020-10-20,34.65519
2020-10-21,29.04352
2020-10-22,25.36475
2020-10-23,25.42711
2020-10-24,6.04813
2020-10-25,3.45429
2020-10-26,19.67826
2020-10-27,24.30477
2020-10-28,22.01022
2020-10-29,22.67115
2020-10-30,21.87305
2020-10-31,4.88839
2020-11-01,2.85571
2020-11-02,19.85284
2020-11-03,21.76081
2020-11-04,21.86058
2020-11-05,23.33208
2020-11-06,23.45679
2020-11-07,5.42461
2020-11-08,3.20488
2020-11-09,23.76854
2020-11-10,26.72403
2020-11-11,24.841
2020-11-12,20.52625
2020-11-13,18.95498
2020-11-14,4.85097
2020-11-15,2.61878
2020-11-16,19.41638
2020-11-17,19.22933
2020-11-18,18.91757
2020-11-19,18.34393
2020-11-20,15.31363
2020-11-21,3.51664
2020-11-22,2.0202
2020-11-23,15.15151
2020-11-24,13.19366
2020-11-25,14.26611
2020-11-26,13.3433
2020-11-27,12.02144
2020-11-28,3.61641
2020-11-29,1.82067
2020-11-30,13.95435
2020-12-01,14.27858
2020-12-02,13.80471
2020-12-03,14.11647
2020-12-04,14.30352
2020-12-05,4.09028
2020-12-06,2.3569
2020-12-07,13.45554
2020-12-08,15.21386
2020-12-09,16.53572
2020-12-10,15.18892
2020-12-11,14.9021
2020-12-12,3.42935
2020-12-13,2.03267
2020-12-14,16.34867
2020-12-15,16.1242
2020-12-16,15.12657
2020-12-17,15.18892
2020-12-18,14.9894
2020-12-19,3.24229
2020-12-20,2.3569
2020-12-21,13.99176
2020-12-22,15.05175
2020-12-23,15.13904
2020-12-24,14.11647
2020-12-25,4.23993
2020-12-26,2.23219
2020-12-27,2.2696
2020-12-28,15.26374
2020-12-29,17.27148
2020-12-30,16.62302
2020-12-31,10.43771
2021-01-01,4.31475
2021-01-02,2.85571
2021-01-03,2.09502
2021-01-04,17.98229
2021-01-05,18.38134
2021-01-06,18.28158
2021-01-07,18.38134
2021-01-08,18.60581
2021-01-09,4.78862
2021-01-10,2.34443
2021-01-11,18.16934
2021-01-12,18.50604
2021-01-13,17.19665
2021-01-14,15.26374
2021-01-15,16.11173
2021-01-16,3.67876
2021-01-17,2.10749
2021-01-18,15.21386
2021-01-19,18.0197
2021-01-20,16.72278
2021-01-21,16.89736
2021-01-22,15.76256
2021-01-23,3.84087
2021-01-24,2.24466
2021-01-25,13.70495
2021-01-26,16.99713
2021-01-27,14.47811
2021-01-28,15.52562
2021-01-29,16.99713
2021-01-30,4.5891
2021-01-31,2.23219
2021-02-01,16.01197
2021-02-02,15.35104
2021-02-03,14.104
2021-02-04,13.33083
2021-02-05,13.50542
2021-02-06,3.75358
2021-02-07,2.00773
2021-02-08,11.80945
2021-02-09,11.59745
2021-02-10,10.33794
2021-02-11,5.3872
2021-02-12,4.05287
2021-02-13,2.49407
2021-02-14,1.60867
2021-02-15,9.52737
2021-02-16,12.53273
2021-02-17,12.09627
2021-02-18,11.34804
2021-02-19,10.9864
2021-02-20,3.0303
2021-02-21,1.53385
2021-02-22,10.71205
2021-02-23,11.43534
2021-02-24,14.52799
2021-02-25,12.50779
2021-02-26,13.01907
2021-02-27,3.01783
2021-02-28,1.35927
2021-03-01,8.1681
2021-03-02,14.05412
2021-03-03,12.10874
2021-03-04,11.90921
2021-03-05,12.6699
2021-03-06,3.24229
2021-03-07,1.33433
2021-03-08,12.00897
2021-03-09,16.18655
2021-03-10,15.40092
2021-03-11,14.27858
2021-03-12,13.80471
2021-03-13,3.51664
2021-03-14,2.07008
2021-03-15,13.75483
2021-03-16,12.3332
2021-03-17,12.29579
2021-03-18,11.9965
2021-03-19,12.24591
2021-03-20,2.83077
2021-03-21,1.63362
2021-03-22,11.90921
2021-03-23,11.34804
2021-03-24,13.63012
2021-03-25,15.21386
2021-03-26,13.69248
2021-03-27,3.01783
2021-03-28,2.24466
2021-03-29,13.11884
2021-03-30,13.72989
2021-03-31,12.2085
2021-04-01,12.79461
2021-04-02,10.525
2021-04-03,2.94301
2021-04-04,1.60867
2021-04-05,10.1883
2021-04-06,10.56241
2021-04-07,10.92405
2021-04-08,10.74947
2021-04-09,10.30053
2021-04-10,2.55642
2021-04-11,1.39668
2021-04-12,10.84923
2021-04-13,11.26075
2021-04-14,10.88664
2021-04-15,9.80172
2021-04-16,9.45255
2021-04-17,2.29455
2021-04-18,1.10986
2021-04-19,7.94363
2021-04-20,8.57962
2021-04-21,9.26549
2021-04-22,8.97867
2021-04-23,8.00598
2021-04-24,1.72091
2021-04-25,1.0101
2021-04-26,7.30764
2021-04-27,6.99588
2021-04-28,6.89612
2021-04-29,6.45965
2021-04-30,5.61167
2021-05-01,1.43409
2021-05-02,0.56116
2021-05-03,5.89849
2021-05-04,5.96084
2021-05-05,3.29218
2021-05-06,6.19778
2021-05-07,5.53684
2021-05-08,1.18468
2021-05-09,0.78563
2021-05-10,5.42461
2021-05-11,6.43471
2021-05-12,6.44718
