date,예금이자높은곳
2020-03-20,1.02115
2020-03-21,0.51057
2020-03-22,0.72939
2020-03-23,0.51057
2020-03-25,0.43763
2020-03-30,0.36469
2020-04-01,0.65645
2020-04-03,0.94821
2020-04-04,0.58351
2020-04-06,0.72939
2020-04-07,0.43763
2020-04-08,0.36469
2020-04-09,0.65645
2020-04-10,0.36469
2020-04-12,0.36469
2020-04-13,0.65645
2020-04-14,0.36469
2020-04-16,0.65645
2020-04-17,0.58351
2020-04-19,0.51057
2020-04-20,0.36469
2020-04-22,0.87527
2020-04-24,0.58351
2020-04-26,0.72939
2020-04-27,0.58351
2020-04-28,0.94821
2020-04-29,0.36469
2020-05-01,0.43763
2020-05-02,0.58351
2020-05-03,0.36469
2020-05-04,0.36469
2020-05-05,0.43763
2020-05-06,0.65645
2020-05-08,0.36469
2020-05-10,0.51057
2020-05-11,0.72939
2020-05-12,0.58351
2020-05-13,0.72939
2020-05-14,0.36469
2020-05-15,0.87527
2020-05-18,0.65645
2020-05-19,0.51057
2020-05-20,0.72939
2020-05-21,0.80233
2020-05-23,0.36469
2020-05-24,0.36469
2020-05-25,1.60466
2020-05-26,0.72939
2020-05-27,0.80233
2020-05-28,0.51057
2020-05-29,0.51057
2020-05-31,0.36469
2020-06-01,0.65645
2020-06-02,0.36469
2020-06-03,0.58351
2020-06-09,0.58351
2020-06-10,0.51057
2020-06-12,0.43763
2020-06-17,0.36469
2020-06-19,0.58351
2020-06-22,0.43763
2020-06-24,0.58351
2020-06-25,0.43763
2020-06-29,0.72939
2020-06-30,0.36469
2020-07-01,0.43763
2020-07-02,0.36469
2020-07-03,0.58351
2020-07-06,0.36469
2020-07-14,0.36469
2020-07-16,0.43763
2020-07-22,0.36469
2020-07-23,1.09409
2020-07-24,0.36469
2020-07-25,0.43763
2020-07-26,0.51057
2020-07-28,0.36469
2020-07-29,0.36469
2020-07-30,0.58351
2020-07-31,0.58351
2020-08-01,0.51057
2020-08-03,0.51057
2020-08-10,0.36469
2020-08-13,0.51057
2020-08-14,0.58351
2020-08-18,0.36469
2020-08-20,0.43763
2020-08-21,1.60466
2020-08-23,0.72939
2020-08-25,0.51057
2020-08-27,0.36469
2020-09-02,0.36469
2020-09-03,0.36469
2020-09-04,0.58351
2020-09-07,0.36469
2020-09-12,0.36469
2020-09-15,0.72939
2020-09-16,1.02115
2020-09-17,0.43763
2020-09-18,0.36469
2020-09-21,0.58351
2020-09-24,0.43763
2020-10-01,0.65645
2020-10-02,0.36469
2020-10-04,0.36469
2020-10-05,0.58351
2020-10-06,0.43763
2020-10-13,0.65645
2020-10-17,0.43763
2020-10-20,0.36469
2020-10-28,0.36469
2020-10-30,0.43763
2020-11-04,0.36469
2020-11-12,0.36469
2020-11-17,0.51057
2020-11-19,0.36469
2020-11-21,0.43763
2020-11-22,0.43763
2020-11-28,0.51057
2020-11-30,1.02115
2020-12-01,0.36469
2020-12-06,0.51057
2020-12-07,0.65645
2020-12-11,0.43763
2020-12-12,0.36469
2020-12-13,0.36469
