date,SOFRETF
2023-03-28,1.48911
2023-03-30,0.68728
2023-03-31,1.9473
2023-04-03,2.06185
2023-04-04,3.55097
2023-04-05,3.89461
2023-04-06,2.40549
2023-04-08,1.26002
2023-04-09,1.26002
2023-04-10,0.57273
2023-04-13,1.03092
2023-04-14,0.68728
2023-04-15,0.80183
2023-04-16,1.03092
2023-04-17,1.03092
2023-04-18,0.80183
2023-04-19,1.14547
2023-04-20,1.60366
2023-04-21,0.68728
2023-04-22,0.68728
2023-04-24,2.52004
2023-04-25,6.64375
2023-04-26,2.40549
2023-04-27,0.57273
2023-04-28,1.03092
2023-04-29,0.91638
2023-04-30,1.14547
2023-05-02,1.83276
2023-05-03,3.66552
2023-05-04,1.37457
2023-05-05,0.57273
2023-05-08,2.74914
2023-05-09,3.32187
2023-05-10,2.74914
2023-05-11,2.06185
2023-05-12,1.83276
2023-05-13,0.57273
2023-05-14,0.91638
2023-05-15,2.40549
2023-05-16,2.74914
2023-05-17,1.26002
2023-05-18,2.74914
2023-05-19,1.60366
2023-05-21,0.91638
2023-05-22,1.37457
2023-05-23,0.80183
2023-05-24,1.9473
2023-05-29,1.14547
2023-05-30,1.37457
2023-05-31,1.48911
2023-06-04,0.57273
2023-06-05,0.80183
2023-06-08,1.26002
2023-06-11,1.14547
2023-06-12,0.57273
2023-06-13,1.14547
2023-06-15,1.60366
2023-06-16,1.71821
2023-06-19,1.14547
2023-06-20,0.80183
2023-06-21,0.80183
2023-06-22,1.71821
2023-06-23,1.37457
2023-06-25,0.91638
2023-06-26,1.03092
2023-06-27,43.8717
2023-06-28,45.58991
2023-06-29,16.49484
2023-06-30,16.72394
2023-07-01,18.09851
2023-07-02,15.69301
2023-07-03,13.40206
2023-07-04,10.08018
2023-07-05,8.13287
2023-07-06,8.01832
2023-07-07,8.24742
2023-07-08,8.59106
2023-07-09,9.73654
2023-07-10,9.73654
2023-07-11,13.5166
2023-07-12,11.79839
2023-07-13,10.76746
2023-07-14,6.64375
2023-07-15,5.84192
2023-07-16,5.15463
2023-07-17,8.24742
2023-07-18,7.67468
2023-07-19,6.64375
2023-07-20,6.18556
2023-07-21,5.61282
