date,상속
2020-03-20,26.42802
2020-03-21,17.89794
2020-03-22,19.42117
2020-03-23,32.52094
2020-03-24,29.09367
2020-03-25,30.54074
2020-03-26,26.80883
2020-03-27,25.66641
2020-03-28,17.51713
2020-03-29,18.35491
2020-03-30,30.76923
2020-03-31,27.95125
2020-04-01,27.34196
2020-04-02,29.93145
2020-04-03,26.19954
2020-04-04,15.76542
2020-04-05,20.03046
2020-04-06,25.51408
2020-04-07,26.2757
2020-04-08,27.64661
2020-04-09,26.73267
2020-04-10,27.72277
2020-04-11,18.12642
2020-04-12,16.67936
2020-04-13,26.19954
2020-04-14,25.43792
2020-04-15,17.28865
2020-04-16,27.87509
2020-04-17,27.87509
2020-04-18,21.3252
2020-04-19,20.56359
2020-04-20,28.33206
2020-04-21,31.45468
2020-04-22,29.01751
2020-04-23,36.17669
2020-04-24,26.42802
2020-04-25,17.89794
2020-04-26,19.04036
2020-04-27,29.47448
2020-04-28,34.72962
2020-04-29,24.06702
2020-04-30,17.13632
2020-05-01,21.9345
2020-05-02,16.75552
2020-05-03,20.63975
2020-05-04,29.39832
2020-05-05,22.08682
2020-05-06,30.99771
2020-05-07,31.98781
2020-05-08,27.2658
2020-05-09,19.42117
2020-05-10,18.81188
2020-05-11,30.2361
2020-05-12,28.10357
2020-05-13,27.11348
2020-05-14,28.56054
2020-05-15,29.246
2020-05-16,15.76542
2020-05-17,23.00076
2020-05-18,31.15003
2020-05-19,33.13023
2020-05-20,30.08377
2020-05-21,33.51104
2020-05-22,29.93145
2020-05-23,18.65955
2020-05-24,21.55369
2020-05-25,30.2361
2020-05-26,28.78903
2020-05-27,27.72277
2020-05-28,25.59025
2020-05-29,24.67631
2020-05-30,19.64965
2020-05-31,18.35491
2020-06-01,27.95125
2020-06-02,29.246
2020-06-03,28.17974
2020-06-04,30.6169
2020-06-05,24.75247
2020-06-06,16.60319
2020-06-07,20.86824
2020-06-08,33.51104
2020-06-09,27.64661
2020-06-10,29.32216
2020-06-11,26.65651
2020-06-12,26.2757
2020-06-13,18.50723
2020-06-14,18.27875
2020-06-15,30.69306
2020-06-16,29.01751
2020-06-17,28.40822
2020-06-18,32.90175
2020-06-19,23.53389
2020-06-20,16.37471
2020-06-21,18.43107
2020-06-22,30.6169
2020-06-23,35.49124
2020-06-24,28.48438
2020-06-25,30.76923
2020-06-26,27.64661
2020-06-27,18.12642
2020-06-28,17.89794
2020-06-29,27.34196
2020-06-30,26.12338
