date,저축은행금리
2020-03-20,6.84894
2020-03-21,2.62587
2020-03-22,3.41093
2020-03-23,5.49539
2020-03-24,6.28045
2020-03-25,6.25338
2020-03-26,6.11802
2020-03-27,6.19924
2020-03-28,2.73416
2020-03-29,2.16567
2020-03-30,6.6053
2020-03-31,6.95722
2020-04-01,6.74066
2020-04-02,7.85056
2020-04-03,6.46995
2020-04-04,3.03194
2020-04-05,3.6275
2020-04-06,7.52571
2020-04-07,5.73903
2020-04-08,5.68489
2020-04-09,5.71196
2020-04-10,5.08933
2020-04-11,2.89658
2020-04-12,3.03194
2020-04-13,6.38873
2020-04-14,5.22468
2020-04-15,3.51922
2020-04-16,5.79317
2020-04-17,6.36166
2020-04-18,3.11315
2020-04-19,3.19436
2020-04-20,6.57823
2020-04-21,5.46832
2020-04-22,6.38873
2020-04-23,5.63075
2020-04-24,6.49702
2020-04-25,2.76123
2020-04-26,3.03194
2020-04-27,6.36166
2020-04-28,4.57498
2020-04-29,5.79317
2020-04-30,2.65295
2020-05-01,2.5988
2020-05-02,1.81375
2020-05-03,2.19274
2020-05-04,6.17217
2020-05-05,3.11315
2020-05-06,5.49539
2020-05-07,5.14347
2020-05-08,5.22468
2020-05-09,3.00487
2020-05-10,2.7883
2020-05-11,5.7661
2020-05-12,5.49539
2020-05-13,4.73741
2020-05-14,4.49377
2020-05-15,6.30752
2020-05-16,2.46345
2020-05-17,2.5988
2020-05-18,5.33297
2020-05-19,5.06226
2020-05-20,6.49702
2020-05-21,5.14347
2020-05-22,5.41418
2020-05-23,2.62587
2020-05-24,2.86951
2020-05-25,6.49702
2020-05-26,4.49377
2020-05-27,5.49539
2020-05-28,8.82512
2020-05-29,7.20086
2020-05-30,3.08608
2020-05-31,3.438
2020-06-01,7.36329
2020-06-02,6.90308
2020-06-03,5.54953
2020-06-04,4.60205
2020-06-05,3.97942
2020-06-06,2.21981
2020-06-07,2.35517
2020-06-08,7.11965
2020-06-09,5.17054
2020-06-10,5.17054
2020-06-11,4.9269
2020-06-12,5.38711
2020-06-13,2.38224
2020-06-14,2.30102
2020-06-15,5.36004
2020-06-16,5.82024
2020-06-17,4.57498
2020-06-18,4.65619
2020-06-19,4.60205
2020-06-20,1.86789
2020-06-21,3.03194
2020-06-22,5.79317
2020-06-23,5.22468
2020-06-24,4.9269
2020-06-25,6.00974
2020-06-26,6.25338
2020-06-27,2.65295
2020-06-28,2.76123
2020-06-29,6.46995
2020-06-30,6.22631
2020-07-01,6.57823
2020-07-02,6.7948
2020-07-03,6.63237
2020-07-04,2.89658
2020-07-05,3.03194
2020-07-06,6.57823
2020-07-07,5.27883
2020-07-08,5.36004
2020-07-09,5.1164
2020-07-10,5.17054
2020-07-11,1.89496
2020-07-12,2.65295
2020-07-13,5.36004
2020-07-14,5.54953
2020-07-15,5.46832
2020-07-16,4.9269
2020-07-17,4.62912
2020-07-18,1.89496
2020-07-19,2.27395
2020-07-20,7.68814
2020-07-21,5.82024
2020-07-22,4.65619
2020-07-23,5.14347
2020-07-24,5.36004
2020-07-25,2.54466
2020-07-26,2.38224
2020-07-27,5.92853
2020-07-28,4.68327
2020-07-29,4.16892
2020-07-30,4.2772
2020-07-31,4.95397
2020-08-01,3.57336
2020-08-02,3.22144
2020-08-03,5.19761
2020-08-04,4.62912
2020-08-05,5.33297
2020-08-06,4.76448
2020-08-07,3.89821
2020-08-08,2.54466
2020-08-09,1.97617
2020-08-10,6.63237
2020-08-11,4.06063
2020-08-12,5.06226
2020-08-13,4.30427
2020-08-14,3.57336
2020-08-15,1.27233
2020-08-16,1.9491
2020-08-17,3.57336
2020-08-18,5.19761
2020-08-19,4.95397
2020-08-20,4.57498
2020-08-21,4.14185
2020-08-22,2.51759
2020-08-23,2.89658
2020-08-24,5.03519
2020-08-25,4.4667
2020-08-26,4.35841
2020-08-27,4.2772
2020-08-28,4.68327
2020-08-29,2.11153
2020-08-30,2.49052
2020-08-31,5.1164
2020-09-01,5.33297
2020-09-02,4.71034
2020-09-03,3.24851
2020-09-04,4.76448
2020-09-05,2.19274
2020-09-06,1.84082
2020-09-07,4.57498
2020-09-08,3.817
2020-09-09,3.73578
2020-09-10,4.14185
2020-09-11,4.00649
2020-09-12,1.51597
2020-09-13,2.24688
2020-09-14,4.14185
2020-09-15,5.19761
2020-09-16,5.36004
2020-09-17,4.89983
2020-09-18,5.22468
2020-09-19,2.30102
2020-09-20,2.30102
2020-09-21,5.49539
2020-09-22,5.65782
2020-09-23,4.35841
2020-09-24,5.54953
2020-09-25,5.57661
2020-09-26,3.08608
2020-09-27,5.03519
2020-09-28,7.39036
2020-09-29,5.98267
2020-09-30,1.86789
2020-10-01,1.75961
2020-10-02,2.21981
2020-10-03,3.41093
2020-10-04,3.46507
2020-10-05,7.87763
2020-10-06,6.22631
2020-10-07,6.03681
2020-10-08,6.00974
2020-10-09,3.78992
2020-10-10,2.76123
2020-10-11,3.05901
2020-10-12,6.95722
2020-10-13,5.38711
2020-10-14,5.84731
2020-10-15,6.98429
2020-10-16,6.76773
2020-10-17,2.49052
2020-10-18,2.65295
2020-10-19,6.44288
2020-10-20,5.73903
2020-10-21,6.68651
2020-10-22,4.76448
2020-10-23,4.41256
2020-10-24,2.40931
2020-10-25,2.73416
2020-10-26,5.49539
2020-10-27,5.33297
2020-10-28,4.76448
2020-10-29,5.14347
2020-10-30,4.62912
2020-10-31,2.16567
2020-11-01,2.84244
2020-11-02,5.68489
2020-11-03,4.16892
2020-11-04,4.11478
