date,알트코인
2020-11-07,1.07901
2020-11-08,0.5637
2020-11-09,0.64111
2020-11-10,0.48386
2020-11-11,0.5395
2020-11-12,0.42096
2020-11-13,0.71853
2020-11-14,0.38467
2020-11-15,0.35805
2020-11-16,0.41612
2020-11-17,0.59757
2020-11-18,2.88624
2020-11-19,1.39594
2020-11-20,1.679
2020-11-21,2.77011
2020-11-22,2.37334
2020-11-23,3.08946
2020-11-24,9.40146
2020-11-25,4.30396
2020-11-26,2.81124
2020-11-27,1.44917
2020-11-28,1.03546
2020-11-29,1.09836
2020-11-30,1.13223
2020-12-01,1.94512
2020-12-02,1.57981
2020-12-03,1.23143
2020-12-04,2.12899
2020-12-05,1.17336
2020-12-06,0.9024
2020-12-07,1.1903
2020-12-08,0.84192
2020-12-09,0.88788
2020-12-10,0.53708
2020-12-11,0.51773
2020-12-12,0.4016
2020-12-13,0.3895
2020-12-14,0.52257
2020-12-15,0.50563
2020-12-16,0.60482
2020-12-17,2.22335
2020-12-18,2.06609
2020-12-19,1.2653
2020-12-20,1.51933
2020-12-21,1.38142
2020-12-22,1.07901
2020-12-23,1.77577
2020-12-24,2.39996
2020-12-25,1.0403
2020-12-26,1.83142
2020-12-27,4.51202
2020-12-28,2.80156
2020-12-29,2.1169
2020-12-30,1.86287
2020-12-31,2.14835
2021-01-01,1.70561
2021-01-02,2.40963
2021-01-03,5.96361
2021-01-04,5.81845
2021-01-05,2.86688
2021-01-06,3.57816
2021-01-07,4.81201
2021-01-08,5.17975
2021-01-09,5.70958
2021-01-10,7.67165
2021-01-11,6.95311
2021-01-12,4.36202
2021-01-13,2.71689
2021-01-14,2.69269
2021-01-15,2.48705
2021-01-16,2.68544
2021-01-17,2.85721
2021-01-18,2.35399
2021-01-19,2.35399
2021-01-20,2.39028
2021-01-21,1.80964
2021-01-22,1.78061
2021-01-23,1.27739
2021-01-24,1.20965
2021-01-25,1.80239
2021-01-26,1.27981
2021-01-27,1.2532
2021-01-28,0.88546
2021-01-29,1.1153
2021-01-30,0.94111
2021-01-31,1.22659
2021-02-01,2.24028
2021-02-02,1.78303
2021-02-03,1.53868
2021-02-04,1.75884
2021-02-05,1.63061
2021-02-06,1.98625
2021-02-07,1.66448
2021-02-08,2.24028
2021-02-09,4.12009
2021-02-10,3.36042
2021-02-11,3.29994
2021-02-12,3.37494
2021-02-13,4.41767
2021-02-14,6.24667
2021-02-15,7.36923
2021-02-16,4.63057
2021-02-17,6.21522
2021-02-18,9.45226
2021-02-19,15.45217
2021-02-20,12.49092
2021-02-21,10.13935
2021-02-22,10.5216
2021-02-23,9.33855
2021-02-24,5.57894
2021-02-25,4.60879
2021-02-26,3.85638
2021-02-27,3.20559
2021-02-28,3.31446
2021-03-01,3.07495
2021-03-02,3.0314
2021-03-03,4.11767
2021-03-04,4.08138
2021-03-05,3.47171
2021-03-06,2.49189
2021-03-07,2.76527
2021-03-08,3.80316
2021-03-09,5.50152
2021-03-10,5.29104
2021-03-11,5.17733
2021-03-12,4.94508
2021-03-13,9.11114
2021-03-14,8.22083
2021-03-15,9.14985
2021-03-16,9.9458
2021-03-17,14.02477
2021-03-18,9.0192
2021-03-19,8.69502
2021-03-20,11.04659
2021-03-21,12.47883
2021-03-22,11.52078
2021-03-23,11.25465
2021-03-24,6.72327
2021-03-25,6.4136
2021-03-26,4.80476
2021-03-27,4.52895
2021-03-28,4.89185
2021-03-29,6.37489
2021-03-30,8.07809
2021-03-31,9.2563
2021-04-01,10.78047
2021-04-02,19.75371
2021-04-03,23.97058
2021-04-04,16.23118
2021-04-05,21.61174
2021-04-06,33.74703
2021-04-07,55.05878
2021-04-08,19.43194
2021-04-09,12.78124
2021-04-10,12.43286
2021-04-11,15.0312
2021-04-12,18.37228
2021-04-13,100.0
2021-04-14,51.23143
2021-04-15,30.86321
2021-04-16,45.71539
2021-04-17,29.02453
2021-04-18,26.16006
2021-04-19,31.29868
2021-04-20,28.16325
2021-04-21,23.66332
2021-04-22,27.18827
2021-04-23,26.98988
2021-04-24,11.17965
2021-04-25,11.38288
2021-04-26,10.18048
2021-04-27,9.93371
2021-04-28,8.32244
2021-04-29,7.16117
2021-04-30,8.36115
2021-05-01,7.7031
2021-05-02,6.89988
2021-05-03,9.595
2021-05-04,11.27885
2021-05-05,10.30628
2021-05-06,12.93124
2021-05-07,15.02395
2021-05-08,11.83045
2021-05-09,9.66032
2021-05-10,11.20143
2021-05-11,12.60463
2021-05-12,8.64421
2021-05-13,9.45226
2021-05-14,4.85798
2021-05-15,4.00154
2021-05-16,7.84584
2021-05-17,8.8063
2021-05-18,4.91604
2021-05-19,9.49097
2021-05-20,7.38133
2021-05-21,4.84588
2021-05-22,5.86684
2021-05-23,6.05312
2021-05-24,10.4345
2021-05-25,4.42976
2021-05-26,3.55155
2021-05-27,2.77979
2021-05-28,2.58382
2021-05-29,1.95722
2021-05-30,1.94512
2021-05-31,2.18464
2021-06-01,1.90158
2021-06-02,1.60158
2021-06-03,1.94754
2021-06-04,2.1798
2021-06-05,1.25078
2021-06-06,1.67174
2021-06-07,1.76368
2021-06-08,2.28867
2021-06-09,1.70077
2021-06-10,1.78303
2021-06-11,5.72652
2021-06-12,6.54908
2021-06-13,2.34915
2021-06-14,2.86205
2021-06-15,1.77819
2021-06-16,1.604
2021-06-17,1.59674
2021-06-18,1.39836
2021-06-19,1.14191
2021-06-20,1.4032
2021-06-21,2.40963
2021-06-22,3.36042
2021-06-23,2.3177
2021-06-24,1.57255
2021-06-25,1.21449
2021-06-26,1.08143
2021-06-27,0.85159
2021-06-28,1.15643
2021-06-29,2.14351
2021-06-30,1.09111
2021-07-01,0.95562
2021-07-02,0.70644
2021-07-03,0.80321
2021-07-04,1.01127
2021-07-05,1.3282
2021-07-06,0.86369
2021-07-07,0.94595
2021-07-08,1.06933
2021-07-09,0.94837
2021-07-10,0.66773
2021-07-11,0.42579
2021-07-12,0.6145
2021-07-13,0.69192
2021-07-14,0.88788
2021-07-15,0.65079
2021-07-16,0.65563
2021-07-17,0.65563
2021-07-18,0.52741
2021-07-19,0.67498
2021-07-20,1.06691
2021-07-21,0.59273
2021-07-22,0.50805
2021-07-23,0.53466
2021-07-24,0.58789
2021-07-25,0.52015
2021-07-26,1.26772
2021-07-27,0.86369
2021-07-28,1.06449
2021-07-29,0.84917
2021-07-30,1.04514
2021-07-31,0.84917
2021-08-01,1.05966
2021-08-02,0.7645
2021-08-03,0.61934
2021-08-04,0.51773
2021-08-05,1.45884
2021-08-06,1.17336
2021-08-07,1.27981
2021-08-08,2.26447
2021-08-09,1.23627
2021-08-10,1.32578
2021-08-11,1.64997
2021-08-12,2.12415
2021-08-13,1.62094
2021-08-14,1.85077
2021-08-15,1.8798
2021-08-16,2.72898
2021-08-17,2.26931
2021-08-18,1.829
2021-08-19,3.23946
2021-08-20,1.91367
2021-08-21,1.9548
2021-08-22,1.40078
2021-08-23,2.60318
2021-08-24,2.17254
2021-08-25,1.69835
2021-08-26,1.50723
2021-08-27,1.36449
2021-08-28,1.13949
2021-08-29,1.22417
2021-08-30,1.1903
2021-08-31,5.42652
2021-09-01,3.17656
2021-09-02,2.48221
2021-09-03,2.93463
2021-09-04,2.98543
2021-09-05,3.64107
2021-09-06,3.95316
2021-09-07,3.7209
2021-09-08,4.96685
2021-09-09,1.5532
2021-09-10,1.46368
2021-09-11,1.29433
2021-09-12,1.18788
2021-09-13,1.47578
2021-09-14,1.06691
2021-09-15,1.03304
