date,O2O
2020-03-20,9.91516
2020-03-21,5.27571
2020-03-22,5.38176
2020-03-23,11.55885
2020-03-24,11.77094
2020-03-25,11.77094
2020-03-26,10.81654
2020-03-27,10.44538
2020-03-28,6.33616
2020-03-29,6.99893
2020-03-30,11.39978
2020-03-31,11.93001
2020-04-01,12.35418
2020-04-02,12.53976
2020-04-03,11.16118
2020-04-04,5.85896
2020-04-05,6.97242
2020-04-06,12.8579
2020-04-07,12.27465
2020-04-08,12.59278
2020-04-09,12.59278
2020-04-10,9.96818
2020-04-11,4.93107
2020-04-12,7.13149
2020-04-13,12.24814
2020-04-14,12.59278
2020-04-15,6.70731
2020-04-16,12.00954
2020-04-17,12.24814
2020-04-18,5.4878
2020-04-19,6.65429
2020-04-20,12.91092
2020-04-21,13.52067
2020-04-22,12.00954
2020-04-23,11.00212
2020-04-24,10.41887
2020-04-25,5.965
2020-04-26,5.30222
2020-04-27,12.64581
2020-04-28,12.06256
2020-04-29,10.92258
2020-04-30,5.54082
2020-05-01,6.73382
2020-05-02,4.71898
2020-05-03,6.17709
2020-05-04,10.18027
2020-05-05,7.55567
2020-05-06,13.01696
2020-05-07,100.0
2020-05-08,18.8229
2020-05-09,8.77518
2020-05-10,7.66171
2020-05-11,12.6193
2020-05-12,10.94909
2020-05-13,10.20678
2020-05-14,11.13467
2020-05-15,9.57051
2020-05-16,29.90455
2020-05-17,14.36903
2020-05-18,15.29692
2020-05-19,13.94485
2020-05-20,11.82396
2020-05-21,11.71792
2020-05-22,10.65747
2020-05-23,6.38918
2020-05-24,5.67338
2020-05-25,13.04347
2020-05-26,12.32767
2020-05-27,10.07423
2020-05-28,10.84305
2020-05-29,10.18027
2020-05-30,5.19618
2020-05-31,6.07104
2020-06-01,11.00212
2020-06-02,11.2142
2020-06-03,9.99469
2020-06-04,9.80911
2020-06-05,8.05938
2020-06-06,5.27571
2020-06-07,6.70731
2020-06-08,12.8579
2020-06-09,12.40721
2020-06-10,11.29374
2020-06-11,11.29374
2020-06-12,10.36585
2020-06-13,5.40827
2020-06-14,6.04453
2020-06-15,11.85047
2020-06-16,10.44538
2020-06-17,10.4984
2020-06-18,10.04772
2020-06-19,9.14634
2020-06-20,5.16967
