date,성장주
2020-03-20,8.52417
2020-03-21,5.85241
2020-03-22,6.2977
2020-03-23,6.17048
2020-03-24,10.55979
2020-03-25,9.03307
2020-03-26,9.41475
2020-03-27,6.743
2020-03-28,4.96183
2020-03-29,5.08905
2020-03-30,7.2519
2020-03-31,19.59287
2020-04-01,16.41221
2020-04-02,6.743
2020-04-03,6.17048
2020-04-04,6.23409
2020-04-05,5.59796
2020-04-06,11.00508
2020-04-07,6.99745
2020-04-08,5.97964
2020-04-09,6.04325
2020-04-10,5.15267
2020-04-11,7.95165
2020-04-12,5.53435
2020-04-13,5.34351
2020-04-14,5.15267
2020-04-15,4.58015
2020-04-16,46.81933
2020-04-17,18.82951
2020-04-18,9.22391
2020-04-19,7.31552
2020-04-20,6.743
2020-04-21,7.56997
2020-04-22,9.92366
2020-04-23,7.82442
2020-04-24,5.91603
2020-04-25,4.77099
2020-04-26,5.02544
2020-04-27,3.75318
2020-04-28,6.61577
2020-04-29,5.40712
2020-04-30,4.58015
2020-05-01,3.11704
2020-05-02,2.73536
2020-05-03,5.21628
2020-05-04,4.32569
2020-05-05,4.77099
2020-05-06,5.40712
2020-05-07,8.77862
2020-05-08,6.61577
2020-05-09,6.17048
2020-05-10,5.66157
2020-05-11,10.05089
2020-05-12,7.18829
2020-05-13,7.82442
2020-05-14,5.27989
2020-05-15,5.7888
2020-05-16,5.08905
2020-05-17,4.96183
2020-05-18,6.93384
2020-05-19,5.53435
2020-05-20,6.10687
2020-05-21,6.80661
2020-05-22,4.77099
2020-05-23,4.70737
2020-05-24,5.72519
2020-05-25,9.54198
2020-05-26,37.40458
2020-05-27,12.15012
2020-05-28,12.27735
2020-05-29,11.19592
2020-05-30,11.64122
2020-05-31,10.43256
2020-06-01,7.88804
2020-06-02,8.65139
2020-06-03,9.60559
2020-06-04,13.67684
2020-06-05,11.45038
2020-06-06,10.05089
2020-06-07,8.33333
2020-06-08,9.54198
2020-06-09,9.60559
2020-06-10,12.21374
2020-06-11,23.6005
2020-06-12,19.52926
2020-06-13,10.1145
2020-06-14,8.90585
2020-06-15,18.63867
2020-06-16,12.72264
2020-06-17,23.53689
2020-06-18,11.76844
2020-06-19,16.41221
2020-06-20,10.49618
2020-06-21,19.59287
2020-06-22,14.12213
2020-06-23,13.10432
2020-06-24,11.0687
2020-06-25,13.42239
2020-06-26,10.81424
2020-06-27,6.10687
2020-06-28,6.67938
2020-06-29,6.67938
2020-06-30,7.6972
2020-07-01,6.23409
2020-07-02,8.71501
2020-07-03,6.87022
2020-07-04,5.53435
2020-07-05,6.23409
2020-07-06,9.28753
2020-07-07,8.58778
2020-07-08,7.95165
2020-07-09,19.65648
2020-07-10,7.31552
2020-07-11,4.32569
2020-07-12,6.42493
2020-07-13,11.5776
2020-07-14,7.95165
2020-07-15,9.22391
2020-07-16,9.86005
2020-07-17,10.87786
2020-07-18,17.11195
2020-07-19,13.23155
2020-07-20,9.66921
2020-07-21,13.86768
2020-07-22,41.53944
2020-07-23,40.52162
2020-07-24,17.17557
2020-07-25,13.99491
2020-07-26,16.15776
2020-07-27,22.01017
2020-07-28,25.69974
2020-07-29,13.486
2020-07-30,15.07633
2020-07-31,10.94147
2020-08-01,10.30534
2020-08-02,12.40458
2020-08-03,17.23918
2020-08-04,16.66666
2020-08-05,15.64885
2020-08-06,14.24936
2020-08-07,36.70483
2020-08-08,21.37404
2020-08-09,18.19338
2020-08-10,17.93893
2020-08-11,23.85496
2020-08-12,31.42493
2020-08-13,28.24427
2020-08-14,32.31552
2020-08-15,17.8117
2020-08-16,20.92875
2020-08-17,22.32824
2020-08-18,19.21119
2020-08-19,17.68447
2020-08-20,17.04834
2020-08-21,18.70229
2020-08-22,12.46819
2020-08-23,12.46819
2020-08-24,37.72264
2020-08-25,11.64122
2020-08-26,15.58524
2020-08-27,20.48346
2020-08-28,22.83715
2020-08-29,15.01272
2020-08-30,18.44783
2020-08-31,14.9491
2020-09-01,13.04071
2020-09-02,13.74045
2020-09-03,15.07633
2020-09-04,16.98473
2020-09-05,11.25954
2020-09-06,11.00508
2020-09-07,12.59541
2020-09-08,16.22137
2020-09-09,16.66666
2020-09-10,20.92875
2020-09-11,19.08396
2020-09-12,10.6234
2020-09-13,10.49618
2020-09-14,27.79898
2020-09-15,28.18066
2020-09-16,20.86513
2020-09-17,18.44783
2020-09-18,11.38676
2020-09-19,9.28753
2020-09-20,10.17811
2020-09-21,8.46055
2020-09-22,11.0687
2020-09-23,9.79643
2020-09-24,11.51399
2020-09-25,9.09669
2020-09-26,6.99745
2020-09-27,8.46055
2020-09-28,11.45038
2020-09-29,6.67938
2020-09-30,4.26208
2020-10-01,7.12468
2020-10-02,6.55216
2020-10-03,8.58778
2020-10-04,9.98727
2020-10-05,14.9491
2020-10-06,13.04071
2020-10-07,12.91348
2020-10-08,12.65903
2020-10-09,8.39694
2020-10-10,8.33333
2020-10-11,9.03307
2020-10-12,11.13231
2020-10-13,11.00508
2020-10-14,8.39694
2020-10-15,11.25954
2020-10-16,6.55216
2020-10-17,8.2061
2020-10-18,13.04071
2020-10-19,17.11195
2020-10-20,10.81424
2020-10-21,18.7659
2020-10-22,11.00508
