date,호주달러환율
2020-03-20,54.55861
2020-03-21,19.27641
2020-03-22,17.39507
2020-03-23,45.81765
2020-03-24,38.43704
2020-03-25,32.64833
2020-03-26,36.90303
2020-03-27,31.57742
2020-03-28,16.55571
2020-03-29,12.18523
2020-03-30,28.94356
2020-03-31,26.80173
2020-04-01,25.90448
2020-04-02,26.10709
2020-04-03,23.06801
2020-04-04,13.42981
2020-04-05,10.65123
2020-04-06,23.06801
2020-04-07,21.3314
2020-04-08,20.69464
2020-04-09,20.05788
2020-04-10,21.04196
2020-04-11,12.64833
2020-04-12,9.60926
2020-04-13,20.98408
2020-04-14,20.2026
2020-04-15,11.34587
2020-04-16,16.09261
2020-04-17,16.58465
2020-04-18,8.16208
2020-04-19,8.0463
2020-04-20,17.77134
2020-04-21,18.20549
2020-04-22,18.84225
2020-04-23,15.4848
2020-04-24,14.87698
2020-04-25,9.11722
2020-04-26,6.16497
2020-04-27,16.90303
2020-04-28,16.98986
2020-04-29,14.06657
2020-04-30,8.3068
2020-05-01,9.23299
2020-05-02,6.85962
2020-05-03,6.65701
2020-05-04,13.63241
2020-05-05,8.36468
2020-05-06,14.12445
2020-05-07,13.51664
2020-05-08,13.86396
2020-05-09,5.96237
2020-05-10,5.67293
2020-05-11,12.90882
2020-05-12,13.40086
2020-05-13,10.91172
2020-05-14,11.4327
2020-05-15,10.70911
2020-05-16,5.87554
2020-05-17,4.10998
2020-05-18,10.65123
2020-05-19,14.58755
2020-05-20,12.70622
2020-05-21,13.51664
2020-05-22,11.83791
2020-05-23,6.94645
2020-05-24,5.81765
2020-05-25,12.61939
2020-05-26,14.99276
2020-05-27,15.07959
2020-05-28,13.48769
2020-05-29,13.57452
2020-05-30,7.67004
2020-05-31,4.94934
2020-06-01,16.41099
2020-06-02,14.90593
2020-06-03,17.88712
2020-06-04,18.17655
2020-06-05,16.87409
2020-06-06,6.57018
2020-06-07,5.93342
2020-06-08,12.18523
2020-06-09,17.59768
2020-06-10,21.62083
2020-06-11,14.76121
2020-06-12,13.42981
2020-06-13,5.20984
2020-06-14,4.51519
2020-06-15,11.31693
2020-06-16,10.88277
2020-06-17,9.11722
2020-06-18,10.33285
2020-06-19,8.62518
2020-06-20,5.09406
2020-06-21,4.94934
2020-06-22,10.24602
2020-06-23,9.81186
2020-06-24,9.20405
2020-06-25,9.29088
2020-06-26,8.24891
2020-06-27,4.68885
2020-06-28,3.99421
2020-06-29,10.04341
2020-06-30,8.59623
2020-07-01,9.03039
2020-07-02,8.76989
2020-07-03,6.39652
2020-07-04,4.2547
2020-07-05,5.3835
2020-07-06,9.95658
2020-07-07,8.36468
2020-07-08,8.36468
2020-07-09,9.55137
2020-07-10,8.01736
2020-07-11,4.22575
2020-07-12,7.14905
2020-07-13,10.99855
2020-07-14,10.39073
2020-07-15,8.36468
2020-07-16,6.94645
2020-07-17,7.35166
2020-07-18,5.35455
2020-07-19,5.99131
2020-07-20,10.767
2020-07-21,8.71201
2020-07-22,8.94356
2020-07-23,9.78292
2020-07-24,7.98842
2020-07-25,4.9204
2020-07-26,5.23878
2020-07-27,10.18813
2020-07-28,8.82778
2020-07-29,8.53835
2020-07-30,9.55137
2020-07-31,8.88567
2020-08-01,5.67293
2020-08-02,4.05209
2020-08-03,10.01447
2020-08-04,9.14616
2020-08-05,11.05643
2020-08-06,9.78292
2020-08-07,9.37771
2020-08-08,4.65991
2020-08-09,4.97829
2020-08-10,10.13024
2020-08-11,10.44862
2020-08-12,8.56729
2020-08-13,9.55137
2020-08-14,7.43849
2020-08-15,4.31259
2020-08-16,3.44428
2020-08-17,5.84659
2020-08-18,8.36468
2020-08-19,8.27785
2020-08-20,8.82778
2020-08-21,8.45151
2020-08-22,4.16787
2020-08-23,4.28364
2020-08-24,11.92474
2020-08-25,8.76989
2020-08-26,8.16208
2020-08-27,9.26193
2020-08-28,9.20405
2020-08-29,5.15195
2020-08-30,4.94934
2020-08-31,12.64833
2020-09-01,15.25325
2020-09-02,10.24602
2020-09-03,11.69319
2020-09-04,9.52243
2020-09-05,5.44138
2020-09-06,5.81765
2020-09-07,10.88277
2020-09-08,10.94066
2020-09-09,11.66425
2020-09-10,9.72503
2020-09-11,9.31982
2020-09-12,5.84659
2020-09-13,5.12301
2020-09-14,10.21707
2020-09-15,10.73806
2020-09-16,10.82489
2020-09-17,9.26193
2020-09-18,9.40665
2020-09-19,6.30969
2020-09-20,3.76266
2020-09-21,10.18813
2020-09-22,9.86975
2020-09-23,9.49348
2020-09-24,10.9696
2020-09-25,9.26193
2020-09-26,5.09406
2020-09-27,4.34153
2020-09-28,8.71201
2020-09-29,7.43849
2020-09-30,5.35455
2020-10-01,4.9204
2020-10-02,4.97829
2020-10-03,3.99421
2020-10-04,4.94934
2020-10-05,10.47756
2020-10-06,9.23299
2020-10-07,8.36468
2020-10-08,7.58321
2020-10-09,4.60202
2020-10-10,4.77568
2020-10-11,5.15195
2020-10-12,8.16208
2020-10-13,8.01736
2020-10-14,9.08827
2020-10-15,9.6382
2020-10-16,9.58031
2020-10-17,3.96526
2020-10-18,4.42836
2020-10-19,8.91461
2020-10-20,10.1013
2020-10-21,10.13024
2020-10-22,8.9725
2020-10-23,8.19102
2020-10-24,4.97829
2020-10-25,3.73371
2020-10-26,9.81186
2020-10-27,9.78292
2020-10-28,7.72793
2020-10-29,10.18813
2020-10-30,9.6382
2020-10-31,4.08104
2020-11-01,3.70477
2020-11-02,10.21707
2020-11-03,9.55137
2020-11-04,10.24602
2020-11-05,11.40376
2020-11-06,10.73806
2020-11-07,5.3835
2020-11-08,3.93632
2020-11-09,12.44573
2020-11-10,11.14327
2020-11-11,9.81186
2020-11-12,8.9725
2020-11-13,9.69609
2020-11-14,4.68885
2020-11-15,4.57308
2020-11-16,10.04341
2020-11-17,8.74095
2020-11-18,9.60926
2020-11-19,10.9696
