date,사망보험가입
2020-03-20,24.48979
2020-03-21,10.20408
2020-03-23,34.69387
2020-03-24,34.69387
2020-03-25,28.57142
2020-03-26,16.32653
2020-03-27,51.0204
2020-03-28,16.32653
2020-03-29,10.20408
2020-03-30,18.36734
2020-03-31,42.85714
2020-04-01,28.57142
2020-04-02,20.40816
2020-04-03,22.44897
2020-04-04,10.20408
2020-04-05,14.28571
2020-04-06,42.85714
2020-04-07,22.44897
2020-04-09,12.24489
2020-04-11,14.28571
2020-04-12,12.24489
2020-04-13,22.44897
2020-04-14,40.81632
2020-04-16,20.40816
2020-04-17,18.36734
2020-04-18,53.06122
2020-04-19,83.67346
2020-04-20,30.61224
2020-04-21,20.40816
2020-04-22,38.77551
2020-04-23,22.44897
2020-04-24,20.40816
2020-04-25,26.53061
2020-04-26,26.53061
2020-04-27,18.36734
2020-04-28,18.36734
2020-04-29,28.57142
2020-04-30,26.53061
2020-05-01,18.36734
2020-05-03,24.48979
2020-05-04,18.36734
2020-05-06,20.40816
2020-05-07,10.20408
2020-05-08,24.48979
2020-05-09,12.24489
2020-05-10,18.36734
2020-05-11,18.36734
2020-05-12,22.44897
2020-05-13,30.61224
2020-05-14,16.32653
2020-05-15,18.36734
2020-05-16,30.61224
2020-05-17,26.53061
2020-05-18,26.53061
2020-05-20,18.36734
2020-05-21,22.44897
2020-05-22,28.57142
2020-05-23,20.40816
2020-05-24,16.32653
2020-05-25,16.32653
2020-05-26,18.36734
2020-05-27,12.24489
2020-05-28,28.57142
2020-05-30,18.36734
2020-05-31,28.57142
2020-06-01,34.69387
2020-06-02,14.28571
2020-06-03,12.24489
2020-06-04,22.44897
2020-06-05,14.28571
2020-06-06,14.28571
2020-06-08,40.81632
2020-06-09,28.57142
2020-06-11,16.32653
2020-06-12,18.36734
2020-06-14,16.32653
2020-06-15,71.42857
2020-06-16,16.32653
2020-06-17,12.24489
2020-06-18,22.44897
2020-06-19,12.24489
2020-06-20,24.48979
2020-06-21,16.32653
2020-06-22,10.20408
2020-06-23,12.24489
2020-06-24,20.40816
2020-06-25,30.61224
2020-06-26,20.40816
2020-06-27,20.40816
2020-06-29,38.77551
2020-06-30,24.48979
2020-07-01,16.32653
2020-07-02,38.77551
2020-07-03,14.28571
2020-07-05,22.44897
2020-07-06,22.44897
2020-07-07,18.36734
2020-07-08,12.24489
2020-07-09,10.20408
2020-07-10,18.36734
2020-07-11,12.24489
2020-07-12,22.44897
2020-07-13,28.57142
2020-07-14,24.48979
