date,지역주택조합
2020-03-20,26.01665
2020-03-21,22.83194
2020-03-22,27.24154
2020-03-23,32.04311
2020-03-24,30.37726
2020-03-25,26.99657
2020-03-26,28.61342
2020-03-27,26.99657
2020-03-28,21.50906
2020-03-29,22.88094
2020-03-30,32.63106
2020-03-31,41.35227
2020-04-01,30.91621
2020-04-02,27.53552
2020-04-03,25.86967
2020-04-04,20.97011
2020-04-05,24.93875
2020-04-06,32.97403
2020-04-07,32.38608
2020-04-08,32.97403
2020-04-09,26.21264
2020-04-10,28.8094
2020-04-11,25.23272
2020-04-12,24.64478
2020-04-13,29.10338
2020-04-14,29.29936
2020-04-15,20.92111
2020-04-16,29.39735
2020-04-17,27.7315
2020-04-18,24.49779
2020-04-19,24.00783
2020-04-20,31.21019
2020-04-21,36.89367
2020-04-22,31.74914
2020-04-23,31.16119
2020-04-24,29.34835
2020-04-25,24.20382
2020-04-26,24.25281
2020-04-27,36.94267
2020-04-28,31.70014
2020-04-29,29.78931
2020-04-30,22.97893
2020-05-01,25.23272
2020-05-02,23.2729
2020-05-03,22.63596
2020-05-04,26.75159
2020-05-05,27.04556
2020-05-06,35.96276
2020-05-07,35.91376
2020-05-08,27.7315
2020-05-09,23.07692
2020-05-10,26.45761
2020-05-11,33.36599
2020-05-12,31.74914
2020-05-13,29.74032
2020-05-14,32.33708
2020-05-15,26.70259
2020-05-16,24.69377
2020-05-17,25.03674
2020-05-18,43.99804
2020-05-19,37.97158
2020-05-20,37.82459
2020-05-21,34.78686
2020-05-22,33.80695
2020-05-23,28.17246
2020-05-24,30.86722
2020-05-25,46.39882
2020-05-26,38.51053
2020-05-27,36.89367
2020-05-28,46.34982
2020-05-29,36.89367
2020-05-30,30.96521
2020-05-31,27.04556
2020-06-01,37.04066
2020-06-02,44.341
2020-06-03,43.41009
2020-06-04,37.53062
2020-06-05,42.52817
2020-06-06,38.75551
2020-06-07,35.03184
2020-06-08,38.8045
2020-06-09,41.15629
2020-06-10,48.50563
2020-06-11,43.2631
2020-06-12,44.83096
2020-06-13,30.62224
2020-06-14,31.84713
2020-06-15,45.22292
2020-06-16,48.7996
2020-06-17,46.44781
2020-06-18,46.74179
2020-06-19,42.08721
