date,코스닥지수
2020-03-20,74.39498
2020-03-21,8.13418
2020-03-22,5.34532
2020-03-23,72.94498
2020-03-24,59.04612
2020-03-25,55.3529
2020-03-26,60.04142
2020-03-27,60.7639
2020-03-28,5.46152
2020-03-29,3.14757
2020-03-30,56.22694
2020-03-31,45.31905
2020-04-01,57.90936
2020-04-02,52.72571
2020-04-03,44.2126
2020-04-04,4.7542
2020-04-05,3.03642
2020-04-06,37.58399
2020-04-07,43.73768
2020-04-08,42.22199
2020-04-09,36.33102
2020-04-10,49.58318
2020-04-11,4.06709
2020-04-12,3.32945
2020-04-13,45.26852
2020-04-14,35.27004
2020-04-15,4.44601
2020-04-16,38.11448
2020-04-17,33.56237
2020-04-18,3.49618
2020-04-19,2.15227
2020-04-20,32.67821
2020-04-21,47.81488
2020-04-22,40.30717
2020-04-23,29.11635
2020-04-24,36.21482
2020-04-25,2.78886
2020-04-26,1.84408
2020-04-27,26.32748
2020-04-28,32.29929
2020-04-29,27.10049
2020-04-30,2.8697
2020-05-01,3.27388
2020-05-02,1.67736
2020-05-03,1.18728
2020-05-04,26.55989
2020-05-05,2.78381
2020-05-06,22.67973
2020-05-07,22.74541
2020-05-08,20.92659
2020-05-09,2.71813
2020-05-10,1.61673
2020-05-11,26.65083
2020-05-12,28.68185
2020-05-13,25.72626
2020-05-14,27.22679
2020-05-15,23.32642
2020-05-16,2.01081
2020-05-17,1.38432
2020-05-18,22.06335
2020-05-19,24.47329
2020-05-20,23.09402
2020-05-21,21.6137
2020-05-22,25.02399
2020-05-23,1.9906
2020-05-24,1.5561
2020-05-25,22.2806
2020-05-26,21.51265
2020-05-27,23.70535
2020-05-28,35.81064
2020-05-29,25.9233
2020-05-30,1.70262
2020-05-31,1.21254
2020-06-01,20.7447
2020-06-02,20.92659
2020-06-03,25.0442
2020-06-04,24.17521
2020-06-05,21.45708
2020-06-06,2.12196
2020-06-07,1.62178
2020-06-08,23.20012
2020-06-09,23.29106
2020-06-10,21.27519
2020-06-11,25.90309
2020-06-12,29.46496
2020-06-13,1.91987
2020-06-14,1.27317
2020-06-15,43.42444
2020-06-16,31.67786
2020-06-17,34.66882
2020-06-18,26.94892
2020-06-19,23.38705
2020-06-20,2.15732
2020-06-21,1.40958
2020-06-22,23.18496
2020-06-23,25.01389
2020-06-24,20.25463
2020-06-25,26.05971
2020-06-26,24.03374
2020-06-27,2.18764
2020-06-28,1.47021
2020-06-29,27.3632
2020-06-30,22.07851
2020-07-01,24.79664
2020-07-02,19.39574
2020-07-03,19.03703
2020-07-04,1.58641
2020-07-05,1.1115
2020-07-06,17.74869
2020-07-07,22.15429
2020-07-08,18.99156
2020-07-09,18.21856
2020-07-10,20.0677
2020-07-11,1.54094
2020-07-12,0.99024
2020-07-13,16.79381
2020-07-14,21.11857
2020-07-15,18.29434
2020-07-16,21.88652
2020-07-17,17.61733
2020-07-18,1.40958
2020-07-19,1.02056
2020-07-20,18.81473
2020-07-21,17.33441
2020-07-22,18.43581
2020-07-23,21.88147
2020-07-24,21.68443
2020-07-25,2.0007
2020-07-26,1.54094
2020-07-27,17.23336
2020-07-28,17.73859
2020-07-29,18.62274
2020-07-30,17.17273
2020-07-31,18.00636
2020-08-01,1.87945
2020-08-02,1.26812
2020-08-03,17.75375
2020-08-04,17.07169
2020-08-05,18.05688
2020-08-06,19.40079
2020-08-07,31.37472
2020-08-08,2.90506
2020-08-09,2.16743
2020-08-10,28.14631
2020-08-11,31.41009
2020-08-12,51.16455
2020-08-13,34.92143
2020-08-14,44.83403
2020-08-15,2.91517
2020-08-16,2.07649
2020-08-17,4.91082
2020-08-18,60.07679
2020-08-19,36.12388
2020-08-20,60.31425
2020-08-21,42.95963
2020-08-22,2.97579
2020-08-23,2.23311
2020-08-24,29.56095
2020-08-25,25.64543
2020-08-26,29.8944
2020-08-27,34.0777
2020-08-28,27.57035
2020-08-29,2.34426
2020-08-30,1.66725
2020-08-31,28.86879
2020-09-01,23.28095
2020-09-02,25.13514
2020-09-03,22.513
2020-09-04,36.36639
2020-09-05,3.04147
2020-09-06,2.17248
2020-09-07,25.34229
2020-09-08,25.09473
2020-09-09,29.97524
2020-09-10,24.28636
2020-09-11,29.18203
2020-09-12,2.42509
2020-09-13,1.73293
2020-09-14,22.44732
2020-09-15,23.23043
2020-09-16,28.0099
2020-09-17,31.89511
2020-09-18,27.70676
2020-09-19,2.3291
2020-09-20,1.71272
2020-09-21,36.50785
2020-09-22,44.58646
2020-09-23,45.52619
2020-09-24,59.65745
2020-09-25,38.30141
2020-09-26,3.15262
2020-09-27,2.60192
2020-09-28,26.54473
2020-09-29,23.79123
2020-09-30,2.49583
2020-10-01,1.6723
2020-10-02,1.84408
2020-10-03,1.38938
2020-10-04,1.34896
2020-10-05,22.27049
2020-10-06,22.67973
2020-10-07,22.55848
2020-10-08,20.66387
2020-10-09,2.29374
2020-10-10,1.37927
2020-10-11,1.04582
2020-10-12,21.1792
2020-10-13,26.76703
2020-10-14,26.19612
2020-10-15,38.24584
2020-10-16,39.52912
2020-10-17,3.30419
2020-10-18,2.14217
2020-10-19,35.6136
2020-10-20,48.10286
2020-10-21,35.95715
2020-10-22,43.94482
2020-10-23,40.37285
2020-10-24,3.51134
2020-10-25,2.39983
2020-10-26,100.0
2020-10-27,61.67331
2020-10-28,43.08593
2020-10-29,52.97327
2020-10-30,51.92239
2020-10-31,4.66326
2020-11-01,3.61238
2020-11-02,36.02283
2020-11-03,32.06689
2020-11-04,34.62335
2020-11-05,29.40433
2020-11-06,40.05961
2020-11-07,2.60698
2020-11-08,1.8845
2020-11-09,28.02
2020-11-10,37.68504
2020-11-11,34.54756
2020-11-12,33.5371
2020-11-13,33.22891
2020-11-14,2.27353
2020-11-15,1.81882
2020-11-16,25.81215
2020-11-17,30.68256
2020-11-18,25.56964
2020-11-19,27.94422
2020-11-20,23.28095
2020-11-21,2.15227
2020-11-22,1.60662
2020-11-23,25.74142
2020-11-24,26.79735
2020-11-25,34.77997
2020-11-26,28.36356
2020-11-27,25.55954
2020-11-28,2.18764
2020-11-29,1.83903
2020-11-30,29.01025
2020-12-01,25.81215
2020-12-02,23.77103
2020-12-03,25.69595
2020-12-04,23.59925
2020-12-05,1.9906
2020-12-06,1.71272
2020-12-07,28.62628
2020-12-08,34.55261
2020-12-09,26.71146
2020-12-10,27.57035
2020-12-11,23.2759
2020-12-12,1.84913
2020-12-13,1.64704
2020-12-14,27.82802
2020-12-15,28.85363
2020-12-16,23.7104
2020-12-17,24.52382
2020-12-18,23.96301
2020-12-19,2.04112
2020-12-20,1.46011
2020-12-21,26.48411
2020-12-22,37.97302
2020-12-23,34.05749
2020-12-24,24.39246
2020-12-25,2.20279
2020-12-26,1.2176
2020-12-27,1.28328
2020-12-28,23.55378
2020-12-29,25.02905
2020-12-30,24.99368
2020-12-31,4.37528
2021-01-01,1.69251
2021-01-02,1.4399
2021-01-03,1.49547
2021-01-04,24.17521
2021-01-05,29.84388
2021-01-06,31.80922
2021-01-07,27.38847
2021-01-08,31.5465
2021-01-09,3.22336
2021-01-10,2.319
2021-01-11,48.86576
2021-01-12,41.86328
2021-01-13,30.74319
2021-01-14,28.87889
2021-01-15,34.88607
2021-01-16,3.14757
2021-01-17,2.59687
2021-01-18,37.96291
2021-01-19,29.56095
2021-01-20,30.435
2021-01-21,26.16076
2021-01-22,30.07123
2021-01-23,2.39983
2021-01-24,1.89966
2021-01-25,25.78689
2021-01-26,38.165
2021-01-27,34.94164
2021-01-28,38.18521
2021-01-29,50.55827
2021-01-30,4.9664
2021-01-31,3.13747
2021-02-01,34.0777
2021-02-02,30.98064
2021-02-03,27.82296
2021-02-04,31.6526
2021-02-05,25.67574
2021-02-06,1.82892
2021-02-07,1.46516
2021-02-08,25.49891
2021-02-09,21.74506
2021-02-10,22.47764
2021-02-11,1.57631
2021-02-12,1.02056
2021-02-13,1.14687
2021-02-14,1.16707
2021-02-15,18.49138
2021-02-16,23.76597
2021-02-17,22.62416
2021-02-18,26.02435
2021-02-19,28.74248
2021-02-20,1.8946
2021-02-21,1.39443
2021-02-22,25.62522
2021-02-23,29.71757
2021-02-24,36.56848
2021-02-25,24.13479
2021-02-26,31.34441
2021-02-27,2.46551
2021-02-28,1.97544
2021-03-01,1.8744
2021-03-02,24.26615
2021-03-03,22.94245
2021-03-04,26.45884
2021-03-05,26.11529
2021-03-06,1.92492
2021-03-07,1.42979
2021-03-08,26.16076
2021-03-09,34.25453
2021-03-10,29.97524
2021-03-11,23.40726
2021-03-12,21.01247
2021-03-13,1.52579
2021-03-14,1.53589
2021-03-15,21.54296
2021-03-16,18.96124
2021-03-17,21.95725
2021-03-18,18.79957
2021-03-19,20.82049
2021-03-20,1.92492
2021-03-21,1.28328
2021-03-22,20.48198
2021-03-23,21.57833
2021-03-24,20.56282
2021-03-25,20.84575
2021-03-26,18.02152
2021-03-27,1.43485
2021-03-28,1.22265
2021-03-29,19.03703
2021-03-30,15.41959
2021-03-31,16.56141
2021-04-01,15.16192
2021-04-02,15.03561
2021-04-03,1.13676
2021-04-04,0.93467
2021-04-05,16.23301
2021-04-06,16.34921
2021-04-07,15.02046
2021-04-08,14.70721
2021-04-09,15.02551
2021-04-10,1.26812
2021-04-11,0.87404
2021-04-12,20.10306
2021-04-13,18.10741
