date,SQQQ주가
2020-09-04,0.20283
2020-09-05,0.32454
2020-09-08,0.20283
2020-09-09,0.28397
2020-09-18,0.2434
2020-09-19,0.20283
2020-09-21,0.28397
2020-10-07,0.20283
2020-10-21,0.28397
2020-10-27,0.2434
2020-11-05,0.20283
2020-11-06,0.20283
2020-11-10,0.2434
2020-12-10,0.20283
2021-01-08,0.32454
2021-01-09,0.20283
2021-01-11,0.20283
2021-01-13,0.28397
2021-01-20,0.20283
2021-01-28,0.20283
2021-02-02,0.28397
2021-02-03,0.2434
2021-02-04,0.2434
2021-02-08,0.20283
2021-02-11,0.40567
2021-02-12,0.32454
2021-02-18,0.48681
2021-02-19,1.01419
2021-02-22,0.20283
2021-02-23,1.82555
2021-02-24,0.73022
2021-02-25,1.70385
2021-02-26,1.74442
2021-02-27,0.89249
2021-02-28,0.2434
2021-03-01,0.32454
2021-03-02,0.28397
2021-03-03,0.28397
2021-03-04,0.85192
2021-03-05,1.82555
2021-03-06,0.64908
2021-03-07,0.32454
2021-03-08,0.32454
2021-03-09,1.37931
2021-03-10,1.01419
2021-03-11,0.20283
2021-03-12,0.60851
2021-03-15,0.20283
2021-03-17,0.28397
2021-03-18,0.20283
2021-03-19,0.36511
2021-03-24,0.2434
2021-03-26,0.28397
2021-03-30,0.44624
2021-03-31,0.20283
2021-04-01,0.48681
2021-04-02,0.2434
2021-04-07,0.40567
2021-04-08,0.28397
2021-04-09,0.2434
2021-04-10,0.28397
2021-04-12,0.2434
2021-04-13,0.60851
2021-04-14,0.28397
2021-04-15,0.32454
2021-04-17,0.36511
2021-04-20,0.20283
2021-04-21,0.40567
2021-04-22,0.32454
2021-04-23,0.36511
2021-04-24,0.2434
2021-04-27,0.44624
2021-04-28,0.32454
2021-04-29,0.40567
2021-04-30,0.36511
2021-05-01,0.2434
2021-05-02,0.20283
2021-05-05,0.40567
2021-05-06,0.28397
2021-05-07,0.32454
2021-05-08,0.2434
2021-05-10,0.32454
2021-05-11,0.20283
2021-05-12,0.20283
2021-05-13,0.32454
2021-05-14,0.20283
2021-05-15,0.20283
2021-05-19,0.2434
2021-05-25,0.20283
2021-05-26,0.20283
2021-05-27,0.2434
2021-05-28,0.2434
2021-05-29,0.20283
2021-06-03,0.20283
2021-06-08,0.28397
2021-06-09,0.2434
2021-06-11,0.32454
2021-06-15,0.28397
2021-06-16,0.2434
2021-06-17,0.20283
2021-06-18,0.20283
2021-06-19,0.28397
2021-06-22,0.36511
2021-07-01,0.28397
2021-07-02,0.32454
2021-07-08,0.64908
2021-07-09,0.40567
2021-07-10,0.28397
2021-07-13,0.44624
2021-07-14,0.40567
2021-07-15,0.20283
2021-07-16,0.36511
2021-07-19,0.32454
2021-07-20,0.32454
2021-07-22,0.2434
2021-07-23,0.2434
2021-07-24,0.44624
2021-07-27,0.2434
2021-07-28,0.2434
2021-08-03,0.20283
2021-08-04,0.20283
2021-08-06,0.2434
2021-08-12,0.20283
2021-08-19,0.2434
2021-09-09,0.2434
2021-09-12,0.2434
2021-09-14,0.2434
2021-09-21,0.40567
2021-09-22,0.2434
2021-09-29,0.64908
2021-09-30,0.20283
2021-10-08,0.20283
2021-10-16,0.36511
2021-10-19,0.2434
2021-10-20,0.20283
2021-10-21,0.32454
2021-10-22,0.20283
2021-10-29,0.28397
2021-11-04,0.20283
2021-11-10,0.28397
2021-11-11,0.28397
2021-11-24,0.2434
2021-12-17,0.20283
2021-12-19,0.20283
2021-12-21,0.20283
2021-12-24,0.28397
2021-12-28,0.20283
2022-01-06,0.40567
2022-01-07,0.60851
2022-01-08,0.2434
2022-01-11,0.52738
2022-01-12,0.20283
2022-01-13,0.28397
2022-01-14,0.85192
2022-01-15,0.28397
2022-01-17,0.20283
2022-01-18,0.20283
2022-01-19,0.68965
2022-01-20,0.73022
2022-01-21,0.89249
2022-01-22,1.37931
2022-01-23,0.40567
2022-01-24,0.81135
2022-01-25,2.43407
2022-01-26,1.86612
2022-01-27,1.2576
2022-01-28,1.1359
2022-01-29,0.68965
2022-02-01,0.32454
2022-02-02,1.09533
2022-02-03,0.60851
2022-02-04,0.89249
2022-02-05,0.48681
2022-02-07,0.20283
2022-02-08,0.44624
2022-02-09,0.48681
2022-02-10,0.77079
2022-02-11,1.17647
2022-02-12,1.29817
2022-02-13,0.2434
2022-02-14,0.56795
2022-02-15,1.41987
2022-02-16,1.1359
2022-02-17,1.17647
2022-02-18,1.78498
2022-02-19,1.62271
2022-02-20,0.40567
2022-02-21,0.56795
2022-02-22,1.86612
2022-02-23,2.55578
2022-02-24,4.09736
2022-02-25,3.93509
2022-02-26,0.97363
2022-02-27,0.28397
2022-02-28,1.05476
2022-03-01,1.17647
2022-03-02,2.35294
2022-03-03,1.2576
2022-03-04,2.51521
2022-03-05,1.2576
2022-03-06,0.56795
2022-03-07,2.2718
2022-03-08,3.65111
2022-03-09,4.78701
2022-03-10,2.31237
2022-03-11,3.89452
2022-03-12,2.51521
2022-03-13,1.17647
2022-03-14,2.23123
2022-03-15,6.77484
2022-03-16,4.86815
2022-03-17,4.82758
2022-03-18,5.23326
2022-03-19,3.04259
2022-03-20,0.68965
2022-03-21,2.3935
2022-03-22,3.44827
2022-03-23,3.32657
2022-03-24,2.31237
2022-03-25,3.48884
2022-03-26,1.86612
