date,코인채굴
2020-03-20,0.89241
2020-03-21,0.89241
2020-03-22,1.53693
2020-03-23,1.68567
2020-03-24,2.57808
2020-03-25,1.63609
2020-03-26,1.88398
2020-03-27,1.63609
2020-03-28,1.88398
2020-03-29,1.04115
2020-03-30,1.04115
2020-03-31,0.89241
2020-04-01,1.63609
2020-04-02,0.29747
2020-04-03,1.58651
2020-04-04,1.1403
2020-04-05,0.79325
2020-04-06,2.03272
2020-04-07,2.23103
2020-04-08,2.03272
2020-04-09,2.23103
2020-04-10,2.5285
2020-04-11,1.43777
2020-04-12,1.3882
2020-04-13,1.48735
2020-04-14,1.63609
2020-04-15,0.94199
2020-04-16,0.64452
2020-04-17,2.03272
2020-04-18,1.23946
2020-04-19,2.03272
2020-04-20,1.88398
2020-04-21,1.63609
2020-04-22,1.68567
2020-04-23,1.28904
2020-04-24,1.98314
2020-04-25,1.04115
2020-04-26,1.1403
2020-04-27,1.09072
2020-04-28,0.74367
2020-04-29,1.78482
2020-04-30,1.18988
2020-05-01,0.94199
2020-05-02,1.1403
2020-05-03,0.79325
2020-05-04,1.28904
2020-05-05,1.33862
2020-05-06,1.58651
2020-05-07,1.43777
2020-05-08,1.28904
2020-05-09,1.43777
2020-05-10,1.1403
2020-05-11,1.28904
2020-05-12,2.28061
2020-05-13,1.53693
2020-05-14,0.94199
2020-05-15,0.99157
2020-05-16,0.99157
2020-05-17,1.58651
2020-05-18,2.03272
2020-05-19,1.78482
2020-05-20,0.54536
2020-05-21,1.1403
2020-05-22,1.98314
2020-05-23,1.53693
2020-05-24,0.99157
2020-05-25,1.43777
2020-05-26,1.73525
2020-05-27,1.63609
2020-05-28,1.23946
2020-05-29,1.33862
2020-05-30,1.3882
2020-05-31,2.03272
2020-06-01,1.68567
2020-06-02,2.67724
2020-06-03,1.98314
2020-06-04,1.3882
2020-06-05,1.63609
2020-06-06,0.89241
2020-06-07,1.23946
2020-06-08,1.09072
2020-06-09,3.02429
2020-06-10,2.0823
2020-06-11,2.13187
2020-06-12,1.23946
2020-06-13,1.68567
2020-06-14,1.3882
2020-06-15,1.09072
2020-06-16,0.84283
2020-06-17,1.63609
2020-06-18,2.28061
2020-06-19,6.29647
2020-06-20,1.04115
2020-06-21,2.13187
2020-06-22,1.88398
2020-06-23,1.63609
2020-06-24,1.43777
2020-06-25,1.33862
2020-06-26,1.09072
2020-06-27,0.64452
2020-06-28,1.04115
2020-06-29,1.28904
2020-06-30,1.98314
2020-07-01,1.09072
2020-07-02,1.88398
2020-07-03,1.68567
2020-07-04,0.84283
2020-07-05,0.94199
2020-07-06,0.94199
2020-07-07,1.23946
2020-07-08,1.73525
2020-07-09,1.23946
2020-07-10,1.3882
2020-07-11,0.74367
2020-07-12,1.3882
2020-07-13,0.99157
2020-07-14,1.18988
2020-07-15,0.49578
2020-07-16,1.09072
2020-07-17,1.23946
2020-07-18,1.33862
2020-07-19,1.88398
2020-07-20,1.1403
2020-07-21,1.48735
2020-07-22,1.53693
2020-07-23,1.33862
2020-07-24,1.73525
2020-07-25,1.3882
2020-07-26,1.3882
2020-07-27,1.43777
2020-07-28,1.53693
2020-07-29,1.8344
2020-07-30,1.8344
2020-07-31,2.03272
2020-08-01,2.03272
2020-08-02,2.13187
2020-08-03,1.53693
2020-08-04,1.48735
2020-08-05,2.33019
2020-08-06,2.23103
2020-08-07,1.43777
2020-08-08,1.1403
2020-08-09,1.04115
2020-08-10,1.98314
2020-08-11,1.58651
2020-08-12,2.13187
2020-08-13,2.03272
2020-08-14,1.73525
2020-08-15,1.93356
2020-08-16,1.58651
2020-08-17,2.42935
2020-08-18,1.98314
2020-08-19,1.93356
2020-08-20,2.0823
2020-08-21,1.3882
2020-08-22,1.28904
2020-08-23,1.78482
2020-08-24,1.8344
2020-08-25,1.28904
2020-08-26,1.78482
2020-08-27,1.63609
2020-08-28,1.63609
2020-08-29,1.73525
2020-08-30,1.63609
2020-08-31,2.28061
2020-09-01,2.87555
2020-09-02,2.7764
2020-09-03,2.7764
2020-09-04,2.37977
2020-09-05,1.73525
2020-09-06,1.68567
2020-09-07,2.7764
2020-09-08,2.72682
2020-09-09,2.28061
2020-09-10,2.57808
2020-09-11,2.5285
2020-09-12,1.78482
2020-09-13,1.18988
2020-09-14,3.07387
2020-09-15,1.78482
2020-09-16,1.93356
2020-09-17,2.03272
2020-09-18,1.88398
2020-09-19,1.43777
2020-09-20,1.63609
2020-09-21,1.43777
2020-09-22,2.7764
2020-09-23,1.93356
2020-09-24,1.78482
2020-09-25,1.28904
2020-09-26,1.33862
2020-09-27,1.68567
2020-09-28,1.93356
2020-09-29,1.68567
2020-09-30,1.1403
2020-10-01,1.1403
2020-10-02,1.43777
2020-10-03,3.61923
2020-10-04,2.67724
2020-10-05,2.7764
2020-10-06,3.27218
2020-10-07,3.27218
2020-10-08,2.62766
2020-10-09,2.47892
2020-10-10,1.63609
2020-10-11,2.57808
2020-10-12,1.93356
2020-10-13,1.43777
2020-10-14,2.62766
2020-10-15,2.13187
2020-10-16,1.43777
2020-10-17,1.33862
2020-10-18,1.8344
2020-10-19,1.8344
2020-10-20,1.88398
2020-10-21,1.68567
2020-10-22,2.0823
2020-10-23,1.93356
2020-10-24,1.1403
2020-10-25,1.28904
2020-10-26,1.1403
2020-10-27,1.48735
2020-10-28,2.13187
2020-10-29,0.89241
2020-10-30,1.73525
2020-10-31,1.1403
2020-11-01,1.68567
2020-11-02,2.03272
2020-11-03,1.23946
2020-11-04,1.1403
2020-11-05,1.53693
2020-11-06,1.33862
2020-11-07,1.88398
2020-11-08,1.58651
2020-11-09,2.13187
2020-11-10,1.3882
2020-11-11,1.18988
2020-11-12,1.78482
2020-11-13,1.93356
2020-11-14,1.43777
2020-11-15,2.13187
2020-11-16,1.3882
2020-11-17,2.42935
2020-11-18,1.88398
2020-11-19,2.7764
2020-11-20,2.0823
2020-11-21,3.61923
2020-11-22,2.82597
2020-11-23,2.5285
2020-11-24,3.02429
2020-11-25,3.17302
2020-11-26,3.42092
2020-11-27,3.02429
2020-11-28,2.67724
2020-11-29,3.56965
2020-11-30,3.76797
2020-12-01,4.21417
2020-12-02,2.82597
2020-12-03,4.06544
2020-12-04,3.37134
2020-12-05,2.67724
2020-12-06,3.4705
2020-12-07,4.51165
2020-12-08,3.76797
2020-12-09,4.26375
2020-12-10,4.21417
2020-12-11,3.42092
2020-12-12,2.87555
2020-12-13,3.02429
2020-12-14,2.42935
2020-12-15,3.66881
2020-12-16,3.42092
2020-12-17,5.45364
2020-12-18,3.4705
2020-12-19,4.41249
2020-12-20,3.52007
2020-12-21,4.21417
2020-12-22,3.07387
2020-12-23,2.92513
2020-12-24,2.87555
2020-12-25,3.37134
2020-12-26,3.52007
2020-12-27,4.66038
2020-12-28,4.95785
2020-12-29,5.85027
2020-12-30,4.56122
2020-12-31,3.86712
2021-01-01,4.26375
2021-01-02,4.66038
2021-01-03,6.941
2021-01-04,7.98215
2021-01-05,6.74268
2021-01-06,5.999
2021-01-07,7.33763
2021-01-08,8.97372
2021-01-09,8.72583
2021-01-10,8.23004
2021-01-11,6.89142
2021-01-12,8.0813
2021-01-13,6.09816
2021-01-14,7.3872
2021-01-15,6.74268
2021-01-16,6.44521
2021-01-17,8.23004
2021-01-18,7.78383
2021-01-19,7.68468
2021-01-20,7.48636
2021-01-21,7.83341
2021-01-22,7.48636
2021-01-23,6.84184
2021-01-24,7.28805
2021-01-25,6.54437
2021-01-26,7.6351
2021-01-27,6.19732
2021-01-28,5.40406
2021-01-29,5.45364
2021-01-30,6.39563
2021-01-31,5.45364
2021-02-01,7.04015
2021-02-02,7.04015
2021-02-03,6.19732
2021-02-04,7.83341
2021-02-05,7.13931
2021-02-06,7.3872
2021-02-07,9.61824
2021-02-08,8.27962
2021-02-09,11.30391
2021-02-10,11.50223
2021-02-11,11.94843
2021-02-12,10.56023
2021-02-13,11.45265
2021-02-14,15.71641
2021-02-15,16.70798
2021-02-16,15.91472
2021-02-17,24.88844
2021-02-18,30.63956
2021-02-19,29.1522
2021-02-20,39.71244
2021-02-21,38.57213
2021-02-22,35.94447
2021-02-23,27.56569
2021-02-24,29.49925
2021-02-25,27.96232
2021-02-26,21.66584
2021-02-27,20.42637
2021-02-28,22.60783
2021-03-01,20.27764
2021-03-02,21.36836
2021-03-03,17.20376
2021-03-04,17.25334
2021-03-05,17.15418
2021-03-06,15.91472
2021-03-07,16.6584
2021-03-08,17.50123
2021-03-09,22.65741
2021-03-10,24.73971
2021-03-11,25.33465
2021-03-12,26.02875
2021-03-13,27.21864
2021-03-14,32.92017
2021-03-15,35.34952
2021-03-16,32.32523
2021-03-17,35.20079
2021-03-18,37.38225
2021-03-19,35.15121
2021-03-20,35.34952
