date,미국실시간증시
2020-11-07,22.4924
2020-11-08,4.05268
2020-11-09,21.78318
2020-11-10,45.5927
2020-11-11,42.24924
2020-11-12,37.8926
2020-11-13,33.83991
2020-11-14,19.75683
2020-11-15,5.16717
2020-11-16,19.65552
2020-11-17,37.18338
2020-11-18,37.48733
2020-11-19,37.68996
2020-11-20,30.09118
2020-11-21,20.06079
2020-11-22,4.25531
2020-11-23,13.27254
2020-11-24,34.75177
2020-11-25,35.76494
2020-11-26,31.71225
2020-11-27,26.84903
2020-11-28,14.69098
2020-11-29,3.03951
2020-11-30,13.37386
2020-12-01,31.30699
2020-12-02,30.59777
2020-12-03,28.97669
2020-12-04,22.89766
2020-12-05,15.60283
2020-12-06,2.53292
2020-12-07,12.86727
2020-12-08,32.11752
2020-12-09,29.38196
2020-12-10,33.43465
2020-12-11,27.05167
2020-12-12,15.50151
2020-12-13,4.7619
2020-12-14,10.94224
2020-12-15,30.49645
2020-12-16,28.77406
2020-12-17,28.47011
2020-12-18,26.95035
2020-12-19,14.38703
2020-12-20,3.74873
2020-12-21,18.33839
2020-12-22,38.60182
2020-12-23,37.8926
2020-12-24,27.76089
2020-12-25,15.60283
2020-12-26,5.47112
2020-12-27,3.24214
2020-12-28,15.60283
2020-12-29,30.29381
2020-12-30,28.57142
2020-12-31,19.75683
2021-01-01,7.80141
2021-01-02,3.03951
2021-01-03,2.63424
2021-01-04,14.69098
2021-01-05,39.61499
2021-01-06,33.33333
2021-01-07,35.05572
2021-01-08,35.25835
2021-01-09,23.60688
2021-01-10,5.26849
2021-01-11,21.47922
2021-01-12,43.16109
2021-01-13,35.86626
2021-01-14,31.81357
2021-01-15,30.39513
2021-01-16,16.91995
2021-01-17,4.05268
2021-01-18,15.4002
2021-01-19,32.92806
2021-01-20,39.31104
2021-01-21,33.94123
2021-01-22,34.3465
2021-01-23,18.64235
2021-01-24,3.85005
2021-01-25,18.9463
2021-01-26,38.80445
2021-01-27,43.87031
2021-01-28,70.61803
2021-01-29,64.539
2021-01-30,30.69908
2021-01-31,6.99088
2021-02-01,25.93718
2021-02-02,41.13475
2021-02-03,37.08206
2021-02-04,41.23606
2021-02-05,37.48733
2021-02-06,21.68186
2021-02-07,5.97771
2021-02-08,13.98176
2021-02-09,34.24518
2021-02-10,32.42147
2021-02-11,24.3161
2021-02-12,18.74366
2021-02-13,14.69098
2021-02-14,5.06585
2021-02-15,10.84093
2021-02-16,32.32016
2021-02-17,33.63728
2021-02-18,37.68996
2021-02-19,33.23201
2021-02-20,16.71732
2021-02-21,4.05268
2021-02-22,16.41337
2021-02-23,40.22289
2021-02-24,46.90982
2021-02-25,46.50455
2021-02-26,50.96251
2021-02-27,31.30699
2021-02-28,6.58561
2021-03-01,18.03444
2021-03-02,38.70314
2021-03-03,45.18743
2021-03-04,48.83485
2021-03-05,51.67173
2021-03-06,34.24518
2021-03-07,6.99088
2021-03-08,24.21479
2021-03-09,48.5309
2021-03-10,47.51773
2021-03-11,52.48226
2021-03-12,49.1388
2021-03-13,28.26747
2021-03-14,8.10536
2021-03-15,17.02127
2021-03-16,41.13475
2021-03-17,48.02431
2021-03-18,51.97568
2021-03-19,45.5927
2021-03-20,25.73454
2021-03-21,6.88956
2021-03-22,19.5542
2021-03-23,42.14792
2021-03-24,42.0466
2021-03-25,42.85714
2021-03-26,38.80445
2021-03-27,21.07396
2021-03-28,6.68693
2021-03-29,21.88449
2021-03-30,37.48733
2021-03-31,36.77811
2021-04-01,32.21884
2021-04-02,31.91489
2021-04-03,19.75683
2021-04-04,5.77507
2021-04-05,14.99493
2021-04-06,32.42147
2021-04-07,36.17021
2021-04-08,34.75177
2021-04-09,28.57142
2021-04-10,17.32522
2021-04-11,4.55927
2021-04-12,15.29888
2021-04-13,30.8004
2021-04-14,28.57142
2021-04-15,30.8004
2021-04-16,26.84903
2021-04-17,15.80547
2021-04-18,4.96453
2021-04-19,13.57649
2021-04-20,30.59777
2021-04-21,36.98074
2021-04-22,34.75177
2021-04-23,31.10435
2021-04-24,17.22391
2021-04-25,4.45795
2021-04-26,10.73961
2021-04-27,31.61094
2021-04-28,30.59777
2021-04-29,30.09118
2021-04-30,30.8004
2021-05-01,15.50151
2021-05-02,3.74873
2021-05-03,12.15805
2021-05-04,28.77406
2021-05-05,32.52279
2021-05-06,34.04255
2021-05-07,26.6464
2021-05-08,14.18439
2021-05-09,3.64741
2021-05-10,12.56332
2021-05-11,44.57953
2021-05-12,46.70719
2021-05-13,52.17831
2021-05-14,39.51367
2021-05-15,24.82269
2021-05-16,4.86322
2021-05-17,16.91995
2021-05-18,34.04255
2021-05-19,25.53191
2021-05-20,33.53596
2021-05-21,33.13069
2021-05-22,17.62917
2021-05-23,4.86322
2021-05-24,11.55015
2021-05-25,31.50962
2021-05-26,34.65045
2021-05-27,31.81357
2021-05-28,29.68591
2021-05-29,16.0081
2021-05-30,2.83687
2021-05-31,8.308
2021-06-01,24.21479
2021-06-02,29.48328
2021-06-03,31.71225
2021-06-04,33.33333
2021-06-05,19.5542
2021-06-06,3.95136
2021-06-07,13.17122
2021-06-08,33.7386
2021-06-09,31.20567
2021-06-10,30.39513
2021-06-11,26.95035
2021-06-12,15.19756
2021-06-13,3.64741
2021-06-14,9.32117
2021-06-15,24.62006
2021-06-16,27.15298
2021-06-17,29.78723
2021-06-18,28.87537
2021-06-19,21.47922
2021-06-20,2.12765
2021-06-21,14.58966
2021-06-22,33.53596
2021-06-23,30.49645
2021-06-24,30.29381
2021-06-25,27.35562
2021-06-26,18.43971
2021-06-27,3.44478
2021-06-28,8.9159
2021-06-29,24.41742
2021-06-30,28.36879
2021-07-01,24.51874
2021-07-02,25.73454
2021-07-03,14.18439
2021-07-04,4.45795
2021-07-05,8.00405
2021-07-06,20.1621
2021-07-07,28.26747
2021-07-08,33.94123
2021-07-09,31.4083
2021-07-10,19.5542
2021-07-11,3.64741
2021-07-12,11.04356
2021-07-13,27.45694
2021-07-14,31.4083
2021-07-15,35.46099
2021-07-16,31.81357
2021-07-17,18.84498
2021-07-18,5.47112
2021-07-19,19.95947
2021-07-20,45.49138
2021-07-21,38.39918
2021-07-22,32.21884
2021-07-23,30.69908
2021-07-24,16.41337
2021-07-25,3.24214
2021-07-26,13.67781
2021-07-27,33.13069
2021-07-28,30.90172
2021-07-29,32.01621
2021-07-30,24.62006
2021-07-31,14.79229
2021-08-01,4.05268
2021-08-02,9.62512
2021-08-03,28.97669
2021-08-04,29.38196
2021-08-05,29.07801
2021-08-06,24.82269
2021-08-07,15.4002
2021-08-08,2.53292
2021-08-09,11.44883
2021-08-10,31.20567
2021-08-11,31.50962
2021-08-12,33.02938
2021-08-13,28.16616
2021-08-14,15.90678
2021-08-15,2.73556
2021-08-16,12.56332
2021-08-17,28.87537
2021-08-18,29.98986
2021-08-19,35.96757
2021-08-20,39.51367
2021-08-21,20.26342
2021-08-22,2.93819
2021-08-23,17.62917
2021-08-24,35.05572
2021-08-25,40.02026
2021-08-26,37.38601
2021-08-27,35.05572
2021-08-28,21.17527
2021-08-29,3.14083
2021-08-30,12.96859
2021-08-31,30.09118
2021-09-01,35.56231
2021-09-02,33.33333
2021-09-03,30.69908
2021-09-04,15.80547
2021-09-05,3.85005
2021-09-06,9.42249
2021-09-07,22.28976
2021-09-08,28.06484
2021-09-09,38.70314
2021-09-10,31.10435
2021-09-11,17.52786
2021-09-12,3.24214
2021-09-13,15.60283
2021-09-14,35.86626
2021-09-15,30.59777
2021-09-16,33.43465
2021-09-17,25.53191
2021-09-18,16.91995
2021-09-19,3.64741
2021-09-20,11.75278
2021-09-21,31.4083
2021-09-22,32.01621
2021-09-23,36.77811
2021-09-24,32.42147
2021-09-25,14.89361
2021-09-26,4.25531
2021-09-27,14.69098
2021-09-28,41.03343
2021-09-29,49.84802
2021-09-30,40.12158
2021-10-01,37.99392
2021-10-02,19.85815
2021-10-03,4.96453
2021-10-04,16.616
2021-10-05,44.68085
2021-10-06,45.28875
2021-10-07,48.83485
2021-10-08,35.05572
2021-10-09,22.08713
2021-10-10,6.07902
2021-10-11,17.32522
2021-10-12,42.0466
2021-10-13,43.66767
2021-10-14,38.09523
2021-10-15,34.75177
2021-10-16,22.18844
2021-10-17,5.26849
2021-10-18,16.31205
2021-10-19,37.18338
2021-10-20,34.04255
2021-10-21,37.18338
2021-10-22,31.71225
2021-10-23,18.9463
2021-10-24,2.93819
2021-10-25,16.71732
2021-10-26,32.52279
2021-10-27,38.70314
2021-10-28,35.35967
2021-10-29,32.21884
2021-10-30,16.21073
2021-10-31,4.55927
2021-11-01,13.57649
2021-11-02,32.01621
2021-11-03,39.31104
2021-11-04,33.94123
2021-11-05,30.59777
2021-11-06,16.0081
2021-11-07,3.74873
2021-11-08,16.0081
2021-11-09,36.87943
2021-11-10,39.91894
2021-11-11,40.52684
2021-11-12,31.20567
2021-11-13,17.22391
2021-11-14,3.54609
2021-11-15,14.79229
2021-11-16,32.82674
2021-11-17,32.11752
2021-11-18,31.00303
2021-11-19,26.95035
2021-11-20,18.43971
2021-11-21,2.83687
2021-11-22,14.58966
2021-11-23,32.52279
2021-11-24,34.65045
2021-11-25,39.71631
2021-11-26,53.09017
2021-11-27,33.23201
2021-11-28,9.92907
2021-11-29,38.60182
2021-11-30,54.71124
2021-12-01,58.96656
2021-12-02,51.77304
2021-12-03,47.31509
2021-12-04,37.38601
2021-12-05,7.19351
2021-12-06,30.39513
2021-12-07,59.37183
2021-12-08,50.55724
2021-12-09,44.78216
2021-12-10,49.24012
2021-12-11,25.53191
2021-12-12,5.77507
2021-12-13,23.80952
2021-12-14,57.24417
2021-12-15,56.8389
2021-12-16,61.39817
2021-12-17,53.69807
2021-12-18,28.67274
2021-12-19,7.59878
2021-12-20,33.43465
2021-12-21,57.75075
2021-12-22,53.2928
2021-12-23,42.0466
2021-12-24,44.27558
2021-12-25,22.59371
2021-12-26,5.87639
2021-12-27,19.14893
2021-12-28,32.32016
2021-12-29,39.00709
2021-12-30,32.01621
2021-12-31,18.9463
2022-01-01,9.5238
2022-01-02,4.66058
2022-01-03,16.10942
2022-01-04,32.52279
2022-01-05,39.1084
2022-01-06,58.05471
2022-01-07,58.45997
2022-01-08,29.17933
2022-01-09,5.97771
2022-01-10,27.45694
2022-01-11,59.7771
2022-01-12,51.97568
2022-01-13,51.26646
2022-01-14,47.41641
2022-01-15,25.83586
2022-01-16,5.26849
2022-01-17,26.95035
2022-01-18,61.80344
2022-01-19,57.54812
2022-01-20,51.67173
2022-01-21,50.96251
2022-01-22,37.8926
2022-01-23,7.90273
2022-01-24,47.92299
2022-01-25,100.0
2022-01-26,96.35258
2022-01-27,88.65248
2022-01-28,76.29179
2022-01-29,33.13069
2022-01-30,7.09219
2022-01-31,17.93313
2022-02-01,34.85309
2022-02-02,47.82168
2022-02-03,65.75481
2022-02-04,58.66261
2022-02-05,29.28064
2022-02-06,11.04356
2022-02-07,25.83586
2022-02-08,55.21783
2022-02-09,48.32826
2022-02-10,54.91388
2022-02-11,45.08611
2022-02-12,33.23201
2022-02-13,8.20668
2022-02-14,32.42147
2022-02-15,60.9929
2022-02-16,60.28368
2022-02-17,68.28774
2022-02-18,60.08105
2022-02-19,39.51367
2022-02-20,9.11854
2022-02-21,35.66362
2022-02-22,83.38399
2022-02-23,73.75886
2022-02-24,84.49848
2022-02-25,80.85106
2022-02-26,44.68085
2022-02-27,12.96859
2022-02-28,28.36879
2022-03-01,52.27963
2022-03-02,56.73758
2022-03-03,56.12968
2022-03-04,54.81256
2022-03-05,30.59777
2022-03-06,9.92907
2022-03-07,28.16616
2022-03-08,58.05471
2022-03-09,46.80851
2022-03-10,53.49544
2022-03-11,49.64539
2022-03-12,32.42147
2022-03-13,7.19351
2022-03-14,29.68591
2022-03-15,54.20466
2022-03-16,55.6231
2022-03-17,62.31003
2022-03-18,59.16919
2022-03-19,32.82674
2022-03-20,9.11854
2022-03-21,27.76089
2022-03-22,49.7467
2022-03-23,49.44275
2022-03-24,47.31509
2022-03-25,42.45187
2022-03-26,22.08713
2022-03-27,7.49746
2022-03-28,20.1621
2022-03-29,44.68085
2022-03-30,44.57953
2022-03-31,44.07294
2022-04-01,39.71631
2022-04-02,24.51874
2022-04-03,5.47112
2022-04-04,19.45288
2022-04-05,42.14792
2022-04-06,53.59675
2022-04-07,53.39412
2022-04-08,51.87436
2022-04-09,23.30293
2022-04-10,6.38297
2022-04-11,21.37791
2022-04-12,51.16514
2022-04-13,58.05471
2022-04-14,50.96251
2022-04-15,57.75075
2022-04-16,29.88855
2022-04-17,7.59878
2022-04-18,23.80952
2022-04-19,45.69402
2022-04-20,45.89665
2022-04-21,39.20972
2022-04-22,39.20972
2022-04-23,28.97669
2022-04-24,8.00405
2022-04-25,30.29381
2022-04-26,64.13373
2022-04-27,82.06686
2022-04-28,62.91793
2022-04-29,56.12968
2022-04-30,35.86626
2022-05-01,8.00405
2022-05-02,30.49645
2022-05-03,61.19554
2022-05-04,49.03748
2022-05-05,59.57446
2022-05-06,84.49848
2022-05-07,36.17021
2022-05-08,9.11854
2022-05-09,49.03748
2022-05-10,80.44579
2022-05-11,75.68389
2022-05-12,84.59979
2022-05-13,79.12867
2022-05-14,39.31104
2022-05-15,11.2462
2022-05-16,38.90577
2022-05-17,61.49949
2022-05-18,63.52583
2022-05-19,83.18135
2022-05-20,64.84295
2022-05-21,36.57548
2022-05-22,9.42249
2022-05-23,27.65957
2022-05-24,68.693
2022-05-25,58.35866
2022-05-26,55.01519
2022-05-27,48.12563
2022-05-28,25.73454
2022-05-29,7.19351
2022-05-30,40.22289
2022-05-31,61.49949
2022-06-01,42.75582
2022-06-02,52.88753
2022-06-03,44.88348
2022-06-04,25.53191
2022-06-05,7.09219
2022-06-06,25.53191
2022-06-07,43.46504
2022-06-08,62.71529
2022-06-09,82.57345
2022-06-10,46.40324
2022-06-11,30.90172
2022-06-12,5.06585
2022-06-13,30.69908
2022-06-14,58.35866
2022-06-15,59.47315
2022-06-16,69.80749
2022-06-17,57.75075
2022-06-18,31.20567
2022-06-19,6.38297
2022-06-20,21.78318
2022-06-21,40.32421
2022-06-22,57.75075
2022-06-23,55.52178
2022-06-24,43.97163
2022-06-25,32.42147
2022-06-26,6.78824
2022-06-27,23.91084
2022-06-28,50.05065
2022-06-29,58.76393
2022-06-30,57.95339
2022-07-01,52.6849
2022-07-02,28.26747
2022-07-03,6.88956
2022-07-04,22.69503
2022-07-05,46.50455
2022-07-06,64.64032
2022-07-07,55.42046
2022-07-08,53.39412
2022-07-09,29.78723
2022-07-10,5.06585
2022-07-11,26.44376
2022-07-12,52.27963
2022-07-13,60.18237
2022-07-14,54.50861
2022-07-15,48.5309
2022-07-16,24.82269
2022-07-17,5.97771
2022-07-18,23.60688
2022-07-19,52.17831
2022-07-20,54.81256
2022-07-21,56.94022
2022-07-22,46.80851
2022-07-23,30.1925
2022-07-24,5.26849
2022-07-25,23.80952
2022-07-26,43.05977
2022-07-27,44.57953
2022-07-28,46.40324
2022-07-29,44.88348
2022-07-30,22.79635
2022-07-31,4.86322
2022-08-01,21.68186
2022-08-02,51.26646
2022-08-03,50.55724
2022-08-04,47.82168
2022-08-05,41.33738
2022-08-06,25.22796
2022-08-07,5.57244
2022-08-08,26.13981
2022-08-09,49.54407
2022-08-10,52.48226
2022-08-11,55.92705
2022-08-12,52.38095
2022-08-13,29.17933
2022-08-14,4.7619
2022-08-15,25.63323
2022-08-16,48.73353
2022-08-17,56.02836
2022-08-18,46.80851
2022-08-19,47.01114
2022-08-20,21.07396
2022-08-21,5.87639
2022-08-22,24.62006
2022-08-23,54.81256
2022-08-24,46.30192
2022-08-25,41.94528
2022-08-26,44.07294
2022-08-27,36.57548
2022-08-28,5.67375
2022-08-29,32.42147
2022-08-30,54.60992
2022-08-31,50.65856
2022-09-01,56.231
2022-09-02,55.6231
2022-09-03,33.53596
2022-09-04,4.66058
2022-09-05,26.95035
2022-09-06,45.5927
2022-09-07,55.6231
2022-09-08,44.78216
2022-09-09,32.01621
2022-09-10,20.46605
2022-09-11,6.38297
2022-09-12,21.17527
2022-09-13,61.70212
2022-09-14,73.55623
2022-09-15,52.48226
2022-09-16,41.94528
2022-09-17,27.76089
2022-09-18,6.78824
2022-09-19,24.11347
2022-09-20,45.18743
2022-09-21,42.45187
2022-09-22,51.06382
2022-09-23,38.5005
2022-09-24,23.91084
2022-09-25,3.64741
2022-09-26,22.89766
2022-09-27,43.87031
2022-09-28,52.077
2022-09-29,52.98885
2022-09-30,43.76899
2022-10-01,25.12664
2022-10-02,4.55927
2022-10-03,17.62917
2022-10-04,44.27558
2022-10-05,48.93617
2022-10-06,45.49138
2022-10-07,42.85714
2022-10-08,23.91084
2022-10-09,2.73556
2022-10-10,20.66869
2022-10-11,43.76899
2022-10-12,50.25329
2022-10-13,51.16514
2022-10-14,55.11651
2022-10-15,26.54508
2022-10-16,4.55927
2022-10-17,23.80952
2022-10-18,48.42958
2022-10-19,48.93617
2022-10-20,41.4387
2022-10-21,38.19655
2022-10-22,20.97264
2022-10-23,3.34346
2022-10-24,22.08713
2022-10-25,41.94528
2022-10-26,49.03748
2022-10-27,44.27558
2022-10-28,37.48733
2022-10-29,23.20162
2022-10-30,3.14083
2022-10-31,18.43971
2022-11-01,38.39918
2022-11-02,44.9848
2022-11-03,47.72036
2022-11-04,37.68996
2022-11-05,18.84498
2022-11-06,3.64741
2022-11-07,25.83586
2022-11-08,42.0466
2022-11-09,41.74265
2022-11-10,49.44275
2022-11-11,52.27963
2022-11-12,27.45694
2022-11-13,4.55927
2022-11-14,23.30293
2022-11-15,45.39007
2022-11-16,47.92299
2022-11-17,42.85714
2022-11-18,39.00709
2022-11-19,21.98581
