date,공매도현황
2020-03-20,4.91684
2020-03-21,1.66305
2020-03-22,1.44613
2020-03-23,3.97686
2020-03-24,3.3984
2020-03-25,4.62762
2020-03-26,3.18148
2020-03-27,2.67534
2020-03-28,1.08459
2020-03-29,0.93998
2020-03-30,3.03687
2020-03-31,4.84454
2020-04-01,4.26608
2020-04-02,3.47071
2020-04-03,1.95227
2020-04-04,1.44613
2020-04-05,1.37382
2020-04-06,2.31381
2020-04-07,3.90455
2020-04-08,3.61532
2020-04-09,2.31381
2020-04-10,3.18148
2020-04-11,0.36153
2020-04-12,0.93998
2020-04-13,1.95227
2020-04-14,1.80766
2020-04-15,0.86767
2020-04-16,1.01229
2020-04-17,1.80766
2020-04-18,1.1569
2020-04-19,1.08459
2020-04-20,3.54302
2020-04-21,2.02458
2020-04-22,1.44613
2020-04-23,1.01229
2020-04-24,0.86767
2020-04-25,0.65075
2020-04-26,0.57845
2020-04-27,1.87997
2020-04-28,2.81995
2020-04-29,0.72306
2020-04-30,0.79537
2020-05-01,0.50614
2020-05-02,0.57845
2020-05-03,0.79537
2020-05-04,1.22921
2020-05-05,0.93998
2020-05-06,1.1569
2020-05-07,1.80766
2020-05-08,1.44613
2020-05-10,0.65075
2020-05-11,1.59074
2020-05-12,0.93998
2020-05-13,1.44613
2020-05-14,1.51843
2020-05-16,1.08459
2020-05-17,0.50614
2020-05-18,0.65075
2020-05-19,1.30151
2020-05-20,1.08459
2020-05-21,0.93998
2020-05-22,1.01229
2020-05-25,1.44613
2020-05-26,2.31381
2020-05-27,1.87997
2020-05-28,0.72306
2020-05-29,1.1569
2020-05-30,0.43383
2020-06-01,1.44613
2020-06-02,1.37382
2020-06-03,1.51843
2020-06-04,3.3261
2020-06-05,2.67534
2020-06-06,0.93998
2020-06-07,0.43383
2020-06-08,2.38611
2020-06-09,1.01229
2020-06-10,1.30151
2020-06-11,1.51843
2020-06-12,0.65075
2020-06-13,0.65075
2020-06-15,1.1569
2020-06-16,1.37382
2020-06-17,1.44613
2020-06-18,2.89226
2020-06-19,1.87997
2020-06-20,1.08459
2020-06-21,0.43383
2020-06-22,1.22921
2020-06-23,3.10918
2020-06-24,1.95227
2020-06-25,3.25379
2020-06-26,1.59074
2020-06-27,0.36153
2020-06-28,0.79537
2020-06-29,1.51843
2020-06-30,1.66305
2020-07-01,2.02458
2020-07-02,2.45842
2020-07-03,1.44613
2020-07-04,0.50614
2020-07-05,0.50614
2020-07-06,0.72306
2020-07-07,2.09689
2020-07-08,1.87997
2020-07-09,1.66305
2020-07-10,1.37382
2020-07-11,0.43383
2020-07-13,1.30151
2020-07-14,1.51843
2020-07-15,1.80766
2020-07-16,1.37382
2020-07-17,1.51843
2020-07-19,0.72306
2020-07-20,1.87997
2020-07-21,1.66305
2020-07-22,1.51843
2020-07-23,2.09689
2020-07-24,1.30151
2020-07-25,1.08459
2020-07-26,0.43383
2020-07-27,1.66305
2020-07-28,2.74765
2020-07-29,2.16919
2020-07-30,3.10918
2020-07-31,1.80766
2020-08-01,0.65075
2020-08-02,3.83224
2020-08-03,5.13376
2020-08-04,4.69992
2020-08-05,4.19378
2020-08-06,3.75994
2020-08-07,7.44757
2020-08-08,1.1569
2020-08-09,3.10918
2020-08-10,4.69992
2020-08-11,4.26608
2020-08-12,5.4953
2020-08-13,5.4953
2020-08-14,4.19378
2020-08-15,1.37382
2020-08-16,1.08459
2020-08-17,1.80766
2020-08-18,3.47071
2020-08-19,4.62762
2020-08-20,6.21836
2020-08-21,3.61532
2020-08-22,2.02458
2020-08-24,2.81995
2020-08-25,3.18148
2020-08-26,3.61532
2020-08-27,4.4107
2020-08-28,3.97686
2020-08-29,1.95227
2020-08-30,0.72306
2020-08-31,2.96456
2020-09-01,2.96456
2020-09-02,2.81995
2020-09-03,3.54302
2020-09-04,2.60303
2020-09-06,1.08459
2020-09-07,3.18148
2020-09-08,3.3984
2020-09-09,5.42299
2020-09-10,4.69992
2020-09-11,3.97686
2020-09-12,0.86767
2020-09-13,0.36153
2020-09-14,3.10918
2020-09-15,4.69992
2020-09-16,3.75994
2020-09-17,2.67534
2020-09-18,3.03687
2020-09-19,1.30151
2020-09-20,0.65075
2020-09-21,3.97686
2020-09-22,2.89226
2020-09-23,2.60303
2020-09-24,3.75994
2020-09-25,2.74765
2020-09-26,1.30151
2020-09-27,0.57845
2020-09-28,2.96456
2020-09-29,3.61532
2020-09-30,0.57845
2020-10-02,0.43383
2020-10-03,0.57845
2020-10-05,2.02458
2020-10-06,3.18148
2020-10-07,3.25379
2020-10-08,2.60303
2020-10-09,1.01229
2020-10-10,0.43383
2020-10-12,3.25379
2020-10-13,2.31381
2020-10-14,2.67534
2020-10-15,2.16919
2020-10-16,1.73535
2020-10-18,0.65075
2020-10-19,3.18148
2020-10-20,2.89226
2020-10-21,2.16919
2020-10-22,1.73535
2020-10-23,2.53073
2020-10-24,0.79537
2020-10-25,0.86767
2020-10-26,2.74765
2020-10-27,2.74765
2020-10-28,2.38611
2020-10-29,2.38611
2020-10-30,2.74765
